gene ID,log2_foldChange,p_value,adjusted p_value,rotein ID,locus tag,Annotation,,
gene-M8001_RS21020,-0.717664436,0.05843185,0.334206573,WP_002553999.1,PP_4007,translation initiation factor IF-1,,
gene-M8001_RS02530,0.260176352,0.543718864,0.846145252,WP_002555468.1,PP_0475,50S ribosomal protein L36,,
gene-M8001_RS02475,0.807085614,0.112040116,0.446033533,WP_002555479.1,PP_0464,50S ribosomal protein L14,,
gene-M8001_RS27495,-1.547051548,0.000179669,0.006127542,WP_002555808.1,PP_5234,P-II family nitrogen regulator,,
gene-M8001_RS28475,-0.441885746,0.299159799,0.673779759,WP_003097235.1,PP_5418,F0F1 ATP synthase subunit C,,
gene-M8001_RS02450,0.387824336,0.391428509,0.752767923,WP_003103908.1,PP_0459,50S ribosomal protein L22,,
gene-M8001_RS01980,0.753099754,0.207330882,0.580392995,WP_003177654.1,PP_0373,YqaE/Pmp3 family membrane protein,,
gene-M8001_RS02420,-0.115532207,0.804734955,0.944524666,WP_003186070.1,PP_0453,30S ribosomal protein S10,,
gene-M8001_RS14070,-1.844864179,0.002762412,0.049533554,WP_003243383.1,PP_0380,pyrroloquinoline quinone precursor peptide PqqA,,
gene-M8001_RS02015,0.243086271,0.505966664,0.826447942,WP_003243383.1,PP_0380,pyrroloquinoline quinone precursor peptide PqqA,,
gene-M8001_RS02405,0.016721059,0.969710448,0.997019452,WP_003246741.1,PP_0450,30S ribosomal protein S7,,
gene-M8001_RS09720,-0.202011451,0.49983196,0.823392922,WP_003247104.1,PP_1876,ATP-binding protein,,
gene-M8001_RS09725,-0.025870593,0.923264716,0.983182712,WP_003247105.1,PP_1877,GAF domain-containing protein,,
gene-M8001_RS09880,-0.39089741,0.201075647,0.574474447,WP_003247142.1,PP_1901,Trm112 family protein,,
gene-M8001_RS09930,-0.181685038,0.666714356,0.898651427,WP_003247154.1,PP_1911,50S ribosomal protein L32,,
gene-M8001_RS09945,-0.18049476,0.628723995,0.882951847,WP_003247160.1,PP_1914,3-oxoacyl-ACP reductase FabG,,
gene-M8001_RS10275,-0.428151417,0.208000794,0.581332696,WP_003247170.1,PP_1968,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS10365,0.014591445,0.963814704,0.995405441,WP_003247186.1,PP_1980,acyl-CoA thioesterase,,
gene-M8001_RS10405,0.264623539,0.431693106,0.780699569,WP_003247194.1,PP_1988,3-isopropylmalate dehydrogenase,,
gene-M8001_RS10410,0.088246423,0.799216921,0.94336846,WP_003247195.1,PP_1989,aspartate-semialdehyde dehydrogenase,,
gene-M8001_RS10460,-0.207735499,0.585992026,0.866181989,WP_003247207.1,PP_2000,amidophosphoribosyltransferase,,
gene-M8001_RS10540,-0.016821061,0.959063705,0.993485106,WP_003247220.1,PP_2012,NAD(+) kinase,,
gene-M8001_RS10555,-0.225675411,0.439398482,0.784602292,WP_003247224.1,PP_2015,DUF1315 family protein,,
gene-M8001_RS10560,-0.077282837,0.802869168,0.944524666,WP_003247225.1,PP_2016,DUF2797 domain-containing protein,,
gene-M8001_RS10590,0.554297399,0.129990593,0.479019009,WP_003247232.1,PP_5496,hypothetical protein,,
gene-M8001_RS10645,-0.129898562,0.658879195,0.894621816,WP_003247242.1,PP_2032,MoxR family ATPase,,
gene-M8001_RS10670,1.113029328,0.058262099,0.334101676,WP_003247249.1,PP_2037,aldolase,,
gene-M8001_RS10690,-0.348333098,0.261387657,0.639737708,WP_003247253.1,PP_2041,LysR family transcriptional regulator,,
gene-M8001_RS10760,0.579047239,0.074369623,0.372776844,WP_003247268.1,PP_2054,LysR family transcriptional regulator,,
gene-M8001_RS10785,-0.405207342,0.358346742,0.725649729,WP_003247275.1,PP_2059,CsbD family protein,,
gene-M8001_RS10790,1.132975424,0.009246456,0.111427265,WP_003247276.1,PP_2060,redox-sensitive transcriptional activator SoxR,,
gene-M8001_RS04195,-0.411736953,0.265182678,0.644491483,WP_003247318.1,PP_0786,thioredoxin-disulfide reductase,,
gene-M8001_RS04185,0.242740521,0.941464417,0.988374504,WP_003247320.1,PP_0784,DUF1851 domain-containing protein,,
gene-M8001_RS04155,0.171487366,0.628037528,0.882839391,WP_003247325.1,PP_0776,peptidylprolyl isomerase,,
gene-M8001_RS04115,0.556251808,0.13656337,0.489750971,WP_003247330.1,PP_0768,response regulator,,
gene-M8001_RS04080,-0.095114649,0.776727595,0.935371472,WP_003247342.1,PP_0760,TMEM165/GDT1 family protein,,
gene-M8001_RS04020,0.23346726,0.416521855,0.772082074,WP_003247361.1,PP_0749,hypothetical protein,,
