Gene,Description,Cluster,0,16,28,53,R*
P9313_01131 (PMT0107),conserved hypothetical protein,14,-0.19,0.45,0.06,-1.24**,"0.01"
P9313_01141 (PMT0108),"ABC transporter, ATP binding protein",13,0.04,0.27,-0.20,-1.02**,"-0.24"
P9313_01161 (PMT0110),conserved hypothetical protein,13,-0.33,0.37,-0.14,-1.64**,"-0.02"
P9313 01731,conserved hypothetical protein,10,-0.09,0.86,0.31,-1.51**,"-0.30"
P9313 01981,conserved hypothetical protein,19,0.06,1.71**,0.68,-0.05,"-1.28**"
P9313 02141,,20,-0.54,1.55**,0.41,0.33,"0.37"
P9313 02281,,19,0.14,1.65**,0.46,0.07,"-0.50"
P9313 02851,,18,0.25,0.69,0.29,-1.33**,"-0.38"
P9313 03041,,17,-0.24,-0.40,-0.62,-1.03**,"2.00**"
P9313_03111,,26,0.24,-0.39,1.18**,1.10**,"-0.24"
P9313_03341 (PMT0283)**,"glycyl-tRNA synthetase, alpha subunit (glyQ)",4,-0.11,1.95**,1.83**,1.89**,"-1.71**"
P9313_03361 (PMT0284),possible porin (som),2,-0.19,0.32,0.27,1.51**,"-1.75**"
P9313_03371 (PMT0285),possible Peptidase family M20/M25/M40,3,-0.05,0.52,0.14,1.35**,"-1.93**"
P9313_03381 (PMT0286),uncharacterized iron-regulated protein (piuC),4,0.02,1.11**,0.74,1.18**,"-0.99"
P9313_03391 (PMT0287),putative iron ABC transporter substrate binding protein (futA1),4,-0.26,1.19**,0.81,2.03**,"-2.72**"
P9313 03491,,14,0.07,-0.38,0.06,-1.03**,"0.28"
P9313_03641 (PMT0303),possible Kelch motif,38,0.35,0.41,0.70,1.22**,"-1.01**"
P9313 03841,conserved hypothetical protein,30,-0.50,-1.36**,-0.45,-0.64,"0.69"
P9313_03941 (PMT0328),"possible bromodomain adjacent to zinc finger domain, 2B...",13,-0.17,0.10,-0.16,-1.13**,"-0.11"
P9313_05621 (PMT0477),hypothetical,8,0.02,1.07**,0.10,0.12,"0.04"
P9313 05661,conserved hypothetical protein,17,-0.52,0.28,-0.19,-1.23**,"0.08"
P9313 05761,,8,-0.10,0.93,0.26,1.07**,"0.19"
P9313 05891,,4,-0.09,1.57**,1.89**,3.59**,"-3.72**"
P9313_05901 (PMT0496),light-harvesting complex protein (pcbB),4,-0.13,2.04**,2.38**,3.78**,-3.70**
P9313_05911,conserved hypothetical protein,2,-0.15,0.06,1.09**,1.43**,-1.49**
P9313 05921,possible Gram-negative pili assembly,4,-0.09,1.77**,1.79**,2.02**,-1.25**
P9313_05941 (PMT0498),chaperone,30,-0.11,-1.74**,-2.07**,-1.96**,2.87**
P9313_05951 (PMT0499),ferritin,23,-0.05,1.20**,0.54,0.44,-0.12
P9313_06081 (PMT0510),GCN5-related N-acetyltransferase (riml),30,-0.06,-1.92**,-2.05**,-1.61**,1.28**
P9313 06881,conserved hypothetical protein,38,-0.04,0.75,1.04**,1.06**,-0.28
P9313_08511 (PMT0722)**,putative pantetheine-phosphate adenylyltransferase (coaD),2,-0.11,0.34,0.53,1.10**,-1.10**
P9313 08731,,4,0.05,0.94,0.43,0.87,-1.01**
P9313_09371 (PMT0801),flavodoxin (isiB),4,0.09,1.81**,1.79**,3.19**,-2.96**
P9313_09501,conserved hypothetical protein,14,0.16,-0.18,0.38,-2.46**,-0.14
P9313_09581 (PMT0820),conserved hypothetical protein,23,-0.03,1.25**,0.40,0.40,-0.10
P9313 09691,,1,-0.20,0.40,-0.16,1.11**,-0.18
P9313 09901,,4,-0.17,0.62,0.44,1.39**,-0.51
P9313_09911 (PMT0842),pyrimidine dimer DNA glycosylase,4,-0.07,1.73**,1.98**,2.71**,-2.91**
P9313_10101 (PMT0855),isochorismatase hydrolase family,4,-0.23,0.84,0.56,0.40,-1.32**
P9313_10111 (PMT0856),possible large-conductance mechanosensitive channel (mscL),4,-0.10,0.20,0.82,1.02**,-1.57**
P9313_10171 (PMT0861),uncharacterized protein conserved in bacteria,3,0.22,-0.21,0.17,0.81,-1.10**
P9313_10181 (PMT0862),predicted Fe-S oxidoreductases,4,-0.14,0.99,1.00**,1.03**,-1.21**
P9313 10851,conserved hypothetical protein,4,0.17,0.58,0.83,0.64,-1.40**
P9313_10901 (PMT0911),hypothetical,4,-0.03,1.04**,0.50,0.58,-0.66
P9313 10911,conserved hypothetical protein,2,-0.56,-0.22,0.99,1.52**,-0.97
P9313_10981 (PMT0916),hypothetical,18,-0.38,0.54,-0.40,-1.22**,-0.07
P9313 11171,,14,-0.01,-0.69,-0.25,-1.97**,-0.40
P9313 11641,,3,1.22**,-0.03,0.14,1.55**,-0.23
P9313_12191,,4,-0.17,0.26,0.61,0.88,-1.07**
P9313 12361,conserved hypothetical protein,4,0.29,0.54,0.81,1.28**,-0.60
P9313_12371 (PMT0992),possible high light inducible protein (hli7),4,-0.16,0.61,-0.07,1.08**,-2.78**
P9313 12381,,2,0.09,0.15,0.87,1.38**,-0.90
P9313 12581,conserved hypothetical protein,2,-0.03,0.26,0.88,1.43**,-0.13
P9313 12771,,38,-0.07,0.06,1.10**,0.53,-0.51
