Supplementary Table 1. Concentrations of total combined amino acids,,,
"The total concentrations of several amino acids are shown in groups because of overlapping signals during HPLC-FLD measurements (leucine, isoleucine, and phenylalanine in one group, and glutamine and asparagine in another group). Concentrations of alanine, cysteine, proline, and tyrosine could not be measured using our method due to the low resolutions of individual amino acid standards. Data are mean ± standard deviation of four biological replicates. In the Pro99 growth medium, amino acids were not detected (ND).",,,
,,,
Amino Acid,mean - Concentration (nM) vDOM,SD - Concentration (nM) vDOM,Concentration (nM) Pro99 (Control)
Valine,1067.5,13.8,ND
Leucine/Isoleucine/Phenylalanine,738.2,15.3,ND
Aspartic acid,344.8,15.3,ND
Serine,325,21.8,ND
Methionine,285.2,7.3,ND
Threonine,283.3,8.5,ND
Arginine,201.2,4.6,ND
Glutamic acid,171.9,2,ND
Glutamine/Asparagine,164.1,6.7,ND
Lysine,154.9,4.9,ND
Histidine,97.4,5,ND
Glycine,75.8,4.1,ND
Tryptophan,68.9,7.1,ND
