Accession,KEGG,Peptide count,Unique peptides,L1,L2,L3,LGnM1,LGnM2,LGnM3,LGmM1,LGmM2,LGmM3,D1,D2,D3,DGnM1,DGnM2,DGnM3,DGmM1,DGmM2,DGmM3,L.avg,LGnM.avg,LGmM.avg,D.avg,DGnM.avg,DGmM.avg,TTEST.L.LGnM,FC.L.LGnM,TTEST.L.LGmM,FC.L.LGmM,TTEST.D.LGnM,FC.D.LGnM,TTEST.D.LGmM,FC.D.LGmM,Description,
Q7TTX1,SYNW0514,50,50,0.006899614,0.015306772,0.005321501,0.003699695,0.005289511,0.008326835,0.004007756,0.006745286,0.006451899,0.00520194,0.010158912,0.005719675,0.005145167,0.00511878,0.006594918,0.00453037,0.005208238,0.007060158,0.009175962,0.005772014,0.00573498,0.007026843,0.005619622,0.005599589,0.230463779,0.629036331,0.17278603,0.625000427,0.261783,0.799736374,0.261046977,0.79688546,60 kDa chaperonin 1 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=groL1 PE=3 SV=1,
Q7U4R4,SYNW2000,36,36,0.001220976,0.00043177,0.005262797,0.002047438,0.003688769,0.005323203,0.004253625,0.006006261,0.003033323,0.001336064,0.001165684,0.006002245,0.002056238,0.002668243,0.006048754,0.002136964,0.003036028,0.00723884,0.002305181,0.00368647,0.00443107,0.002834664,0.003591078,0.004137277,0.144059646,1.59921075,0.226285353,1.922222013,0.107006765,1.266844335,0.02619387,1.459529967,Phycobilisome linker polypeptide OS=Synechococcus sp. (strain WH8102) OX=84588 GN=SYNW2000 PE=3 SV=1,
Q7U4D2,SYNW2137,35,35,0.00145405,0.00378407,0.002652911,0.002500525,0.004116962,0.002026907,0.003178138,0.009594798,0.007201107,0.001532867,0.001138992,0.001409467,0.002849389,0.008092846,0.000987576,0.003537478,0.005474744,0.009627759,0.002630343,0.002881465,0.006658014,0.001360442,0.003976604,0.006213327,0.327951044,1.095470996,0.039699779,2.531233907,0.18044003,2.923023405,0.057871564,4.56713843,Elongation factor G OS=Synechococcus sp. (strain WH8102) OX=84588 GN=fusA PE=3 SV=1,
Q7U9W1,SYNW0141,32,32,0.001540679,0.001731762,0.004349332,0.002371311,0.002151109,0.003476121,0.004078371,0.004537775,0.005960528,0.001435793,0.000958316,0.001828969,0.001804091,0.002246688,0.001036711,0.002652466,0.004176073,0.003044558,0.002540591,0.00266618,0.004858891,0.001407693,0.00169583,0.003291032,0.414765514,1.049433014,0.011758835,1.912504213,0.33969974,1.204687761,0.052967508,2.33789109,Transketolase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cbbT PE=3 SV=1,
Q7U4D1,SYNW2138,31,30,0.006248936,0.014157131,0.003186756,0.003711799,0.005420531,0.005472931,0.006461196,0.017828453,0.0092003,0.003298137,0.005905891,0.004566654,0.006920921,0.009514581,0.001697695,0.006409586,0.006524569,0.015044522,0.007864274,0.00486842,0.011163316,0.004590228,0.006044399,0.009326226,0.223414049,0.619055257,0.094678296,1.419497296,0.285214449,1.316797221,0.12535158,2.031756719,Elongation factor Tu OS=Synechococcus sp. (strain WH8102) OX=84588 GN=tuf PE=3 SV=1,
Q7U8X3,SYNW0486,30,29,9.44122E-05,4.08745E-05,0.00111829,0.000197093,0.000444642,0.00088563,0.000606545,0.000785395,0.000452345,0.000180198,8.0283E-05,0.000902389,0.000131684,0.000263429,0.000573769,0.000193718,0.000458551,0.000956859,0.000417859,0.000509122,0.000614762,0.000387623,0.000322961,0.000536376,0.334369204,1.218405703,0.348090754,1.471218103,0.352370237,0.833181646,0.163126232,1.383755378,Anchor polypeptide LCM OS=Synechococcus sp. (strain WH8102) OX=84588 GN=apcE PE=3 SV=1,
Q7U7P3,SYNW0938,29,29,0.000184588,0.000278616,0.000485277,0.0003811,0.000531132,0.000538822,0.000429501,0.000741442,0.000501543,0.000245746,0.000385795,0.000407822,0.000263625,0.00035301,0.000327548,0.000254131,0.000396129,0.000550599,0.00031616,0.000483685,0.000557495,0.000346454,0.000314728,0.000400286,0.052800884,1.529871127,0.101052785,1.76333027,0.189657882,0.908424841,0.174887136,1.155380164,Endopeptidase Clp ATP-binding chain C OS=Synechococcus sp. (strain WH8102) OX=84588 GN=clpC PE=3 SV=1,
Q7U5I8,SYNW1718,28,28,0.000489737,0.000748497,0.002520474,0.001296293,0.002581032,0.002875355,0.001652979,0.002019474,0.002544229,0.000712247,0.001463102,0.001474388,0.000590437,0.001455317,0.001855798,0.000905109,0.001685326,0.001760192,0.001252903,0.002250893,0.002072227,0.001216579,0.001300517,0.001450209,0.074952726,1.79654223,0.088210118,1.653940775,0.318479479,1.068995273,0.006752831,1.192038198,Ribulose bisphosphate carboxylase large chain OS=Synechococcus sp. (strain WH8102) OX=84588 GN=cbbL PE=3 SV=1,
Q7U3V0,SYNW2329,28,28,0.004508685,0.007579365,0.002701884,0.0019552,0.00311157,0.004720285,0.002416425,0.004234262,0.005262732,0.001948394,0.007133942,0.002692181,0.001760999,0.003448803,0.000809203,0.002296982,0.003286853,0.004444534,0.004929978,0.003262351,0.00397114,0.003924839,0.002006335,0.00334279,0.238732529,0.661737497,0.32346434,0.80550855,0.098927876,0.511189075,0.381164357,0.851701039,Phosphoglycerate kinase OS=Synechococcus sp. (strain WH8102) OX=84588 GN=pgk PE=3 SV=1,
Q7TTT6,SYNW1854,27,27,0.001036547,0.003504032,0.000900743,0.000523837,0.00106365,0.001624071,0.000627559,0.001193366,0.00117601,0.000824243,0.001788292,0.001440934,0.00086603,0.000892774,0.000999755,0.000812327,0.000919281,0.002131473,0.001813774,0.001070519,0.000998979,0.001351156,0.00091952,0.001287694,0.252093035,0.590216513,0.201341001,0.550773564,0.125880647,0.680542759,0.45048757,0.953030856,60 kDa chaperonin 2 OS=Synechococcus sp. (strain WH8102) OX=84588 GN=groL2 PE=3 SV=1,
