Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 3.1,Light 5.1,Light Glu nM 1.1,Light Glu nM 3.1,Light Glu nM 4.1,Light Glu mM 1.1,Light Glu mM 3.1,Light Glu mM 4.1,Darkness 1.1,Darkness 3.1,Darkness 5.1,Darkness Glu nM 1.1,Darkness Glu nM 3.1,Darkness Glu nM 5.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose,resolved_locus_tag,resolution_method
A0A359KB39,2,2,7.493555,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,284645.5,107899.5,93933.39,127736.0,92920.09,9593.942,4654329.0,83369.45,355779.1,7102256.0,2033596.0,7625553.0,1944249.0,53148.49,77076.45,18989.93,30544.67,24449.75,231360.0,79547.66,389780.0,30288.52,28897.44,186120.0,246626.9,31942.76,243410.7,0.000521,7.4e-05,8.52e-05,1.43e-05,0.000101,0.000105,0.005548,0.00176,0.001205,7.07e-05,5.04e-05,5.96e-05,0.000129,4.92e-05,0.000187,0.000137,6.57e-05,0.000553,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,0.000227,7.35e-05,0.002838,6.02e-05,0.000125,0.000282,0.239,0.32,0.083,12.52,0.12,2.07,0.167,4.68,10 kDa chaperonin OS=Alteromonas sp. OX=232 GN=groES PE=3 SV=1,,-1.6438561897747246,3.646162657157894,1.0496307677246004,2.2265085298086795,0.239,0.083,0.12,0.167,,empty
A0A359K307,2,2,11.20715,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,53244.23,146636.6,306926.4,73180.65,190245.3,100123.9,624950.3,170630.7,138610.4,3753138.0,252964.9,3861859.0,220637.0,70120.53,327291.5,34052.16,37450.97,58404.42,289663.2,136864.1,95735.56,66568.55,276571.3,166499.8,1695106.0,82966.05,309893.1,9.74e-05,0.000242,0.000174,0.000149,0.000207,4.09e-05,0.002932,0.000891,0.000137,9.33e-05,9.04e-05,0.000142,0.000221,0.000108,0.000168,0.000945,0.000171,0.000704,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,0.000171,0.000132,0.00132,0.000109,0.000407,0.000349,0.272,0.77,0.158,7.71,0.125,3.74,0.079,3.21,2-dehydro-3-deoxyphosphooctonate aldolase OS=Alteromonas sp. OX=232 GN=kdsA PE=3 SV=1,,-0.3770696490798233,2.9467308601403097,1.903038270112912,1.6825732973475784,0.272,0.158,0.125,0.079,,empty
A0A359KBM7,5,5,25.97457,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,90558.53,99411.17,97541.71,39434.39,153185.7,52867.91,218848.9,106641.3,488127.4,87162.16,870324.0,3314262.0,1411571.0,50956.77,38598.39,23738.75,37071.19,20511.36,2989840.0,48335.65,507539.5,53168.38,138693.4,95508.9,1688817.0,136410.9,239918.5,0.000166,7.69e-05,0.00014,7.87e-05,0.00013,0.000144,6.81e-05,0.000765,0.000875,6.78e-05,6.3e-05,5e-05,7.82e-05,8.64e-05,9.61e-05,0.000942,0.00028,0.000545,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,0.000128,0.000117,0.000569,6.03e-05,0.000375,0.000318,0.413,0.92,0.122,4.46,0.063,6.22,0.054,5.27,2-isopropylmalate synthase OS=Alteromonas sp. OX=232 GN=leuA PE=3 SV=1,,-0.1202942337177117,2.15704371014558,2.636914580355878,2.3978029618624896,0.413,0.122,0.063,0.054,,empty
A0A359JZQ9,3,3,12.9029,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",21281.31,39996.17,15572.9,4445.523,76911.28,9509.241,57061.55,26491.12,141863.0,4160979.0,3555926.0,11272164.0,2789977.0,2726.443,163712.0,1010.602,98152.84,9336.131,187839.1,5177.42,292763.7,844.0886,99455.44,19443.5,4860739.0,626465.2,340670.6,3.89e-05,1.23e-05,7.05e-05,1.42e-05,3.22e-05,4.19e-05,0.00325,0.002602,0.001729,3.63e-06,2.68e-06,2.28e-05,8.37e-06,1.37e-06,1.96e-05,0.00271,0.001288,0.000774,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",4.06e-05,2.94e-05,0.002527,9.69e-06,0.00091,0.000701,0.274,0.72,0.016,62.27,0.488,93.96,0.057,72.33,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Alteromonas sp. OX=232 GN=dapD PE=3 SV=1",,-0.4739311883324124,5.960465374102548,6.553974808237472,6.1765222465489575,0.274,0.016,0.488,0.057,,empty
A0A359K585,2,2,12.3511,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,30316.31,33376.2,18466.22,6034.067,70991.65,11700.17,82003.45,28445.19,68318.16,5965093.0,3091638.0,14380980.0,928273.4,11612.3,45709.72,7245.956,19314.52,14526.25,76476.59,17555.42,558070.4,18247.88,28071.49,18515.1,347567.0,705860.5,39835.36,5.55e-05,1.46e-05,6.51e-05,1.74e-05,3.46e-05,2.02e-05,0.00466,0.003319,0.000575,1.55e-05,1.92e-05,3.54e-05,2.84e-05,2.97e-05,1.86e-05,0.000194,0.001451,9.05e-05,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,4.5e-05,2.41e-05,0.002851,2.34e-05,8.07e-05,0.000529,0.208,0.53,0.073,63.3,0.419,3.45,0.167,22.64,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Alteromonas sp. OX=232 GN=fabA PE=3 SV=1,,-0.9159357352115256,5.984133594540979,1.7865963618908067,4.500802053057158,0.208,0.073,0.419,0.167,,empty
A0A359K9E8,4,4,15.77552,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,144697.0,314517.0,601449.9,274939.0,692792.6,305613.2,909932.9,493966.6,2434950.0,1223653.0,3261340.0,25464129.0,2984001.0,76457.76,230949.5,43257.87,277877.1,118235.5,476347.1,144306.1,519485.1,151134.0,871456.4,220489.2,5864783.0,2374356.0,353168.0,0.000265,0.000474,0.000635,0.000455,0.0006,0.000719,0.000956,0.005877,0.001849,0.000102,0.000115,0.000288,0.000233,0.000246,0.000222,0.00327,0.004881,0.000802,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,0.000458,0.000591,0.002894,0.000168,0.001246,0.002047,0.025,1.29,0.122,6.32,0.213,7.4,0.076,12.17,3-isopropylmalate dehydrogenase OS=Alteromonas sp. OX=232 GN=leuB PE=3 SV=1,,0.3673710656485294,2.6599245584023783,2.8875252707415875,3.605257262939004,0.025,0.122,0.213,0.076,,empty
A0A359K1K0,2,2,8.212946,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,4187.075,33421.87,51264.71,3614.835,14909.57,102558.6,112841.8,66213.59,39448.96,1134367.0,338947.1,856376.8,342002.8,47834.67,76083.11,21656.83,69776.17,27830.51,26073.51,75412.31,42934.75,13942.8,89506.26,97353.17,729424.4,37625.62,58024.88,7.66e-06,4.04e-05,1.37e-05,0.000153,8.04e-05,1.16e-05,0.000886,0.000198,0.000212,6.36e-05,5.75e-05,6.78e-05,0.000122,2.27e-05,9.8e-05,0.000407,7.73e-05,0.000132,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,2.06e-05,8.16e-05,0.000432,6.3e-05,0.000176,7.66e-05,0.149,3.97,0.11,20.99,0.292,2.79,0.147,1.22,3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Alteromonas sp. OX=232 GN=fabH PE=3 SV=1,,1.989139007368233,4.391630261517429,1.480265122054463,0.2868811477881615,0.149,0.11,0.292,0.147,,empty
A0A359K8U1,2,2,10.55477,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",9121.647,12943.73,6891.349,6237.258,66773.46,16730.09,165950.7,38628.75,38701.17,1639610.0,55764.31,3573532.0,19601.7,3597.155,19858.89,3092.216,33101.73,12196.78,156832.2,3839.103,17922.67,2450.91,41462.94,6689.776,150050.4,320542.7,25778.1,1.67e-05,5.43e-06,6.12e-05,2.49e-05,4.69e-05,1.14e-05,0.001281,0.000825,1.21e-05,4.79e-06,8.21e-06,2.97e-05,6.21e-06,3.98e-06,6.73e-06,8.37e-05,0.000659,5.85e-05,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",2.78e-05,2.78e-05,0.000706,1.42e-05,3.15e-05,0.000248,0.5,1.0,0.11,25.4,0.182,2.21,0.166,17.44,"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Alteromonas sp. OX=232 GN=ribB PE=3 SV=1",,0.0,4.666756591884804,1.144046369616707,4.124328135002202,0.5,0.11,0.182,0.166,,empty
A0A359K5U3,2,2,15.46067,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,106768.5,268150.8,673233.8,343266.2,400513.1,128127.0,644792.5,471081.8,737687.4,18544565.0,1451472.0,25886955.0,640921.9,105118.7,151206.8,97837.45,155571.2,163066.4,931346.0,191136.5,184980.9,97695.25,131943.6,471340.1,3636009.0,122597.2,168352.0,0.000195,0.000531,0.000367,0.000191,0.000572,0.000218,0.014486,0.005975,0.000397,0.00014,0.00026,0.000397,0.000309,0.000159,0.000474,0.002027,0.000252,0.000382,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,0.000364,0.000327,0.006953,0.000266,0.000887,0.000333,0.291,0.9,0.127,19.08,0.302,3.34,0.215,1.25,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,,-0.1520030934450499,4.2539892662307865,1.7398481026993275,0.3219280948873623,0.291,0.127,0.302,0.215,,empty
A0A359K3G1,2,2,6.669952,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,275924.6,287651.0,290159.0,299203.3,149197.7,144841.4,301162.1,282997.4,422417.6,356862.7,1231784.0,6994072.0,466156.3,224425.2,151181.8,25456.83,47098.15,243162.3,15313.44,241846.0,909211.3,133422.9,127859.6,327998.7,170584.4,263199.0,40860.53,0.000505,0.000229,0.000137,0.000216,0.000344,0.000125,0.000279,0.001614,0.000289,0.000299,6.76e-05,0.000593,0.000391,0.000217,0.00033,9.51e-05,0.000541,9.28e-05,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,0.00029,0.000228,0.000727,0.00032,0.000214,0.000308,0.328,0.79,0.232,2.51,0.481,0.67,0.408,0.96,30S ribosomal protein S1 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsA PE=4 SV=1,,-0.3400754415976217,1.3276873641760472,-0.5777669993169522,-0.0588936890535685,0.328,0.232,0.481,0.408,,empty
