RAST Locus Tag,NCBI Locus Tag,Main_Role,Subrole,Subsystem,Curated Product Descriptor,gene,ClustID_light,Clust name_light,ClustID_ox,Clust name_ox,LLLO-CC-M061814.14_AV,MLLO-CC-M061814.13_AV,HLLO-CC-TS040514.18_AV,Average_light_Conditions
N/A,tll0002,Intracellular trafficking_ assembly_ and processing,Peptidases,periplasmic stress response system,heat shock peptidase HtrA,htrA,4,C,4,H,1080.76465,656.499785,555.4227617,764.2290654
N/A,tll0007,Carbohydrate metabolism,Starch and sucrose metabolism,cellulose biosynthesis,UDP-forming cellullose synthase catalytic subunit CelA,celA,4,C,4,H,2864.762477,728.6885888,563.0905966,1385.513887
N/A,tll0008,Unknown function,General,gliding motility,membrane PIN/TRAM domain protein YCF81,ycf81,4,C,4,H,47630.41645,26331.8332,14972.92088,29645.05685
N/A,tll0009,Unknown function,General,None,hypothetical protein,,4,C,4,H,13580.67706,5413.137319,2369.980879,7121.265085
N/A,tll0013,Intracellular trafficking_ assembly_ and processing,Peptidases,None,N-acyl-L-amino acid amidohydrolase Ama,ama,2,B,4,H,1266.33729,961.1921216,1941.329926,1389.619779
N/A,tll0014,Regulatory functions,Small molecule interactions,None,adenylate cyclase,,1,D,4,H,1024.617795,1855.629633,1627.296157,1502.514528
N/A,tll0015,Terpenoids and polyketides metabolism,Carotenoid metabolism,carotenoid cleavage,all-trans-8'-apo-beta-carotenal 15_15'-oxygenase Diox1,diox1,1,D,4,H,1283.81757,3069.487229,3054.468869,2469.257889
N/A,tll0016,Transport and binding proteins,Cofactors and prosthetic groups,folic acid uptake,folate transporter Fbp,fbp,1,D,4,H,1122.679886,2364.608269,2422.46009,1969.916082
N/A,tll0019,Unknown function,General,None,protein of unknown function DUF212,,1,D,3,G,1129.057202,2111.616078,3262.627003,2167.766761
N/A,tll0020,Terpenoids and polyketides metabolism,Terpenoid backbone biosynthesis,C10-C20 isoprenoid biosynthesis,geranylgeranyl diphosphate synthase type II CrtE,crtE,1,D,3,G,2410.059629,10319.2303,8841.589636,7190.293188
N/A,tll0021,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,folic acid biosynthesis,bifunctional methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase FolD,folD,1,D,3,G,1761.42517,2516.717034,4458.50464,2912.215615
N/A,tll0022,Unknown function,General,None,hypothetical protein,,4,C,4,H,1540.635928,896.8025635,928.7558185,1122.06477
N/A,tll0024,Unknown function,General,None,pentapeptide repeat protein,,2,B,2,F,190.6155753,119.0663217,238.2347736,182.6388902
N/A,tll0025,Regulatory functions,DNA interactions,Iron homeostasis,Fur family transcriptional regulator,,2,B,3,G,822.6674721,698.3859561,1241.02303,920.6921528
N/A,tll0026,Transport and binding proteins,Cations and iron carrying compounds,None,CAC2 family Ca2::H+ antiporter,,1,D,2,F,107.4464789,298.1679666,410.9085718,272.1743391
N/A,tll0030,Unknown function,General,None,hypothetical protein,,4,C,4,H,4078.562879,2082.902817,1245.822214,2469.09597
N/A,tll0032,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD,lpxD,1,D,3,G,1274.879836,2281.678077,2588.127024,2048.228312
N/A,tll0037,Unknown function,Enzymes of unknown specificity,phosphate homeostasis,phosphate starvation-inducible ATPase PhoH,phoH,4,C,2,F,3625.67597,609.1388225,695.5565255,1643.457106
N/A,tll0039,Unknown function,General,None,KH domain RNA binding protein YlqC,ylqC,1,D,3,G,2053.936166,2585.474205,3196.705563,2612.038645
N/A,tll0043,Energy metabolism,Carbon fixation in prokaryotes,Calvin-Benson cycle_ Embden-Meyerhof pathway,glyceraldehyde 3-phosphate dehydrogenase GapA,gapA,1,D,1,E,2057.55222,7459.53348,7558.878731,5691.988143
N/A,tll0044,Unknown function,Enzymes of unknown specificity,None,rhodanese-like domain-containing protein,,1,D,1,E,3100.241653,9515.448913,8077.685813,6897.792126
N/A,tll0045,Energy metabolism,Oxidative phosphorylation,NAD(P)H:quinone oxidoreductase (complex I) NdhABCDEFGHIJKLMNOPQS,NADH-plastoquinone oxidoreductase subunit NdhB,ndhB,1,D,1,E,3912.011611,18157.55444,21521.78168,14530.44924
N/A,tll0046,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan recycling,muramoyltetrapeptide carboxypeptidase IdcA,idcA,2,B,3,G,495.4066275,409.1227658,672.2614894,525.5969609
N/A,tll0047,Unknown function,General,None,hypothetical protein,,4,C,0,,2040.58565,751.4428352,536.0060681,1109.344851
N/A,tll0048,Regulatory functions,DNA interactions,Iron homeostasis,Fe2+-responsive transcriptional regulator of iron homeostasis Fur,fur,4,C,3,G,15350.23757,8697.724895,8017.315097,10688.42585
N/A,tll0049,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,bifunctional peptidoglycan transglycosylase / transpeptidase McrB,mrcB,1,D,3,G,1742.45721,2060.437253,3142.94716,2315.280541
N/A,tll0054,Nucleic acid metabolism,Purine metabolism,guanine ribonucleotide biosynthesis from IMP,guanylate kinase Gmk,gmk,1,D,3,G,139.4329673,235.1529413,453.7679206,276.1179431
N/A,tll0060,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA Repair,putative DNA repair protein RAD32,,4,C,4,H,3405.057412,1526.305521,1331.092824,2087.485252
N/A,tll0061,Regulatory functions,Protein interactions,None,NmrA family protein,,4,C,4,H,7815.142704,5623.618096,3001.034284,5479.931694
N/A,tll0062,Translation,tRNA and rRNA base modification,tRNA N6-threonylcarbamoyladenosine modification,tRNA threonylcarbamoyl adenosine modification protein YeaZ,yeaZ,3,A,1,E,4357.411869,7539.364597,5129.11117,5675.295879
N/A,tll0064,Terpenoids and polyketides metabolism,General,hopanoid biosynthesis,hopanoid biosynthesis associated glycosyl transferase protein HpnI,hpnI,1,D,4,H,502.83035,1015.927997,914.7114261,811.1565912
N/A,tll0065,Prosthetic groups_ cofactors_ and carriers,Thiamine metabolism,thiamine: hydroxyethylthiazole from 1-deoxy-D-xylulose-5-phosphate_ cysteine_ either Tyr or Gly,thiazole synthase ThiG,thiG,1,D,3,G,2153.747697,3232.464164,4378.798601,3255.003487
N/A,tll0070,Unknown function,General,None,protein of unknown function DUF1838,,4,C,2,F,2226.716665,1880.107162,1874.888804,1993.904211
N/A,tll0071,Unknown function,General,None,uncharacterized protein,,1,D,3,G,2613.878249,3539.314043,3254.624294,3135.938862
N/A,tll0072,Transport and binding proteins,Unknown substrate,None,UPF0118 family permease,,4,C,4,H,2996.07163,2779.39834,2285.699194,2687.056388
N/A,tll0073,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan biosynthesis,UDP-N-acetylmuramoylalanine--D-glutamate ligase MurD,murD,2,B,3,G,1917.868347,1232.9545,1736.381555,1629.068134
N/A,tll0075,Unknown function,General,None,SH3 domain protein,,4,C,4,H,5614.972935,4854.887743,3416.640941,4628.833873
N/A,tll0076,Unknown function,Enzymes of unknown specificity,None,AAA family ATPase Ycf46,ycf46,4,C,4,H,2731.999606,1600.853692,1633.637158,1988.830152
N/A,tll0077,Unknown function,General,None,protein of unknown function DUF177 YceD,yceD,2,B,3,G,6544.324197,5096.03441,6040.780532,5893.713046
N/A,tll0078,Signal transduction,General,pixDE light intensity sensor,flavin-binding BLUF protein PixD,pixD,4,C,3,G,5756.694606,2417.093261,3340.694557,3838.160808
N/A,tll0079,Unknown function,General,None,protein of unknown function DUF2752,,1,D,1,E,277.7613127,526.8330614,522.5621444,442.3855062
N/A,tll0080,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,tRNA-guanine transglycosylase Tgt,tgt,1,D,3,G,338.2844549,2155.202374,3431.96989,1975.152239
N/A,tll0113,Regulatory functions,Protein interactions,redox regulatory system FtrCV,ferredoxin-thioredoxin reductase beta subunit FtrC,ftrC,1,D,3,G,3399.879901,3541.431728,4196.101221,3712.47095
N/A,tll0118,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,None,DnaJ domain-containing protein,,2,B,4,H,2088.945685,1068.542076,1713.077725,1623.521829
N/A,tll0119,None,None,None,None,None,2,B,4,H,2196.109295,1076.691541,2772.016477,2014.939104
N/A,tll0120,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,type IV fimbrial assembly protein PilC,pilC,4,C,4,H,13993.51592,8878.416685,8815.947589,10562.62673
N/A,tll0121,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,pilin retraction protein PilT,pilT,4,C,4,H,39899.05575,21661.98556,17202.85475,26254.63202
N/A,tll0122,Cell motility and adherance,Surface structures and assembly platforms,T2bSS type IVa pilus complex,type IV fimbrial assembly ATPase PilB,pilB,4,C,1,E,22450.22614,16994.83853,12426.77648,17290.61372
N/A,tll0126,Unknown function,General,None,hypothetical protein,,1,D,3,G,5781.955855,11108.5306,13183.02004,10024.50216
N/A,tll0128,Nucleic acid metabolism,DNA replication_ recombination_ and repair,DNA Repair,SbcC-like exonuclease,,4,C,4,H,3701.369799,1713.271959,1649.437953,2354.693237
N/A,tll0130,Prosthetic groups_ cofactors_ and carriers,Ubiquinone and other terpenoid-quinone biosynthesis,phylloquinone biosynthesis via SEPHCHC,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase MenD,menD,2,B,3,G,464.7446543,465.7253611,716.1880674,548.8860276
N/A,tll0131,Defense and invasion systems,Protein_ prosthetic group_ membrane repair,FtsH2-FtsH3 photosystem II repair complex,ATP-dependent metalloprotease FtsH3,ftsH3,1,D,4,H,9582.850779,11498.28432,10620.5098,10567.21496
N/A,tll0133,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,imidazoleglycerol-phosphate dehydratase HisB,hisB,1,D,3,G,5746.759607,19345.82446,15828.55485,13640.37964
N/A,tll0135,Unknown function,General,None,periplasmic protein of unknown function,,1,D,3,G,4203.770667,13379.73461,15262.86345,10948.78957
N/A,tll0138,Unknown function,General,None,protein of unknown function DUF2062,,1,D,3,G,942.4223045,1120.05329,1607.476678,1223.317424
N/A,tll0139,Transport and binding proteins,Unknown substrate,None,multidrug efflux transporter MFS family,,1,D,3,G,328.1126811,779.7842869,1353.304775,820.400581
N/A,tll0141,Unknown function,General,None,uncharacterized protein,,4,C,4,H,6704.653374,1638.181622,929.1529338,3090.662643
N/A,tll0142,Unknown function,General,None,hypothetical protein,,1,D,2,F,1745.542538,1998.366945,2637.263016,2127.0575
N/A,tll0145,Transport and binding proteins,Anions,None,CIC family chloride carrier/channel,,4,C,4,H,9253.096389,2303.221491,1263.666977,4273.328286
N/A,tll0146,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),zeta-carotene isomerase nnrU,nnrU,1,D,3,G,1832.620987,5505.108074,7808.696466,5048.808509
N/A,tll0150,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,chlorophyll biosynthesis from chlorophyllide a,geranylgeranyl reductase ChlP,chlP,1,D,1,E,4994.813516,24637.69798,29641.62427,19758.04526
N/A,tll0153,Transport and binding proteins,Unknown substrate,None,cation-transporting ATPase E1-E2 family,,1,D,2,F,732.5072509,1167.443842,1203.743966,1034.56502
N/A,tll0154,Defense and invasion systems,General,DNA damage response,universal stress protein UspA family,,1,D,3,G,252.5557352,1289.720603,2519.682383,1353.98624
N/A,tll0155,None,None,None,None,None,1,D,4,H,77.66269247,97.47844473,169.9043465,115.0151612
N/A,tll0156,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTe12 transposase OrfA TnpA_ISTel2,tnpA_ISTel2,1,D,3,G,145.5869743,293.1242429,434.520968,291.0773951
N/A,tll0158,Transport and binding proteins,Cations and iron carrying compounds,None,CPA1 family Na:H antiporter,,1,D,3,G,212.8538803,371.0131488,560.3224223,381.3964838
N/A,tll0161,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,heat shock,co-chaperone GrpE,grpE,2,B,4,H,502.6725345,465.8792889,542.4543972,503.6687402
N/A,tll0162,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,multiple sugar uptake system,ABC-type multiple sugar uptake system ATPase component,,2,B,2,F,935.2537764,472.1329468,1346.908373,918.0983656
N/A,tll0165,Regulatory functions,Protein interactions,Glutamate inactivation,glutamine synthetase inactivating factor IF17 GifB,gifB,4,C,4,H,190937.9103,19844.38329,7507.643646,72763.31242
N/A,tll0167,Translation,Ribosomal proteins: synthesis and modification,ribosome large subunit,LSU ribosomal protein L21 RplU,rplU,1,D,3,G,43016.94805,102024.8154,129347.1894,91462.98431
N/A,tll0168,Unknown function,General,None,putative phosphopeptide binding protein,,4,C,4,H,239.9318344,145.1237982,118.7143947,167.9233425
N/A,tll0169,Regulatory functions,DNA interactions,iron-sulfur cluster assembly_ ISC system,transcriptional repressor of Fe-S cluster biogenesis system IscR,iscR,1,D,4,H,356.366169,542.3626381,515.5925005,471.4404359
N/A,tll0170,Natural products biosynthesis,Anti-microbial compounds,bacteriocin,FMN-dependent non-ribosomal peptide synthetase,,2,B,4,H,558.8632925,429.3842988,631.4673258,539.9049724
N/A,tll0172,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,coenzyme B12 biosynthesis upper pathway,precorrin-6Y C5_15-methyltransferase (decarboxylating) CobL,cobL,4,C,0,,557.9666695,217.2701913,275.6173362,350.2847323
N/A,tll0173,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,coenzyme B12 biosynthesis upper pathway,precorrin-8X methylmutase CobH,cobH,4,C,4,H,2596.667202,819.5564289,580.2932913,1332.172307
N/A,tll0175,Regulatory functions,DNA interactions,None,YebC family transcriptional regulator,,2,B,4,H,3789.833385,2565.277106,3515.798544,3290.303012
N/A,tll0178,Prosthetic groups_ cofactors_ and carriers,Folate biosynthesis,tetrahydrofolate biosynthesis from GTP and PABA,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase FolK,folK,4,C,4,H,1772.244442,1020.647912,624.3677669,1139.086707
N/A,tll0180,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,ATP phosphoribosyltransferase catalytic subunit HisG,hisG,3,A,4,H,1972.892555,2718.840622,2002.376705,2231.369961
N/A,tll0181,Regulatory functions,Protein interactions,histidine biosynthesis,ATP phosphoribosyltransferase regulatory subunit HisZ,hisZ,4,C,4,H,4008.958922,2893.409624,2667.782135,3190.050227
N/A,tll0182,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,None,TPR repeat domain protein with DnaJ domain,,2,B,3,G,4999.186092,4459.951212,6347.962572,5269.033292
N/A,tll0183,Prosthetic groups_ cofactors_ and carriers,One carbon pool by folate,None,formyltetrahydrofolate deformylase PurU,purU,1,D,3,G,289.3020344,841.1964979,1650.707424,927.0686522
N/A,tll0184,Nucleic acid metabolism,DNA replication_ recombination_ and repair,Nucleotide excision repair,excinuclease ABC subunit UvrA,uvrA,1,D,0,,247.931723,624.217704,837.7555682,569.9683317
N/A,tll0185,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,chaperone system: GroEL/GroES,chaperonin GroEL,groEL1,1,D,3,G,22700.66501,84718.62488,88013.91413,65144.40134
N/A,tll0186,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,chaperone system: GroEL/GroES,chaperonin GroES,groES,1,D,3,G,30682.89209,103667.0729,88350.67718,74233.5474
N/A,tll0187,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,multiple sugar uptake system,ABC-type multiple sugar uptake system permease component,,4,C,3,G,1383.284248,1334.977595,1129.709033,1282.656959
N/A,tll0188,Transport and binding proteins,Cations and iron carrying compounds,ammonium uptake,ammonium permease Amt,amt,1,D,3,G,4108.28847,7950.083389,8105.678122,6721.349994
N/A,tll0199,Unknown function,General,None,hypothetical protein,,2,B,3,G,587.2011853,303.5829239,509.5068029,466.7636374
N/A,tll0200,Unknown function,General,None,membrane protein of unknown function DUF3120,,4,C,0,,392.8365647,317.2510092,351.3962304,353.8279348
N/A,tll0201,Unknown function,General,None,hypothetical protein,,4,C,3,G,1121.947325,579.3057049,649.3518352,783.5349551
N/A,tll0202,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecF,secF,3,A,4,H,3858.626296,4993.614662,4256.526514,4369.589157
N/A,tll0203,Intracellular trafficking_ assembly_ and processing,Protein export_ secretion_ and sorting,Sec protein export system,preprotein translocase subunit SecD,secD,4,C,3,G,4891.666878,4754.234202,4754.963412,4800.288164
N/A,tll0204,Carbohydrate metabolism,Pyruvate metabolism,pyruvate dehydrogenase complex PdhABCD-AceE,pyruvate dehydrogenase E1 component beta subunit PdhB,pdhB,1,D,3,G,4042.488645,5811.552604,10958.51266,6937.517969
N/A,tll0205,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel3 transposase TnpA_ISTel3,tnpA_ISTel3,4,C,0,,111.3772872,18.32808273,9.840948088,46.51543935
N/A,tll0210,Intracellular trafficking_ assembly_ and processing,Peptidases,membrane protease,intramembrane C-terminal tripeptide endopeptidase M79 family,,3,A,4,H,1212.631765,1717.187426,1024.378538,1318.06591
N/A,tll0211,Regulatory functions,Protein interactions,clpXP degradation machine,ATP-dependent Clp protease adaptor protein ClpS,clpS,1,D,2,F,3252.405308,9172.86432,8935.12617,7120.131933
N/A,tll0212,Translation,Transfer RNA biogenesis,tRNA aminoacylation,class II lysyl-tRNA synthetase LysS,lysS,1,D,3,G,1864.944239,3743.470985,5568.832366,3725.749197
N/A,tll0214,Transport and binding proteins,Unknown substrate,None,ABC-type export system hybrid permease / ATPase MdlB,mdlB,1,D,3,G,303.8587495,694.2601395,1665.350153,887.8230141
N/A,tll0216,Amino acid metabolism,Histidine metabolism,histidine biosynthesis from ribose-5-phosphate,phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase HisA,hisA,1,D,3,G,2135.260917,3719.463711,4983.333151,3612.685926
N/A,tll0217,None,None,None,None,None,4,C,4,H,851.268021,763.5241222,456.989648,690.5939304
N/A,tll0218,Translation,tRNA and rRNA base modification,queuosine (Q-tRNA) biosynthesis from preQ0,7-cyano-7-deazaguanine reductase QueF1,queF1,3,A,4,H,14697.75234,22175.52392,16681.42734,17851.56787
N/A,tll0220,Regulatory functions,Protein interactions,NADH dehydrogenase I,NDH-1 complex sensory subunit CupS,cupS,1,D,1,E,2093.18522,5467.486873,9001.462495,5520.711529
N/A,tll0222,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel3 transposase TnpA_ISTel3,tnpA_ISTel3,4,C,0,,95.30464183,8.775153132,2.420353983,35.50004965
N/A,tll0223,Transport and binding proteins,Unknown substrate,None,P-FAT family ABC-type export system hybrid permease / ATPase,,1,D,0,,522.7234964,1004.399491,1252.540247,926.5544115
N/A,tll0231,Prosthetic groups_ cofactors_ and carriers,Nicotinate and nicotinamide metabolism,NAD(P) biosynthesis from L-aspartate and DHAP,quinolinate synthase NadA,nadA,2,B,3,G,1235.57971,1150.649823,1461.7326,1282.654044
N/A,tll0232,Terpenoids and polyketides metabolism,Carotenoid metabolism,myxoxanthophyll biosynthesis,C-3'_4' desaturase CrtD,crtD,1,D,4,H,555.7590732,678.5971286,838.0635107,690.8065708
N/A,tll0233,Amino acid metabolism,Histidine metabolism,histidine biosynthesis,bifunctional phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase HisIE,hisIE,1,D,3,G,1688.471294,2903.755591,5317.235856,3303.154247
N/A,tll0236,Amino acid metabolism,Alanine_ aspartate and glutamate metabolism,aspartate-asparagine interconversion,asparagine synthetase [glutamine-hydrolyzing] AsnB,asnB,2,B,3,G,3572.910073,3357.294169,4179.801309,3703.335184
N/A,tll0248,Unknown function,General,None,protein of unknown function DUF2949,,4,C,4,H,40255.64286,3576.409136,843.7491067,14891.9337
N/A,tll0251,Glycan biosynthesis and metabolism,Peptidoglycan metabolism,peptidoglycan bioysnthesis and recycling,N-acetylmuramoyl-L-alanine amidase AmiA,amiA,1,D,3,G,1264.562099,3315.244544,4426.569745,3002.125463
N/A,tll0255,Transport and binding proteins,Amino acids_ peptides and amines,None,APC family amino acid-polyamine transporter,,0,,0,,49.24327749,65.21689043,71.67733226,62.04583339
N/A,tll0256,Mobile and extrachromosomal element functions,Selfish genetic elements,Insertion element,ISTel2 transposase OrfB TnpB_ISTel2,tnpB_ISTel2,0,,0,,23.34228124,14.25039594,21.06079664,19.55115794
N/A,tll0259,Translation,Translation factors,release factors,ribosome recycling factor Frr,frr,3,A,1,E,5790.744282,8890.078837,6836.504917,7172.442678
N/A,tll0260,Nucleic acid metabolism,Pyrimidine metabolism,None,uridylate kinase PyrH,pyrH,1,D,3,G,1854.453152,4069.354385,6098.795015,4007.534184
N/A,tll0266,Unknown function,General,None,uncharacterized isomerase yddE PhzC-PhzF family,yddE,1,D,3,G,383.973939,722.1609866,1385.126985,830.4206369
N/A,tll0268,Transport and binding proteins,Unknown substrate,None,integral membrane protein TerC family,,4,C,4,H,7423.9839,6144.392992,4948.192025,6172.189639
N/A,tll0269,Unknown function,General,None,extracytoplasmic TPR repeat domain protein,,3,A,4,H,8841.572829,11892.18603,6655.617592,9129.792151
N/A,tll0277,Amino acid metabolism,Glycine_ serine and threonine metabolism,homoserine biosynthesis from aspartate,homoserine dehydrogenase ThrA,thrA,1,D,3,G,1415.745439,3617.871452,3725.489458,2919.702116
N/A,tll0278,Unknown function,General,None,COG2187 family uncharacterized protein,,1,D,3,G,728.5532812,1904.399783,3285.434807,1972.795957
N/A,tll0280,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,nucleoid associated proteins,DnaJ-class molecular chaperone CbpA,cbpA,2,B,3,G,2812.472203,2668.710063,4547.021222,3342.734496
N/A,tll0282,Unknown function,General,None,pentapeptide repeat protein,,4,C,4,H,4113.9047,409.638822,243.534168,1589.025897
N/A,tll0286,Unknown function,General,None,hypothetical protein,,0,,0,,174.3811451,155.8181056,137.9141567,156.0378025
N/A,tll0287,Unknown function,General,photosystem II,hemoprotein associated with the PsbA2-Photosystem II complex,,2,B,2,F,643.0339372,546.485352,622.4770791,603.9987894
N/A,tll0288,Energy metabolism,Sulfur metabolism,sulfide reduction to polysulfide,sulfide quinone reductase Sqr,sqr,2,B,0,,309.5191502,244.9588135,329.2362714,294.5714117
N/A,tll0290,Glycan biosynthesis and metabolism,Other glycan degradation,mannose hydrolysis from N-glycans,alpha-mannosidase Ams1,ams1,1,D,3,G,692.6372068,1038.694791,1151.530579,960.9541923
N/A,tll0292,Unknown function,Enzymes of unknown specificity,None,possible alpha/beta hydrolase superfamily,,1,D,3,G,221.2252332,419.4883179,647.0853596,429.2663036
N/A,tll0300,Unknown function,Enzymes of unknown specificity,None,haloacid dehalogenase superfamily subfamily IA hydrolase,,2,B,3,G,631.2960469,491.8771056,1309.946794,811.039982
N/A,tll0303,Transport and binding proteins,Cations and iron carrying compounds,Na-dependent K uptake system KtrAB,Na-dependent potassium uptake system permease component KtrB,ktrB,2,B,3,G,772.3688641,584.8126302,832.6255612,729.9356852
N/A,tll0306,Unknown function,Enzymes of unknown specificity,None,transglutaminase-like superfamily protein,,4,C,4,H,2901.219175,1682.661944,1435.840103,2006.573741
N/A,tll0307,Intracellular trafficking_ assembly_ and processing,Chaperone and folding catalysis,ClpP3-ClpR-ClpC proteolytic complex,Clp3 protease chaperone ClpC,clpC,4,C,1,E,39815.24899,38154.37366,27066.94744,35012.19003
N/A,tll0312,Nucleic acid metabolism,DNA replication_ recombination_ and repair,nucleotide excision repair,UvrD/REP helicase domain-containing protein,,4,C,4,H,2117.903087,1165.686465,773.6249172,1352.404823
N/A,tll0314,Unknown function,Enzymes of unknown specificity,None,glycosyltransferase family 2,,4,C,0,,324.7229054,131.2413338,153.1890091,203.0510828
N/A,tll0315,Unknown function,General,None,protein of unknown function DUF3110,,4,C,3,G,925.1060296,786.0280866,760.5499625,823.8946929
N/A,tll0316,Transport and binding proteins,Accesory functions,TonB energy transduction system,biopolymer transport system component ExbB,exbB,1,D,3,G,492.353864,1168.783409,1963.651579,1208.262951
N/A,tll0321,Glycan biosynthesis and metabolism,Polysacharide and lipopolysaccharide metabolism,KDO(2)-lipid A (Re LPS) biosynthesis and delivery,lipid-A-disaccharide synthase LpxB,lpxB,1,D,2,F,659.4615798,1115.451059,1364.371403,1046.428014
N/A,tll0322,Metabolism of other amino acids and amines,Glutathione metabolism,glutathione biosynthesis,glutamate-cysteine ligase GshA,gshA,2,B,3,G,1513.924131,1565.988797,2791.5299,1957.147609
N/A,tll0327,Fatty acid and lipid metabolism,Biosynthesis,digalactosyldiacylglycerol biosynthesis,digalactosyldiacylglycerol (DGDG) synthase DgdA,dgdA,3,A,1,E,2835.453029,3220.617873,2553.813137,2869.961346
N/A,tll0328,Transport and binding proteins,Carbohydrates_ organic alcohols_ and acids,intermembrane phospholipid trafficking MlaACDEF,ABC-type phospholipid uptake system ATPase component MlaF,mlaF,4,C,2,F,4305.113437,3620.898528,3506.466069,3810.826011
N/A,tll0329,Defense and invasion systems,Protein_ prosthetic group_ membrane repair,Iron-sulfur cluster repair,IscA FeS stabilizing protein IaiH,iaiH,4,C,4,H,9809.371556,2882.961426,2042.756469,4911.696484
N/A,tll0330,Energy metabolism,Nitrogen metabolism,urease,urease beta subunit UreB,ureB,4,C,4,H,1639.708806,1049.777207,1009.387433,1232.957815
N/A,tll0331,Prosthetic groups_ cofactors_ and carriers,Vitamin B6 metabolism,pyridoxal biosynthesis from erythrose-4P,pyridoxamine 5'-phosphate oxidase PdxH,pdxH,4,C,1,E,2395.554299,2322.193838,2260.050684,2325.93294
N/A,tll0332,Unknown function,General,None,membrane protein of unknown function DUF2339,,4,C,4,H,1836.882751,456.1647716,279.1379106,857.3951443
N/A,tll0336,Unknown function,Enzymes of unknown specificity,None,polyketide cyclase / dehydrase family enzyme,,1,D,4,H,842.038382,4970.569569,6259.070694,4023.892881
N/A,tll0337,Terpenoids and polyketides metabolism,Carotenoid metabolism,lycopene biosynthesis from isopentyl pyrophosphate (IPP),zeta-carotene desaturase CrtQ,crtQ,1,D,1,E,771.2332172,2463.412753,3457.515663,2230.720544
N/A,tll0340,Intracellular trafficking_ assembly_ and processing,Peptidases,None,family S33 unassigned peptidase,,1,D,3,G,103.0752736,132.2456565,223.8682707,153.0630669
N/A,tll0357,Unknown function,General,None,hypothetical protein,,4,C,4,H,280.328958,259.9312747,188.7261694,242.9954674
N/A,tll0358,Amino acid metabolism,Phenylalanine_ tyrosine and tryptophan biosynthesis,chorismate from erythrose-4P,3-deoxy-7-phosphoheptulonate synthase AroA2,aroA2,1,D,4,H,1762.295225,3054.685676,2428.692399,2415.224433
N/A,tll0360,Unknown function,Enzymes of unknown specificity,None,NmrA family protein Ycf39-like,,1,D,3,G,120.1547267,149.8233784,312.4836692,194.1539248
N/A,tll0365,Prosthetic groups_ cofactors_ and carriers,Porphyrin and chlorophyll metabolism,bilin biosynthesis,heme oxygenase (decyclizing) Hox1,hox1,3,A,3,G,62667.11931,69241.1847,51177.29324,61028.53242
N/A,tll0366,Amino acid metabolism,Arginine and proline metabolism,arginine biosynthesis from ornithine_ carbamoyl-p_ and aspartate (urea cycle),argininosuccinate lyase ArgH,argH,2,B,3,G,1372.955741,1422.111129,2387.530539,1727.53247
N/A,tll0369,Unknown function,Enzymes of unknown specificity,None,TPR repeat-containing glycosyltransferase family 2,,4,C,0,,574.254552,383.7874588,383.6666928,447.2362346
