condition-type ID,physical sample ID,description,RNAseq Platform,,%power,inc. irradiance (umol photons/m^2/sec)
HLLO (high light low oxygen),TS040514.18A1,"100% power, DO=7.716, (pO2=0) COCULTURE",Illumina (NextSeq),,100,197
HLLO (high light low oxygen),TS040514.18B1,"100% power, DO=7.716, (pO2=0) COCULTURE",Illumina (NextSeq),,68.64,1190
HLLO (high light low oxygen),TS040514.18A2,"100% power, DO=7.716, (pO2=0) COCULTURE",Illumina (NextSeq),,,
HLLO (high light low oxygen),TS040514.18B2,"100% power, DO=7.716, (pO2=0) COCULTURE",Illumina (NextSeq),,,
HLMO (higl light medium oxygen),TS040514.19A,"100% power, DO=150 ,(pO2=0.30) COCULTURE",Illumina (NextSeq),,30,1995
HLMO (higl light medium oxygen),TS040514.19B,"100% power, DO=150 ,(pO2=0.30) COCULTURE",Illumina (NextSeq),,,
HLHO (high light high oxygen),TS040514.20A,"100% power, DO=217% (pO2=0.59),COUCULTURE",Illumina (NextSeq),,,
HLHO (high light high oxygen),TS040514.20B,"100% power, DO=217% (pO2=0.59),COUCULTURE",Illumina (NextSeq),,,
LLLO (low light low oxygen),M061814.14A,"30% power, No O2 COCULT",Illumina (NextSeq),,,
LLLO (low light low oxygen),M061814.14B,"30% power, No O2 COCULT",Illumina (NextSeq),,,
MLLO (medium ligh low oxygen),M061814.13A,"68.64% power, No O2 COCULT",Illumina (NextSeq),,,
MLLO (medium ligh low oxygen),M061814.13B,"68.64% power, No O2 COCULT",Illumina (NextSeq),,,
,,,,,,
,,,,,,
