"Table 1. Gene expression summaries for MED4 genes identified as differentially expressed (q<0.05 at t=48).  FC, fold change (-P/+P)",,,,,,,,,,,,
ORF,Description,FC t=0,q-value t=0,FC t=4,q-value t=4,FC t=12,q-value t=12,FC t=24,q-value t=24,FC t=48,q-value t=48,
PMM0709,som possible porin,-1.133,0.5211,1.175,0.5285,1.274,0.5349,13.670,0.0000,117.337,0.0000,
PMM1416,conserved hypothetical,-1.017,0.6962,1.020,0.6530,1.537,0.1640,9.086,0.0000,44.524,0.0000,
PMM0708,phoA alkaline phosphatase,-1.055,0.6412,1.336,0.4679,2.142,0.0080,13.059,0.0000,162.295,0.0000,
PMM0707,possible Lipoprotein,-1.381,0.2181,1.161,0.5223,1.094,0.7691,2.677,0.0053,29.907,0.0000,
PMM0720,possible Poly A polymerase regulatory subunit,1.019,0.6806,-1.038,0.6097,-1.047,0.8067,1.431,0.1031,13.245,0.0000,
PMM1414,unnamed,-1.070,0.6371,1.726,0.2221,1.506,0.1640,2.299,0.0004,16.334,0.0000,
PMM0710,"ABC transporter, substrate binding protein,phosphate",1.142,0.4626,1.041,0.6121,1.202,0.3275,2.232,0.0000,4.670,0.0000,
PMM1409,possible Rubredoxin,-1.059,0.6305,-1.045,0.6328,1.130,0.7051,1.679,0.1864,21.031,0.0000,
PMM0719,hypothetical,-1.289,0.3027,-1.034,0.6578,1.313,0.4148,2.257,0.0042,12.183,0.0000,
PMM0723,"pstC,phoW putative phosphate ABC transporter",1.104,0.5570,1.866,0.2065,1.536,0.1464,2.264,0.0051,9.222,0.0000,
PMM0724,"pstA,phoT putative phosphate ABC transporter",-1.275,0.2839,1.728,0.2691,1.012,0.8901,1.280,0.6342,8.034,0.0000,
PMM0705,"phoB two-component response regulator, phosphate",1.010,0.7034,2.158,0.1601,3.490,0.0000,2.882,0.0001,5.298,0.0000,
PMM0713,gap1 Putative glyceraldehyde 3-phosphatedehydrogenase,-1.048,0.6416,1.109,0.5695,2.467,0.0011,2.424,0.0000,5.273,0.0001,
PMM0806,"Bacterial regulatory proteins, Crp family",1.343,0.3219,1.384,0.3502,1.638,0.1464,1.109,0.7591,4.461,0.0005,
PMM1408,hypothetical,-1.125,0.5183,1.154,0.5204,1.173,0.5916,1.172,0.6342,2.941,0.0017,
PMM1403,HNH endonuclease:HNH nuclease,-1.265,0.2876,1.315,0.3998,-1.159,0.5916,-1.038,0.8580,6.497,0.0018,
PMM1415,possible UBX domain,-1.034,0.6805,2.042,0.2383,1.175,0.6484,1.109,0.7575,3.684,0.0020,
PMM0712,"multidrug efflux transporter, MFS family",-1.094,0.5830,1.555,0.3013,1.974,0.0171,1.805,0.0151,3.361,0.0022,
PMM1407,possible SRP19 protein,1.004,0.7145,1.008,0.6778,1.312,0.3209,1.246,0.6215,3.122,0.0035,
PMM0805,hypothetical,1.041,0.6281,1.506,0.3436,1.039,0.7812,1.316,0.6342,5.710,0.0036,
PMM0706,"phoR two-component sensor histidine kinase, phosphatesensing",-1.083,0.5734,1.241,0.4769,1.455,0.1464,1.513,0.4544,2.522,0.0084,
PMM1411,hypothetical,-1.126,0.5183,1.041,0.6433,-1.139,0.7493,1.073,0.8482,3.629,0.0114,
PMM0715,possible chorismate binding enzyme,-1.533,0.1344,1.337,0.3840,1.001,0.8901,-1.216,0.6342,2.871,0.0119,
PMM0496,"sigA, rpoD Putative principal RNA polymerase sigma factor",-1.065,0.6166,1.274,0.4769,2.031,0.0180,1.002,0.8786,2.194,0.0131,
PMM1457,atp1 possible ATP synthase subunit 1,1.490,0.1084,1.056,0.6301,1.822,0.0134,1.369,0.3724,2.060,0.0131,
PMM0718,"possible Bacterial regulatory proteins, crp fa",-1.091,0.4626,1.265,0.2691,1.020,0.8655,-1.164,0.6342,8.517,0.0220,
PMM0970,"urtA putative urea ABC transporter, substrate bindingprotein",-1.657,0.0285,-1.160,0.3536,1.003,0.8832,-1.065,0.7814,-1.883,0.0256,
PMM0975,conserved hypothetical protein,-1.027,0.7145,1.172,0.5625,1.076,0.7494,-1.153,0.7041,2.392,0.0348,
PMM0721,possible Myosin N-terminal SH3-like domain,1.011,0.6962,1.052,0.5986,-1.143,0.6188,1.245,0.6215,4.356,0.0367,
PMM1113,two-component response regulator,1.514,0.1381,1.693,0.0818,1.817,0.0180,1.276,0.4692,1.910,0.0374,
PMM0551,"rbcS, cbbS Ribulose bisphosphate carboxylase, small chain",-2.345,0.0068,-1.616,0.0733,-1.335,0.2073,1.015,0.8724,-1.842,0.0378,
PMM1035,"possible DNA gyrase/topoisomerase IV, subunit",1.056,0.6922,1.627,0.2707,1.586,0.0638,1.147,0.7422,2.307,0.0478,
PMM1405,hypothetical,-1.524,0.2839,-1.012,0.4769,-1.617,0.1294,1.076,0.7814,-2.086,0.0478,
PMM1482,hli3 possible high light inducible protein,-1.036,0.6500,-1.170,0.4646,-1.084,0.7578,-1.159,0.6342,-1.864,0.0486,
