RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster
2,MIT1002_0002 ,contig00001_998_213,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8),Y,,coculture_LD
7,MIT1002_0007 ,contig00001_3963_2851,hypothetical protein,Y,,coculture_LD
10,MIT1002_0010 ,contig00001_4467_6419,Glutathione-regulated potassium-efflux system ATP-binding protein,Y,,coculture_LD
11,MIT1002_0011 ,contig00001_6406_6909,hypothetical protein,Y,,coculture_LD
12,MIT1002_0012 ,contig00001_6930_7964,"Hydrolase, alpha/beta fold family functionally coupled to Phosphoribulokinase",Y,,coculture_LD
16,MIT1002_0016 ,contig00001_9613_11238,Glucans biosynthesis protein G precursor,Y,,coculture_LD
24,MIT1002_0024 ,contig00001_18708_19763,Arylsulfatase (EC 3.1.6.1),Y,,coculture_LD
32,MIT1002_0032 ,contig00001_26504_25878,General secretion pathway protein H,Y,,coculture_LD
46,MIT1002_0046 ,contig00001_44943_44038,"Phosphoribulokinase (EC 2.7.1.19) homolog, function unknown",Y,,coculture_LD
59,MIT1002_0057 ,contig00001_56191_57810,amidotransferase-related protein,Y,,coculture_LD
63,MIT1002_0061 ,contig00001_60824_60531,hypothetical protein,Y,,coculture_LD
64,MIT1002_0062 ,contig00001_61676_61047,Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),Y,,coculture_LD
65,MIT1002_0063 ,contig00001_61818_61669,Zn-ribbon protein,Y,,coculture_LD
66,MIT1002_0064 ,contig00001_62047_62334,hypothetical protein,Y,,coculture_LD
68,MIT1002_0066 ,contig00001_64690_64953,hypothetical protein,Y,,coculture_LD
69,MIT1002_0067 ,contig00001_65446_65006,hypothetical protein,Y,,coculture_LD
70,MIT1002_0068 ,contig00001_66641_65697,hypothetical protein,Y,,coculture_LD
74,MIT1002_0072 ,contig00001_69342_68902,3-dehydroquinate dehydratase II (EC 4.2.1.10),Y,,coculture_LD
98,MIT1002_0097 ,contig00001_100777_100595,hypothetical protein,Y,,coculture_LD
111,MIT1002_0111 ,contig00001_116918_118828,Biosynthetic arginine decarboxylase (EC 4.1.1.19),Y,,coculture_LD
113,MIT1002_0113 ,contig00001_120320_121762,ADA regulatory protein,Y,,coculture_LD
116,MIT1002_0116 ,contig00001_124682_123261,GGDEF domain protein,Y,,coculture_LD
133,MIT1002_0133 ,contig00001_146238_145672,hypothetical protein,Y,,coculture_LD
134,MIT1002_0134 ,contig00001_146788_146261,Cytochrome B561,Y,,coculture_LD
138,MIT1002_0138 ,contig00001_148740_149174,hypothetical protein,Y,,coculture_LD
146,MIT1002_0146 ,contig00001_156190_157029,hypothetical protein,Y,,coculture_LD
147,MIT1002_0147 ,contig00001_157019_157540,hypothetical protein,Y,,coculture_LD
163,MIT1002_0163 ,contig00001_175125_174949,hypothetical protein,Y,,coculture_LD
179,MIT1002_0179 ,contig00001_195936_197423,Na+/H+ antiporter NhaC,Y,,coculture_LD
220,MIT1002_0220 ,contig00001_248282_247809,Zinc uptake regulation protein ZUR,Y,,coculture_LD
233,MIT1002_0233 ,contig00001_261075_262226,HflK protein,Y,,coculture_LD
236,MIT1002_0236 ,contig00001_265222_266301,"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)",Y,,coculture_LD
237,MIT1002_0237 ,contig00001_266395_266796,hypothetical protein,Y,,coculture_LD
238,MIT1002_0238 ,contig00001_266939_267823,conserved hypothetical protein,Y,,coculture_LD
239,MIT1002_0239 ,contig00001_267975_269615,Acetolactate synthase large subunit (EC 2.2.1.6),Y,,coculture_LD
240,MIT1002_0240 ,contig00001_269648_271078,Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12),Y,,coculture_LD
243,MIT1002_0242 ,contig00001_271687_272439,3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64),Y,,coculture_LD
249,MIT1002_0248 ,contig00001_277347_276439,Homocysteine S-methyltransferase (EC 2.1.1.10),Y,,coculture_LD
250,MIT1002_0249 ,contig00001_278547_277375,"Transcriptional regulator FrcR for fructose utilization, ROK family",Y,,coculture_LD
252,MIT1002_0251 ,contig00001_280478_279903,Translation elongation factor P-related protein,Y,,coculture_LD
253,MIT1002_0252 ,contig00001_282266_280581,ATP-dependent DNA ligase (EC 6.5.1.1) LigC,Y,,coculture_LD
254,MIT1002_0253 ,contig00001_283282_282266,mRNA 3-end processing factor,Y,,coculture_LD
255,MIT1002_0254 ,contig00001_284405_283557,hypothetical protein,Y,,coculture_LD
257,MIT1002_0256 ,contig00001_286040_288673,FIG003033: Helicase domain protein,Y,,coculture_LD
258,MIT1002_0257 ,contig00001_288714_289418,FIG006285: hypothetical protein,Y,,coculture_LD
283,MIT1002_0282 ,contig00002_34613_35050,hypothetical protein,Y,,coculture_LD
298,MIT1002_0297 ,contig00002_51471_51596,hypothetical protein,Y,,coculture_LD
301,MIT1002_0300 ,contig00002_53374_54471,Chorismate synthase (EC 4.2.3.5),Y,,coculture_LD
307,MIT1002_0305 ,contig00002_61535_60954,Superoxide dismutase [Fe] (EC 1.15.1.1),Y,,coculture_LD
333,MIT1002_0330 ,contig00002_87635_89017,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",Y,,coculture_LD
334,MIT1002_0331 ,contig00002_89114_91129,Excinuclease ABC subunit B,Y,,coculture_LD
349,MIT1002_0346 ,contig00002_108004_106499,Proline/sodium symporter PutP (TC 2.A.21.2.1) @ Propionate/sodium symporter,Y,,coculture_LD
367,MIT1002_0364 ,contig00002_133821_134348,Phosphohistidine phosphatase SixA,Y,,coculture_LD
376,MIT1002_0374 ,contig00002_147346_147738,hypothetical protein,Y,,coculture_LD
377,MIT1002_0375 ,contig00002_147773_149029,Lysophospholipase (EC 3.1.1.5),Y,,coculture_LD
378,MIT1002_0376 ,contig00002_152352_149236,RND multidrug efflux transporter; Acriflavin resistance protein,Y,,coculture_LD
379,MIT1002_0377 ,contig00002_153403_152345,Probable Co/Zn/Cd efflux system membrane fusion protein,Y,,coculture_LD
380,MIT1002_0378 ,contig00002_155343_153535,Lipid A export ATP-binding/permease protein MsbA,Y,,coculture_LD
388,MIT1002_0385 ,contig00002_159184_159813,hypothetical protein,Y,,coculture_LD
392,MIT1002_0389 ,contig00002_164614_163433,Chorismate mutase I (EC 5.4.99.5) / Prephenate dehydratase (EC 4.2.1.51),Y,,coculture_LD
397,MIT1002_0394 ,contig00002_168615_169055,hypothetical protein,Y,,coculture_LD
400,MIT1002_0397 ,contig00002_171950_173347,Putative sensor-like histidine kinase YfhK,Y,,coculture_LD
403,MIT1002_0400 ,contig00002_175842_175357,FOG: GGDEF domain,Y,,coculture_LD
407,MIT1002_0405 ,contig00002_179270_179788,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4),Y,,coculture_LD
417,MIT1002_0415 ,contig00002_188137_189174,Quinolinate synthetase (EC 2.5.1.72),Y,,coculture_LD
435,MIT1002_0433 ,contig00002_208542_209156,"Transcriptional regulator, TetR family",Y,,coculture_LD
