Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
13926696	INSDC	BX548174.1	343484	343627	+	CAP16330.1	Conserved hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
13926696	RefSeq	NC_005072.1	343484	343627	+	WP_173027945.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
13926696	RefSeq	NZ_CAJWDD010000013.1	8852	8995	-	WP_173027945.1	hypothetical protein	uncultured Prochlorococcus sp.		GCF_913031015.1
13926696	RefSeq	NZ_CAXEVU010000088.1	729	872	+	WP_173027945.1	hypothetical protein	uncultured Prochlorococcus sp.		GCF_963999815.1
13926696	RefSeq	NZ_CBFHHZ010000007.1	21836	21979	-	WP_173027945.1	hypothetical protein	Prochlorococcus sp.		GCF_965655815.1
13926696	RefSeq	NZ_CP138914.1	1240439	1240582	+	WP_173027945.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
13926696	RefSeq	NZ_CP138922.1	930456	930599	-	WP_173027945.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
13926696	RefSeq	NZ_CP138923.1	1100951	1101094	-	WP_173027945.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
13926696	RefSeq	NZ_CP138976.1	283264	283407	-	WP_173027945.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
13926696	RefSeq	NZ_JNAG01000006.1	429046	429189	-	WP_173027945.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
13926696	INSDC	JNAG01000006.1	429046	429189	-	KGF86316.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
13926696	INSDC	JAOOMD010000024.1	7018	7161	-	MDC3138063.1	hypothetical protein	Prochlorococcus sp. AH-716-I19		GCA_028409135.1
13926696	INSDC	JAOONA010000015.1	3140	3283	+	MDC3159590.1	hypothetical protein	Prochlorococcus sp. AH-716-G10		GCA_028409595.1
13926696	INSDC	JAOONW010000003.1	9852	9995	-	MDC3168827.1	hypothetical protein	Prochlorococcus sp. AH-716-E17		GCA_028410015.1
13926696	INSDC	JBJLEM010000004.1	13870	14013	-	MFL2880362.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
