Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
16834499	INSDC	BX548175.1	599147	599314	-	CAX31914.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
16834499	RefSeq	NC_005071.1	599147	599314	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
16834499	RefSeq	NZ_CP138943.1	1389261	1389428	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
16834499	RefSeq	NZ_CP138944.1	2235267	2235434	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
16834499	RefSeq	NZ_CP138946.1	2231564	2231731	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
16834499	RefSeq	NZ_CP138947.1	1257056	1257223	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1201	MIT 1201	GCF_047303415.1
16834499	RefSeq	NZ_CP138957.1	1239336	1239503	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1342	MIT 1342	GCF_047304495.1
16834499	RefSeq	NZ_CP138958.1	2176659	2176826	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
16834499	RefSeq	NZ_CP138972.1	1341878	1342045	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
16834499	RefSeq	NZ_CP138973.1	398661	398828	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1323	MIT 1323	GCF_047304905.1
16834499	RefSeq	NZ_JABBYP010000038.1	114160	114327	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
16834499	RefSeq	NZ_JABBYQ010000051.1	114367	114534	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp.P1363	150SLHA	GCF_012933595.1
16834499	RefSeq	NZ_JABBYR010000008.1	39622	39789	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
16834499	RefSeq	NZ_LVHK01000039.1	41417	41584	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCF_001631965.1
16834499	RefSeq	NZ_LVHM01000053.1	39622	39789	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCF_001632005.1
16834499	RefSeq	NZ_LVHN01000012.1	129888	130055	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCF_001632065.1
16834499	RefSeq	NZ_LVHO01000026.1	317938	318105	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCF_001632045.1
16834499	RefSeq	NZ_LVHP01000024.1	412506	412673	+	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCF_001632075.1
16834499	RefSeq	NZ_LVHQ01000025.1	39491	39658	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCF_001632025.1
16834499	RefSeq	NZ_LVHR01000033.1	43956	44123	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCF_001632125.1
16834499	RefSeq	NZ_LVHS01000026.1	39544	39711	-	WP_071818067.1	DUF4278 domain-containing protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCF_001632145.1
16834499	INSDC	CATFFZ010000114.1	3394	3561	+	CAI8221978.1	Uncharacterised protein	Prochlorococcus marinus str. MIT 9313	MIT 9313	GCA_949511955.1
16834499	INSDC	LVHM01000053.1	39622	39789	-	KZR60653.1	hypothetical protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCA_001632005.1
16834499	INSDC	LVHK01000039.1	41417	41584	-	KZR66097.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCA_001631965.1
16834499	INSDC	LVHN01000012.1	129888	130055	-	KZR69090.1	hypothetical protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCA_001632065.1
16834499	INSDC	LVHO01000026.1	317938	318105	+	KZR71892.1	hypothetical protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCA_001632045.1
16834499	INSDC	LVHQ01000025.1	39491	39658	-	KZR75282.1	hypothetical protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCA_001632025.1
16834499	INSDC	LVHP01000024.1	412506	412673	+	KZR76241.1	hypothetical protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCA_001632075.1
16834499	INSDC	LVHR01000033.1	43956	44123	-	KZR79508.1	hypothetical protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCA_001632125.1
16834499	INSDC	LVHS01000026.1	39544	39711	-	KZR81128.1	hypothetical protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCA_001632145.1
16834499	INSDC	JAYZLF010000177.1	7427	7594	-	MEC7738975.1	DUF4278 domain-containing protein	Cyanobacteriota bacterium		GCA_036154475.1
