Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1516669	RefSeq	NC_005072.1	675854	676825	+	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1516669	RefSeq	NZ_CBFHHZ010000005.1	464	1435	+	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus sp.		GCF_965655815.1
1516669	RefSeq	NZ_CP138914.1	1572805	1573776	+	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1516669	RefSeq	NZ_CP138922.1	597262	598233	-	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1516669	RefSeq	NZ_CP138923.1	767757	768728	-	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1516669	RefSeq	NZ_CP138976.1	1611868	1612839	-	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1516669	RefSeq	NZ_JNAG01000006.1	95853	96824	-	WP_011132344.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1516669	INSDC	BX548174.1	675854	676825	+	CAE19169.1	ABC transporter, substrate binding protein, phosphate	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1516669	INSDC	JNAG01000006.1	95853	96824	-	KGF85911.1	Phosphate ABC transporter	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1516669	INSDC	JBJLEM010000007.1	323090	324061	+	MFL2880792.1	phosphate ABC transporter substrate-binding protein PstS	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
1516669	PAT	N/A				AKW58493.1	Sequence 15089 from patent US 8952217	Unknown		
1516669	PAT	N/A				AKW71599.1	Sequence 41004 from patent US 8952217	Unknown		
1516669	PAT	HC904935.1	1	972	+	CBN66848.1	unnamed protein product	Prochlorococcus marinus subsp. pastoris str. CCMP1986	CCMP1986	
