Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1748278	INSDC	BX548174.1	826089	826283	-	CAE19329.1	50S Ribosomal protein L33	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1748278	RefSeq	NC_005072.1	826089	826283	-	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1748278	RefSeq	NZ_CAJWDD010000007.1	43968	44162	+	WP_011132503.1	50S ribosomal protein L33	uncultured Prochlorococcus sp.		GCF_913031015.1
1748278	RefSeq	NZ_CAXEVU010000004.1	31235	31429	+	WP_011132503.1	50S ribosomal protein L33	uncultured Prochlorococcus sp.		GCF_963999815.1
1748278	RefSeq	NZ_CBFHHZ010000006.1	53372	53566	-	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus sp.		GCF_965655815.1
1748278	RefSeq	NZ_CP138914.1	65049	65243	-	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1748278	RefSeq	NZ_CP138922.1	447806	448000	+	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1748278	RefSeq	NZ_CP138923.1	618301	618495	+	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1748278	RefSeq	NZ_CP138976.1	1462413	1462607	+	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1748278	RefSeq	NZ_JNAG01000003.1	93922	94116	+	WP_011132503.1	50S ribosomal protein L33	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1748278	Swiss-Prot	N/A				Q7TU99.1	Large ribosomal subunit protein bL33	Prochlorococcus marinus subsp. pastoris str. CCMP1986		
1748278	INSDC	JNAG01000003.1	93922	94116	+	KGF87568.1	LSU ribosomal protein L33p	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1748278	INSDC	JAOOJH010000006.1	1165	1359	-	MDC3084122.1	50S ribosomal protein L33	Prochlorococcus sp. AH-716-N14		GCA_028450765.1
1748278	INSDC	JAOOOF010000003.1	15903	16097	-	MDC3167918.1	50S ribosomal protein L33	Prochlorococcus sp. AH-716-D22		GCA_028410195.1
1748278	INSDC	JBJLEM010000009.1	164502	164696	-	MFL2881125.1	50S ribosomal protein L33	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
