Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
13926676	INSDC	BX548174.1	58826	58963	+	CAP16304.1	Conserved hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
13926676	RefSeq	NC_005072.1	58826	58963	+	WP_152556135.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
13926676	RefSeq	NZ_CP138914.1	955781	955918	+	WP_152556135.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
13926676	RefSeq	NZ_CP138922.1	1217071	1217208	-	WP_152556135.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
13926676	RefSeq	NZ_CP138923.1	1387566	1387703	-	WP_152556135.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
13926676	RefSeq	NZ_CP138976.1	571833	571970	-	WP_152556135.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
13926676	RefSeq	NZ_JNAG01000002.1	157767	157904	-	WP_152556135.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
13926676	INSDC	JNAG01000002.1	157767	157904	-	KGF88195.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
13926676	INSDC	JAOOIS010000038.1	4498	4635	-	MDC3073005.1	hypothetical protein	Prochlorococcus sp. AH-716-O10		GCA_028450725.1
13926676	INSDC	JAOOPR010000052.1	898	1035	-	MDC3232493.1	hypothetical protein	Prochlorococcus sp. AH-716-A09		GCA_028410995.1
