Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1515449	INSDC	BX548175.1	26836	27081	+	CAE20198.1	conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
1515449	RefSeq	NC_005071.1	26836	27081	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
1515449	RefSeq	NZ_CP138943.1	2528170	2528415	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
1515449	RefSeq	NZ_CP138944.1	761791	762036	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
1515449	RefSeq	NZ_CP138946.1	761948	762193	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
1515449	RefSeq	NZ_CP138958.1	705835	706080	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
1515449	RefSeq	NZ_CP138972.1	196341	196586	-	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
1515449	RefSeq	NZ_JABBYP010000045.1	210440	210685	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
1515449	RefSeq	NZ_JABBYQ010000064.1	175459	175704	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp.P1363	150SLHA	GCF_012933595.1
1515449	RefSeq	NZ_JABBYR010000058.1	50353	50598	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
1515449	RefSeq	NZ_LVHM01000050.1	209588	209833	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCF_001632005.1
1515449	RefSeq	NZ_LVHN01000008.1	116201	116446	-	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCF_001632065.1
1515449	RefSeq	NZ_LVHO01000027.1	116201	116446	-	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCF_001632045.1
1515449	RefSeq	NZ_LVHR01000034.1	661877	662122	+	WP_011129402.1	sulfurtransferase TusA family protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCF_001632125.1
1515449	INSDC	LVHM01000050.1	209588	209833	+	KZR64841.1	SirA-like protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCA_001632005.1
1515449	INSDC	LVHN01000008.1	116201	116446	-	KZR70330.1	SirA-like protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCA_001632065.1
1515449	INSDC	LVHO01000027.1	116201	116446	-	KZR70803.1	SirA-like protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCA_001632045.1
1515449	INSDC	LVHR01000034.1	661877	662122	+	KZR79406.1	SirA-like protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCA_001632125.1
1515449	INSDC	JAYZTP010000267.1	1845	2090	-	MEC7382057.1	sulfurtransferase TusA family protein	Cyanobacteriota bacterium		GCA_036133295.1
1515449	INSDC	JAYZLF010000095.1	2725	2970	-	MEC7738210.1	sulfurtransferase TusA family protein	Cyanobacteriota bacterium		GCA_036154475.1
1515449	INSDC	JABBYR010000058.1	50353	50598	+	NMO84371.1	sulfurtransferase TusA family protein	Prochlorococcus sp. P1344	150SLHB	GCA_012933605.1
1515449	INSDC	JABBYP010000045.1	210440	210685	+	NMP07326.1	sulfurtransferase TusA family protein	Prochlorococcus sp. P1361	150NLHA	GCA_012933585.1
1515449	INSDC	JABBYQ010000064.1	175459	175704	+	NMP14667.1	sulfurtransferase TusA family protein	Prochlorococcus sp.P1363	150SLHA	GCA_012933595.1
