Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1521757	RefSeq	NC_005072.1	110805	111362	+	WP_011131746.1	shikimate kinase	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1521757	RefSeq	NZ_CP138914.1	1007760	1008317	+	WP_011131746.1	shikimate kinase	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1521757	RefSeq	NZ_CP138922.1	1164672	1165229	-	WP_011131746.1	shikimate kinase	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1521757	RefSeq	NZ_CP138923.1	1335167	1335724	-	WP_011131746.1	shikimate kinase	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1521757	RefSeq	NZ_CP138976.1	519434	519991	-	WP_011131746.1	shikimate kinase	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1521757	RefSeq	NZ_JNAG01000002.1	105368	105925	-	WP_011131746.1	shikimate kinase	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1521757	INSDC	BX548174.1	110805	111362	+	CAE18566.1	Shikimate kinase	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1521757	INSDC	JNAG01000002.1	105368	105925	-	KGF88140.1	Shikimate kinase I	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1521757	PAT	N/A				AKW51946.1	Sequence 2122 from patent US 8952217	Unknown		
1521757	PAT	N/A				AKW62407.1	Sequence 22828 from patent US 8952217	Unknown		
1521757	PAT	N/A				AKW67207.1	Sequence 32308 from patent US 8952217	Unknown		
1521757	PAT	HC891969.1	1	558	+	CBN60455.1	unnamed protein product	Prochlorococcus marinus		
1521757	PAT	HC912674.1	1	558	+	CBN70618.1	unnamed protein product	Prochlorococcus marinus		
