Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1526709	INSDC	BX548175.1	1576670	1576825	+	CAX32241.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
1526709	RefSeq	NC_005071.1	1576670	1576825	+	WP_011825131.1	hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
1526709	RefSeq	NC_008820.1	457189	457344	-	WP_011825131.1	hypothetical protein	Prochlorococcus marinus str. MIT 9303	MIT 9303	GCF_000015705.1
1526709	RefSeq	NZ_CP138924.1	157301	157456	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0714	MIT 0714	GCF_047302755.1
1526709	RefSeq	NZ_CP138930.1	2525657	2525812	+	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0718	MIT 0718	GCF_047302805.1
1526709	RefSeq	NZ_CP138933.1	153475	153630	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0702	MIT 0702	GCF_047302865.1
1526709	RefSeq	NZ_CP138938.1	212936	213091	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0707	MIT 0707	GCF_047302985.1
1526709	RefSeq	NZ_CP138948.1	2587723	2587878	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0703	MIT 0703	GCF_047303465.1
1526709	RefSeq	NZ_CP138949.1	140079	140234	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0701	MIT 0701	GCF_047303495.1
1526709	RefSeq	NZ_CP138959.1	189343	189498	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 1306	MIT 1306	GCF_047304515.1
1526709	RefSeq	NZ_CP138973.1	1386708	1386863	+	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 1323	MIT 1323	GCF_047304905.1
1526709	RefSeq	NZ_JNBA01000010.1	48977	49132	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0701	MIT 0701	GCF_000760295.1
1526709	RefSeq	NZ_JNBB01000029.1	48968	49123	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0702	MIT 0702	GCF_000760315.1
1526709	RefSeq	NZ_JNBC01000010.1	42920	43075	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 0703	MIT 0703	GCF_000760335.1
1526709	RefSeq	NZ_LVHK01000033.1	48661	48816	-	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCF_001631965.1
1526709	RefSeq	NZ_LVHL01000011.1	437266	437421	+	WP_011825131.1	hypothetical protein	Prochlorococcus sp. MIT 1306	MIT 1306	GCF_001631985.1
1526709	RefSeq	NZ_LVHQ01000021.1	113365	113520	+	WP_011825131.1	hypothetical protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCF_001632025.1
1526709	INSDC	CP000554.1	457189	457344	-	ABM77207.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9303	MIT 9303	GCA_000015705.1
1526709	INSDC	JNBB01000029.1	48968	49123	-	KGG28356.1	hypothetical protein	Prochlorococcus sp. MIT 0702	MIT 0702	GCA_000760315.1
1526709	INSDC	JNBA01000010.1	48977	49132	-	KGG28661.1	hypothetical protein	Prochlorococcus sp. MIT 0701	MIT 0701	GCA_000760295.1
1526709	INSDC	JNBC01000010.1	42920	43075	-	KGG36306.1	hypothetical protein	Prochlorococcus sp. MIT 0703	MIT 0703	GCA_000760335.1
1526709	INSDC	LVHL01000011.1	437266	437421	+	KZR63282.1	hypothetical protein	Prochlorococcus sp. MIT 1306	MIT 1306	GCA_001631985.1
1526709	INSDC	LVHK01000033.1	48661	48816	-	KZR67335.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCA_001631965.1
1526709	INSDC	LVHQ01000021.1	113365	113520	+	KZR77815.1	hypothetical protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCA_001632025.1
1526709	INSDC	JAKUPE010000004.1	34338	34493	-	MCH2565129.1	hypothetical protein	Prochlorococcus sp. ALOHA_A2.0_51		GCA_022450905.1
1526709	INSDC	JAZAII010000049.1	385	540	-	MED5561800.1	hypothetical protein	Cyanobacteriota bacterium		GCA_036230865.1
