Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
13926755	INSDC	BX548174.1	817042	817191	+	CAP16414.1	Conserved hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
13926755	RefSeq	NC_005072.1	817042	817191	+	WP_173027997.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
13926755	RefSeq	NZ_CAXEVU010000110.1	1537	1686	+	WP_173027997.1	hypothetical protein	uncultured Prochlorococcus sp.		GCF_963999815.1
13926755	RefSeq	NZ_CBFHHZ010000006.1	44210	44359	+	WP_173027997.1	hypothetical protein	Prochlorococcus sp.		GCF_965655815.1
13926755	RefSeq	NZ_CP138914.1	56002	56151	+	WP_173027997.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
13926755	RefSeq	NZ_CP138922.1	456898	457047	-	WP_173027997.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
13926755	RefSeq	NZ_CP138923.1	627393	627542	-	WP_173027997.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
13926755	RefSeq	NZ_CP138976.1	1471505	1471654	-	WP_173027997.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
13926755	RefSeq	NZ_JNAG01000003.1	103014	103163	-	WP_173027997.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
13926755	INSDC	JNAG01000003.1	103014	103163	-	KGF87582.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
13926755	INSDC	JAOOJH010000004.1	4472	4621	-	MDC3084090.1	hypothetical protein	Prochlorococcus sp. AH-716-N14		GCA_028450765.1
13926755	INSDC	JAOOJX010000037.1	896	1045	+	MDC3094225.1	hypothetical protein	Prochlorococcus sp. AH-716-M10		GCA_028407825.1
13926755	INSDC	JBJLEM010000009.1	155339	155488	+	MFL2881110.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
