Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
2796152	INSDC	BX548174.1	401765	401968	+	CAP16351.1	Conserved hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
2796152	RefSeq	NC_005072.1	401765	401968	+	WP_036930908.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
2796152	RefSeq	NZ_CBFHHZ010000002.1	33733	33936	+	WP_036930908.1	hypothetical protein	Prochlorococcus sp.		GCF_965655815.1
2796152	RefSeq	NZ_CP138914.1	1298720	1298923	+	WP_036930908.1	hypothetical protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
2796152	RefSeq	NZ_CP138922.1	872114	872317	-	WP_036930908.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
2796152	RefSeq	NZ_CP138923.1	1042609	1042812	-	WP_036930908.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
2796152	RefSeq	NZ_CP138976.1	224923	225126	-	WP_036930908.1	hypothetical protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
2796152	RefSeq	NZ_JNAG01000006.1	370705	370908	-	WP_036930908.1	hypothetical protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
2796152	INSDC	EM547203.1	1014	1217	+	ECH37481.1	hypothetical protein	marine metagenome		
2796152	INSDC	JBJLEM010000007.1	51497	51700	+	MFL2880486.1	hypothetical protein	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
2796152	INSDC	QOPO01000002.1	35716	35919	+	RCL50336.1	hypothetical protein	Prochlorococcus sp. MED-G72		GCA_003331725.1
