Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1437783	INSDC	BX548175.1	691862	692116	-	CAE20815.1	conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
1437783	RefSeq	NC_005071.1	691862	692116	-	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
1437783	RefSeq	NZ_CP138943.1	1286307	1286561	+	WP_011130019.1	hypothetical protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
1437783	RefSeq	NZ_CP138947.1	1164073	1164327	+	WP_011130019.1	hypothetical protein	Prochlorococcus sp. MIT 1201	MIT 1201	GCF_047303415.1
1437783	RefSeq	NZ_CP138957.1	1146363	1146617	+	WP_011130019.1	hypothetical protein	Prochlorococcus sp. MIT 1342	MIT 1342	GCF_047304495.1
1437783	RefSeq	NZ_CP138958.1	2073705	2073959	+	WP_011130019.1	hypothetical protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
1437783	RefSeq	NZ_CP138973.1	492378	492632	-	WP_011130019.1	hypothetical protein	Prochlorococcus sp. MIT 1323	MIT 1323	GCF_047304905.1
1437783	RefSeq	NZ_LVHN01000012.1	232755	233009	-	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCF_001632065.1
1437783	RefSeq	NZ_LVHO01000026.1	214984	215238	+	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCF_001632045.1
1437783	RefSeq	NZ_LVHP01000024.1	319517	319771	+	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCF_001632075.1
1437783	RefSeq	NZ_LVHQ01000025.1	133208	133462	-	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCF_001632025.1
1437783	RefSeq	NZ_LVHS01000026.1	132430	132684	-	WP_011130019.1	hypothetical protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCF_001632145.1
1437783	INSDC	CATFFZ010000244.1	661	915	-	CAI8243901.1	Uncharacterised protein	Prochlorococcus marinus str. MIT 9313	MIT 9313	GCA_949511955.1
1437783	INSDC	LVHN01000012.1	232755	233009	-	KZR69200.1	hypothetical protein	Prochlorococcus marinus str. MIT 1313	MIT 1313	GCA_001632065.1
1437783	INSDC	LVHO01000026.1	214984	215238	+	KZR71782.1	hypothetical protein	Prochlorococcus marinus str. MIT 1318	MIT 1318	GCA_001632045.1
1437783	INSDC	LVHQ01000025.1	133208	133462	-	KZR75386.1	hypothetical protein	Prochlorococcus marinus str. MIT 1323	MIT 1323	GCA_001632025.1
1437783	INSDC	LVHP01000024.1	319517	319771	+	KZR76136.1	hypothetical protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCA_001632075.1
1437783	INSDC	LVHS01000026.1	132430	132684	-	KZR81229.1	hypothetical protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCA_001632145.1
1437783	INSDC	JAZAOD010000087.1	1458	1712	-	MED5263838.1	hypothetical protein	Cyanobacteriota bacterium		GCA_036228585.1
1437783	INSDC	JAZAII010000033.1	1324	1578	-	MED5561748.1	hypothetical protein	Cyanobacteriota bacterium		GCA_036230865.1
