Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1458099	RefSeq	NC_005072.1	1387064	1388581	-	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1458099	RefSeq	NZ_CAJWDD010000017.1	19402	20919	-	WP_011133080.1	F0F1 ATP synthase subunit alpha	uncultured Prochlorococcus sp.		GCF_913031015.1
1458099	RefSeq	NZ_CAXEVU010000015.1	6819	8336	+	WP_011133080.1	F0F1 ATP synthase subunit alpha	uncultured Prochlorococcus sp.		GCF_963999815.1
1458099	RefSeq	NZ_CBFHHZ010000004.1	1311	2828	+	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp.		GCF_965655815.1
1458099	RefSeq	NZ_CP138914.1	626031	627548	-	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1458099	RefSeq	NZ_CP138922.1	1545313	1546830	+	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1458099	RefSeq	NZ_CP138923.1	56211	57728	+	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1458099	RefSeq	NZ_CP138976.1	900107	901624	+	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1458099	RefSeq	NZ_JNAG01000005.1	41244	42761	-	WP_011133080.1	F0F1 ATP synthase subunit alpha	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1458099	Swiss-Prot	N/A				Q7V037.1	ATP synthase subunit alpha	Prochlorococcus marinus subsp. pastoris str. CCMP1986		
1458099	INSDC	BX548174.1	1387064	1388581	-	CAE19910.1	H+-transporting ATP synthase alpha-subunit	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1458099	INSDC	JNAG01000005.1	41244	42761	-	KGF86702.1	ATP synthase alpha chain	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1458099	INSDC	JAOOJX010000052.1	2692	4209	+	MDC3094332.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. AH-716-M10		GCA_028407825.1
1458099	INSDC	JAOOLH010000032.1	6206	7723	-	MDC3119083.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. AH-716-K03		GCA_028408675.1
1458099	INSDC	JAOOPR010000004.1	4548	6065	-	MDC3232011.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. AH-716-A09		GCA_028410995.1
1458099	INSDC	JAOOPT010000010.1	261	1778	+	MDC3234147.1	F0F1 ATP synthase subunit alpha	Prochlorococcus sp. AH-716-A06		GCA_028411035.1
1458099	INSDC	JBJLEM010000003.1	580980	582497	+	MFL2880310.1	F0F1 ATP synthase subunit alpha	Prochlorococcus marinus subsp. pastoris		GCA_045565875.1
