Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
6734984	INSDC	BX548175.1	1187016	1187189	+	CAX32137.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
6734984	RefSeq	NC_005071.1	1187016	1187189	+	WP_011825608.1	hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
6734984	RefSeq	NC_008820.1	860850	861023	-	WP_011825608.1	hypothetical protein	Prochlorococcus marinus str. MIT 9303	MIT 9303	GCF_000015705.1
6734984	RefSeq	NZ_CP138943.1	764291	764464	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1313	MIT 1313	GCF_047303155.1
6734984	RefSeq	NZ_CP138944.1	1629408	1629581	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
6734984	RefSeq	NZ_CP138946.1	1621115	1621288	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
6734984	RefSeq	NZ_CP138958.1	1566854	1567027	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1318	MIT 1318	GCF_047304505.1
6734984	RefSeq	NZ_CP138959.1	593690	593863	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1306	MIT 1306	GCF_047304515.1
6734984	RefSeq	NZ_CP138972.1	1926048	1926221	+	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
6734984	RefSeq	NZ_CP138973.1	977925	978098	+	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1323	MIT 1323	GCF_047304905.1
6734984	RefSeq	NZ_JABBYP010000015.1	20092	20265	+	WP_011825608.1	hypothetical protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
6734984	RefSeq	NZ_JABBYR010000011.1	20559	20732	-	WP_011825608.1	hypothetical protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
6734984	RefSeq	NZ_LVHK01000041.1	62767	62940	+	WP_011825608.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCF_001631965.1
