Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1497716	RefSeq	NC_005072.1	1473305	1473736	-	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1497716	RefSeq	NZ_CAXEVU010000012.1	6600	7031	-	WP_011133160.1	50S ribosomal protein L13	uncultured Prochlorococcus sp.		GCF_963999815.1
1497716	RefSeq	NZ_CP138914.1	712272	712703	-	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1497716	RefSeq	NZ_CP138922.1	1460158	1460589	+	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1497716	RefSeq	NZ_CP138923.1	1630652	1631083	+	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1497716	RefSeq	NZ_CP138976.1	814952	815383	+	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1497716	RefSeq	NZ_JNAG01000005.1	127487	127918	-	WP_011133160.1	50S ribosomal protein L13	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1497716	Swiss-Prot	N/A				Q7UZW8.1	Large ribosomal subunit protein uL13	Prochlorococcus marinus subsp. pastoris str. CCMP1986		
1497716	INSDC	BX548174.1	1473305	1473736	-	CAE19991.1	50S ribosomal protein L13	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1497716	INSDC	EP501607.1	294	725	+	EBB21198.1	hypothetical protein	marine metagenome		
1497716	INSDC	JNAG01000005.1	127487	127918	-	KGF86782.1	LSU ribosomal protein L13p (L13Ae)	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1497716	INSDC	JAOOJX010000011.1	6485	6916	-	MDC3093788.1	50S ribosomal protein L13	Prochlorococcus sp. AH-716-M10		GCA_028407825.1
1497716	INSDC	JAOOPH010000001.1	12117	12548	-	MDC3203532.1	50S ribosomal protein L13	Prochlorococcus sp. AH-716-B04		GCA_028410835.1
1497716	INSDC	JAOOPT010000012.1	4040	4471	-	MDC3234179.1	50S ribosomal protein L13	Prochlorococcus sp. AH-716-A06		GCA_028411035.1
1497716	PAT	N/A				AGX65889.1	Sequence 31827 from patent US 8541208	Unknown		
1497716	PAT	N/A				AGX71438.1	Sequence 42674 from patent US 8541208	Unknown		
1497716	PAT	N/A				AGX82527.1	Sequence 64798 from patent US 8541208	Unknown		
1497716	PAT	N/A				AGY00681.1	Sequence 81577 from patent US 8541208	Unknown		
1497716	PAT	N/A				AGY03054.1	Sequence 86308 from patent US 8541208	Unknown		
1497716	PAT	N/A				AGY04730.1	Sequence 89639 from patent US 8541208	Unknown		
1497716	PAT	HB899151.1	1	432	+	CBF77954.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HB909998.1	1	432	+	CBF89734.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HB932122.1	1	432	+	CBG00941.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HB948901.1	1	432	+	CBG09149.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HB953632.1	1	432	+	CBG11479.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HB956963.1	1	432	+	CBG13101.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HC956560.1	1	432	+	CBU98353.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HC967407.1	1	432	+	CBV03624.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HC989531.1	1	432	+	CBV14461.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HD006311.1	1	432	+	CBV22671.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HD011042.1	1	432	+	CBV24993.1	unnamed protein product	Prochlorococcus marinus		
1497716	PAT	HD014373.1	1	432	+	CBV26615.1	unnamed protein product	Prochlorococcus marinus		
