Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
6733116	INSDC	BX548175.1	226568	226795	+	CAX31823.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCA_000011485.1
6733116	RefSeq	NC_005071.1	226568	226795	+	WP_011826774.1	hypothetical protein	Prochlorococcus marinus str. MIT 9313	MIT9313	GCF_000011485.1
6733116	RefSeq	NZ_CP138944.1	2607063	2607290	-	WP_011826774.1	hypothetical protein	Prochlorococcus sp. MIT 1312	MIT 1312	GCF_047303165.1
6733116	RefSeq	NZ_CP138946.1	2603393	2603620	-	WP_011826774.1	hypothetical protein	Prochlorococcus sp. MIT 1227	MIT 1227	GCF_047303345.1
6733116	RefSeq	NZ_CP138957.1	1622769	1622996	-	WP_011826774.1	hypothetical protein	Prochlorococcus sp. MIT 1342	MIT 1342	GCF_047304495.1
6733116	RefSeq	NZ_CP138972.1	970642	970869	+	WP_011826774.1	hypothetical protein	Prochlorococcus sp. MIT 1327	MIT 1327	GCF_047304785.1
6733116	RefSeq	NZ_JABBYP010000008.1	38586	38813	-	WP_011826774.1	hypothetical protein	Prochlorococcus sp. P1361	150NLHA	GCF_012933585.1
6733116	RefSeq	NZ_JABBYQ010000046.1	12271	12498	+	WP_011826774.1	hypothetical protein	Prochlorococcus sp.P1363	150SLHA	GCF_012933595.1
6733116	RefSeq	NZ_JABBYR010000013.1	12271	12498	+	WP_011826774.1	hypothetical protein	Prochlorococcus sp. P1344	150SLHB	GCF_012933605.1
6733116	RefSeq	NZ_LVHK01000040.1	12283	12510	+	WP_011826774.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCF_001631965.1
6733116	RefSeq	NZ_LVHM01000038.1	12271	12498	+	WP_011826774.1	hypothetical protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCF_001632005.1
6733116	RefSeq	NZ_LVHP01000009.1	1098	1325	+	WP_011826774.1	hypothetical protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCF_001632075.1
6733116	RefSeq	NZ_LVHR01000031.1	124738	124965	-	WP_011826774.1	hypothetical protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCF_001632125.1
6733116	RefSeq	NZ_LVHS01000024.1	241812	242039	-	WP_011826774.1	hypothetical protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCF_001632145.1
6733116	INSDC	CP000554.1	1922244	1922471	-	ABM78900.1	Conserved hypothetical protein	Prochlorococcus marinus str. MIT 9303	MIT 9303	GCA_000015705.1
6733116	INSDC	DASCQB010000355.1	376	603	-	HJN34486.1	hypothetical protein	Prochlorococcus sp.		GCA_036012825.1
6733116	INSDC	LVHL01000009.1	253739	253966	-	KZR65148.1	hypothetical protein	Prochlorococcus sp. MIT 1306	MIT 1306	GCA_001631985.1
6733116	INSDC	LVHK01000040.1	12283	12510	+	KZR65671.1	hypothetical protein	Prochlorococcus sp. MIT 1303	MIT 1303	GCA_001631965.1
6733116	INSDC	LVHM01000038.1	12271	12498	+	KZR67775.1	hypothetical protein	Prochlorococcus marinus str. MIT 1312	MIT 1312	GCA_001632005.1
6733116	INSDC	LVHP01000009.1	1098	1325	+	KZR78713.1	hypothetical protein	Prochlorococcus marinus str. MIT 1320	MIT 1320	GCA_001632075.1
6733116	INSDC	LVHR01000031.1	124738	124965	-	KZR81628.1	hypothetical protein	Prochlorococcus marinus str. MIT 1327	MIT 1327	GCA_001632125.1
6733116	INSDC	LVHS01000024.1	241812	242039	-	KZR82505.1	hypothetical protein	Prochlorococcus marinus str. MIT 1342	MIT 1342	GCA_001632145.1
6733116	INSDC	JAYZTP010000499.1	1	228	-	MEC7382712.1	hypothetical protein	Cyanobacteriota bacterium		GCA_036133295.1
6733116	INSDC	JABBYR010000013.1	12271	12498	+	NMO83569.1	hypothetical protein	Prochlorococcus sp. P1344	150SLHB	GCA_012933605.1
6733116	INSDC	JABBYP010000008.1	38586	38813	-	NMP05353.1	hypothetical protein	Prochlorococcus sp. P1361	150NLHA	GCA_012933585.1
6733116	INSDC	JABBYQ010000046.1	12271	12498	+	NMP13356.1	hypothetical protein	Prochlorococcus sp.P1363	150SLHA	GCA_012933595.1
