Id	Source	Nucleotide Accession	Start	Stop	Strand	Protein	Protein Name	Organism	Strain	Assembly
1498978	INSDC	BX548174.1	1444352	1445287	-	CAE19964.1	SAM (and some other nucleotide) binding motif	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCA_000011465.1
1498978	RefSeq	NC_005072.1	1444352	1445287	-	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4	GCF_000011465.1
1498978	RefSeq	NZ_CP138914.1	683319	684254	-	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus sp. Dvax-bc1017	Dvax-bc1017	GCF_047302725.1
1498978	RefSeq	NZ_CP138922.1	1488607	1489542	+	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4x	GCF_047497115.1
1498978	RefSeq	NZ_CP138923.1	1659101	440	+	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus marinus subsp. pastoris str. CCMP1986	MED4ax	GCF_047497125.1
1498978	RefSeq	NZ_CP138976.1	843401	844336	+	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus sp. MED1	MED1	GCF_047305115.1
1498978	RefSeq	NZ_JNAG01000005.1	98532	99467	-	WP_011133133.1	methyltransferase domain-containing protein	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCF_000759875.1
1498978	INSDC	JNAG01000005.1	98532	99467	-	KGF86756.1	2-methyl-6-phytyl-1,4-benzoquinone methyltransferase	Prochlorococcus marinus str. EQPAC1	EQPAC1	GCA_000759875.1
1498978	PAT	N/A				ABU37522.1	Sequence 49 from patent US 7244877	Unknown		
1498978	PAT	N/A				ACW17499.1	Sequence 49 from patent US 7553952	Unknown		
1498978	PAT	N/A				ADA02457.1	Sequence 49 from patent US 7595382	Unknown		
1498978	PAT	N/A				ADA14306.1	Sequence 49 from patent US 7605244	Unknown		
1498978	PAT	N/A				APN13031.1	Sequence 17440 from patent US 9290773	Unknown		
1498978	PAT	N/A				APN62364.1	Sequence 18729 from patent US 9315822	Unknown		
1498978	PAT	N/A				AZJ85687.1	Sequence 18729 from patent US 10093943	Unknown		
1498978	PAT	HB439400.1	1	936	+	CAZ77951.1	unnamed protein product	Prochlorococcus marinus		
