metabolite,extraction efficiency (%),intracellular,extracellular,metabolite_id,resolution_method
"2,3-dihydroxybenzoic acid",100.9,,,kegg.compound:C00196,name_match
"2,3-dihydroxypropane-1-sulfonate",0.6,,yes,kegg.compound:C19675,name_match
3-mercaptopropionic acid,88.6,,,kegg.compound:C22312,name_match
3-methyl-2-oxobutanoic acid,10.1,,yes,kegg.compound:C00141,name_match
3-methyl-2-oxopentanoic acid,50.1,yes,yes,kegg.compound:C00671,name_match
4-aminobenzoic acid,18.5,yes,yes,kegg.compound:C00568,name_match
4-hydroxybenzoic acid,88,,yes,kegg.compound:C00156,name_match
4-methyl-2-oxopentanoic acid,43.4,yes,yes,kegg.compound:C00233,name_match
5'-methylthioadenosine,80.9,yes,yes,kegg.compound:C00170,name_match
4-amino-5-aminomethyl-2-methylpyrimidine,0,,,kegg.compound:C20267,name_match
D-glucosamine 6-phosphate,0,,,kegg.compound:C00352,name_match
dimethylsulfoniopropionate,0,,,kegg.compound:C04022,name_match
γ-aminobutyric acid,0,,,kegg.compound:C00334,name_match
4-Amino-2-methyl-5-pyrimidinemethanol,0,,,kegg.compound:C01279,name_match
nicotinamide adenine dinucleotide,20.9,yes,,kegg.compound:C00004,name_match
putrescine,0,,yes,kegg.compound:C00134,name_match
acetyltaurine,0,,,kegg.compound:0,name_match
adenine,0,,,kegg.compound:C00147,name_match
adenosine,6.5,,,kegg.compound:C00212,name_match
adenosine 5'-monophosphate,0.2,yes,,kegg.compound:C00020,name_match
alpha-ketoglutaric acid,0,yes,,kegg.compound:C00026,name_match
arginine,0,yes,,kegg.compound:C00062,name_match
aspartic acid,0,yes,,kegg.compound:C16433,name_match
glycine betaine,0,yes,,kegg.compound:C00719,name_match
biotin,52.8,,,kegg.compound:C00120,name_match
caffeine,23.5,,,kegg.compound:C07481,name_match
chitobiose,0.3,yes,,kegg.compound:C01674,name_match
chitotriose,5.6,,,kegg.compound:0,name_match
choline,0,,,kegg.compound:C00114,name_match
ciliatine,0,,,kegg.compound:C03557,name_match
citrate,0.9,,,kegg.compound:C00158,name_match
citrulline,0,yes,,kegg.compound:C00327,name_match
cyanocobalamin,79.1,,,kegg.compound:C08230,name_match
cysteine,0,,,mnx:MNXM1565343,name_match
cytosine,0,,,kegg.compound:C00380,name_match
desthiobiotin,6.5,,,kegg.compound:C01909,name_match
dihydroxyacetone phosphate,0,yes,,kegg.compound:C00111,name_match
ectoine,0,,,kegg.compound:C06231,name_match
folic acid,41.2,,,kegg.compound:C00504,name_match
fosfomycin,0,,,kegg.compound:C06454,name_match
fumaric acid,0,,,kegg.compound:C00122,name_match
glucose 6-phosphate,0,yes,,kegg.compound:C00092,name_match
glutamic acid,0,yes,,kegg.compound:C00025,name_match
glutamine,0,yes,,kegg.compound:C00064,name_match
glyphosate,15.1,,,kegg.compound:C01705,name_match
glutathione,1.1,yes,yes,kegg.compound:C00127,name_match
glutathione oxidized,1.5,not available,yes,kegg.compound:C00127,name_match
guanine,0,,,kegg.compound:C00242,name_match
guanosine,7.7,yes,yes,kegg.compound:C00387,name_match
hemin,0,yes,,kegg.compound:C06767,name_match
indole 3-acetic acid,16.8,,,kegg.compound:C00954,name_match
inosine,8.1,,,kegg.compound:C00294,name_match
inosine 5'-monophosphate,0,yes,,kegg.compound:C00130,name_match
isoleucine,1.41,yes,yes,kegg.compound:C00407,name_match
kynurenine,41.7,,yes,kegg.compound:C00328,name_match
leucine,3.3,yes,,kegg.compound:C00123,name_match
malic acid,0.7,,,kegg.compound:C00149,name_match
