metabolite,extraction efficiency (%),intracellular,extracellular
"2,3-dihydroxybenzoic acid",100.9,,
"2,3-dihydroxypropane-1-sulfonate",0.6,,yes
3-mercaptopropionic acid,88.6,,
3-methyl-2-oxobutanoic acid,10.1,,yes
3-methyl-2-oxopentanoic acid,50.1,yes,yes
4-aminobenzoic acid,18.5,yes,yes
4-hydroxybenzoic acid,88,,yes
4-methyl-2-oxopentanoic acid,43.4,yes,yes
5'-methylthioadenosine,80.9,yes,yes
4-amino-5-aminomethyl-2-methylpyrimidine,0,,
D-glucosamine 6-phosphate,0,,
dimethylsulfoniopropionate,0,,
γ-aminobutyric acid,0,,
4-Amino-2-methyl-5-pyrimidinemethanol,0,,
nicotinamide adenine dinucleotide,20.9,yes,
putrescine,0,,yes
acetyltaurine,0,,
adenine,0,,
adenosine,6.5,,
adenosine 5'-monophosphate,0.2,yes,
alpha-ketoglutaric acid,0,yes,
arginine,0,yes,
aspartic acid,0,yes,
glycine betaine,0,yes,
biotin,52.8,,
caffeine,23.5,,
chitobiose,0.3,yes,
chitotriose,5.6,,
choline,0,,
ciliatine,0,,
citrate,0.9,,
citrulline,0,yes,
cyanocobalamin,79.1,,
cysteine,0,,
cytosine,0,,
desthiobiotin,6.5,,
dihydroxyacetone phosphate,0,yes,
ectoine,0,,
folic acid,41.2,,
fosfomycin,0,,
fumaric acid,0,,
glucose 6-phosphate,0,yes,
glutamic acid,0,yes,
glutamine,0,yes,
glyphosate,15.1,,
glutathione,1.1,yes,yes
glutathione oxidized,1.5,not available,yes
guanine,0,,
guanosine,7.7,yes,yes
hemin,0,yes,
indole 3-acetic acid,16.8,,
inosine,8.1,,
inosine 5'-monophosphate,0,yes,
isoleucine,1.41,yes,yes
kynurenine,41.7,,yes
leucine,3.3,yes,
malic acid,0.7,,
methionine,0,yes,
muramic acid,0,,
n-acetyl glucosamine,0,,
n-acetyl glutamic acid,1.1,yes,
n-acetyl muramic acid,2.8,,
ornithine,0,,
orotic acid,0,,
pantothenic acid,51.9,yes,yes
phenylalanine,39.7,yes,yes
phosphoenolpyruvate,0,,
phycocyanobilin,0,,
proline,0,yes,
pyridoxine,6.8,,
riboflavin,87.6,,
S-(5'-adenosyl)-L-homocysteine,43.3,yes,
S-adenosyl-L-methionine,0,yes,
alanine (isom. sarcosine),0,,
serine,0,,
sn-glycerol 3-phosphate,0,,
taurocholic acid,92.8,,
spermidine,0,yes,yes
succinic acid,0,,yes
syringic acid,32.9,,
taurine,0,,
thiamine,2,,
thiamine monophosphate,0,,
threonine / homoserine,0,,
thymidine,52.6,,yes
tryptamine,21.3,,
tryptophan,46.7,yes,yes
tyrosine,2.1,yes,yes
uracil,0,yes,
uridine 5'-monophosphate,0,yes,
valine,0,yes,yes
xanthine,0.3,,yes
xanthosine,10.4,,yes
