Synonym,Product,Expression  9313 t=20+0.01,Expression  9313+ diluted 1a3 T=20  +0.01,q Value,log 2 fold change coculture/axenic
PMT0934,hypothetical protein,0.01,30.01,0,11.5512276
PMT2051,secreted calcium-binding protein,0.01,26.01,0,11.34485068
PMT1684,4Fe-4S ferredoxin,0.01,18.01,0,10.81458247
PMT0892,hypothetical protein,0.01,17.01,2.88E-214,10.73216743
PMT1906,hypothetical protein,0.01,13.01,3.84E-88,10.34540525
PMT0800,hypothetical protein,2.01,46.01,1.84E-240,4.51668005
PMT2112,alanine racemase,2.01,30.01,7.32E-97,3.900175912
PMT0279,hypothetical protein,4.01,41.01,1.41E-57,3.354301602
PMT1021,small cytokines (intecrine/chemokine),6.01,58.01,2.31E-74,3.270864723
PMT1437,AEC family transporter,3.01,25.01,1.14E-46,3.054669665
PMT0390,coproporphyrinogen III oxidase,3.01,24.01,3.41E-24,2.995800011
PMT2103,hypothetical protein,25.01,188.01,1.77E-79,2.910232436
PMT0939,hypothetical protein,71.01,505.01,1.68E-78,2.830217844
PMT2114,FYVE zinc finger,15.01,100.01,3.18E-44,2.73614838
PMT0072,FAD binding domain-containing protein,4.01,25.01,4.26E-17,2.640830916
PMT1621,4'-phosphopantetheinyl transferase,5.01,30.01,1.78E-27,2.58256081
PMT0758,kinase,5.01,28.01,1.12E-26,2.483059475
PMT0745,hypothetical protein,6.01,33.01,1.69E-27,2.457466243
PMT0171,penicillin amidase,9.01,49.01,1.04E-24,2.443477136
PMT1534,hypothetical protein,169.01,918.01,4.27E-65,2.441401259
PMT0935,GRAM domain-containing protein,9.01,48.01,3.69E-26,2.413735925
PMT2047,hypothetical protein,3.01,16.01,3.35E-13,2.411137916
PMT2022,leishmanolysin,4.01,21.01,1.91E-15,2.38940202
PMT0486,DNA polymerase III subunit beta,7.01,36.01,5.74E-18,2.36091125
PMT2056,hypothetical protein,7.01,33.01,2.40E-16,2.235416789
PMT0921,hypothetical protein,3.01,14.01,2.39E-13,2.218621564
PMT1211,hypothetical protein,18.01,79.01,6.87E-20,2.13323708
PMT0906,hypothetical protein,7.01,30.01,1.12E-11,2.09795697
PMT0839,hypothetical protein,4.01,17.01,3.98E-10,2.084708999
PMT1018,hypothetical protein,13.01,54.01,1.14E-13,2.053605586
PMT1572,hypothetical protein,19.01,77.01,2.56E-17,2.018287265
PMT1055,hypothetical protein,15.01,60.01,2.73E-16,1.999278953
PMT1722,hypothetical protein,8.01,32.01,3.15E-15,1.998648529
PMT1114,hypothetical protein,7.01,28.01,1.96E-12,1.998455634
PMT2221,serine protease inhibitor,5.01,20.01,3.75E-12,1.997838659
PMT0381,M protein-like,3.01,12.01,9.31E-12,1.996400759
PMT0094,transporter for efflux,92.01,367.01,3.40E-27,1.995956801
PMT1542,hypothetical protein,1178.01,4670.01,9.48E-25,1.987073853
PMT1767,photosystem I reaction center subunit VIII,2181.01,8495.01,3.48E-24,1.961619261
PMT0111,SecA-type protein translocase,46.01,179.01,1.64E-14,1.960020821
PMT0857,hypothetical protein,18.01,69.01,4.18E-16,1.938007252
PMT0415,hypothetical protein,12.01,45.01,3.50E-12,1.906009414
PMT0941,hypothetical protein,6.01,22.01,4.76E-08,1.872722249
PMT0958,flagella basal body rod protein,6.01,21.01,3.34E-08,1.805639266
PMT0945,hypothetical protein,4.01,14.01,1.16E-06,1.804782814
PMT1260,photosystem II reaction center Psb27 protein,1473.01,5087.01,5.89E-07,1.788050706
