Unnamed: 0,compound,notes:,"9303 Control T=4, replicate 1","9303 Control T=4, replicate 2","9303 Control T=4, replicate 3",Unnamed: 6,"9303 +Chitosan T=4, replicate 1","9303 +Chitosan T=4, replicate 2","9303 +Chitosan T=4, replicate 3",Unnamed: 10,Unnamed: 11,"9313 Control T=4, replicate 1","9313 Control T=4, replicate 2","9313 Control T=4, replicate 3",Unnamed: 15,"9313 +Chitosan T=4, replicate 2","9313 +Chitosan T=4, replicate 2.1","9313 +Chitosan T=4, replicate 3",Unnamed: 19,Unnamed: 20,"9313 Control T=6, replicate 2","9313 Control T=6, replicate 2.1",Unnamed: 23,"9313 +Chitosan T=6, replicate 2","9313 +Chitosan T=6, replicate 2.1",metabolite_id,resolution_method
,6-phosphogluconic acid,ok,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,3.80E-02,0.00E+00,,,0.00E+00,0.00E+00,7.01E-02,,0.00E+00,0.00E+00,2.55E-02,,,4.61E-03,9.15E-03,,0.00E+00,0.00E+00,kegg.compound:C00345,name_match
,acetyl coenzyme A,ok,0.00E+00,5.38E-03,0.00E+00,,0.00E+00,0.00E+00,1.77E-02,,,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,8.05E-03,9.87E-03,,4.13E-03,1.54E-02,kegg.compound:C00024,name_match
,alpha-ketoglutaric acid,ok,5.80E-04,0.00E+00,0.00E+00,,1.10E-03,0.00E+00,0.00E+00,,,8.70E-04,8.26E-04,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,2.77E-04,,0.00E+00,3.97E-04,kegg.compound:C00026,name_match
,chitobiose pos,ok,1.55E-02,3.80E-03,8.18E-03,,4.00E-03,4.52E-03,8.90E-03,,,9.46E-03,1.10E-02,1.36E-02,,1.19E-02,3.01E-03,1.93E-02,,,5.55E-03,3.61E-03,,5.83E-03,6.96E-03,kegg.compound:C01674,name_match
,citric acid,"issues with curve, only comfortable with 'high' versus 'low'",0.00E+00,2.10E-01,1.85E-01,,1.74E-01,3.82E-02,2.75E-01,,,2.59E-01,1.74E-02,2.98E-01,,1.82E-02,0.00E+00,2.78E-01,,,1.80E-01,1.40E-01,,1.82E-01,7.31E-02,kegg.compound:C00158,name_match
,D-3_and_2-phosphoglyceric,we cannot analytically separate these two,0.00E+00,1.33E-02,0.00E+00,,0.00E+00,1.37E-01,5.87E-03,,,0.00E+00,2.21E-02,2.49E-02,,0.00E+00,0.00E+00,2.75E-02,,,6.76E-03,1.01E-02,,3.64E-03,0.00E+00,kegg.compound:C00197,name_match
,D-glucosamine,ok,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,1.26E-04,0.00E+00,,6.42E-04,0.00E+00,0.00E+00,,,3.39E-04,0.00E+00,,0.00E+00,3.82E-04,kegg.compound:C00329,name_match
,D-glucosamine 6-phosphate,ok,1.88E-02,8.55E-03,0.00E+00,,0.00E+00,7.80E-03,2.65E-03,,,0.00E+00,0.00E+00,3.10E-03,,0.00E+00,0.00E+00,0.00E+00,,,7.93E-03,2.91E-03,,7.73E-03,0.00E+00,kegg.compound:C00352,name_match
,D-Ribose 5-phosphate,ok,3.87E-03,1.73E-02,1.49E-02,,7.50E-03,2.56E-03,6.86E-03,,,9.66E-03,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,6.24E-03,,,4.92E-03,4.64E-03,,2.42E-03,9.04E-03,kegg.compound:C00117,name_match
,D-ribulose-15-bisphosphate,ok,0.00E+00,1.37E-02,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,4.24E-03,0.00E+00,4.30E-02,,0.00E+00,0.00E+00,7.94E-03,,,1.46E-02,3.62E-03,,4.93E-03,0.00E+00,kegg.compound:C01182,name_match
,fructose6P,"issues with curve, only comfortable with 'high' versus 'low'",0.00E+00,3.26E-01,0.00E+00,,0.00E+00,8.16E-02,4.76E-02,,,5.18E-01,0.00E+00,3.49E-01,,0.00E+00,0.00E+00,2.59E-01,,,4.92E-01,4.01E-01,,2.12E-01,2.65E-01,kegg.compound:C00085,name_match
,fumaric acid,ok,0.00E+00,2.01E-02,0.00E+00,,8.39E-03,0.00E+00,1.16E-02,,,3.22E-03,0.00E+00,4.00E-03,,0.00E+00,0.00E+00,3.14E-03,,,6.56E-03,3.66E-03,,0.00E+00,4.65E-03,kegg.compound:C00122,name_match
,glucose6P,ok,7.12E-02,8.02E-02,0.00E+00,,1.16E-02,6.16E-02,2.45E-02,,,4.72E-02,0.00E+00,5.51E-02,,0.00E+00,0.00E+00,3.26E-02,,,5.74E-02,3.09E-02,,4.25E-02,1.62E-02,kegg.compound:C00092,name_match
,malic acid,ok,3.16E-03,0.00E+00,1.36E-03,,0.00E+00,1.04E-03,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,9.73E-04,0.00E+00,0.00E+00,,,3.67E-03,1.58E-03,,0.00E+00,0.00E+00,kegg.compound:C00149,name_match
,NacetylDglucosamine6phosphate,ok,0.00E+00,0.00E+00,3.68E-03,,3.53E-03,3.74E-03,5.44E-03,,,4.82E-03,1.73E-03,7.25E-03,,3.78E-03,0.00E+00,7.99E-03,,,8.19E-03,4.66E-03,,4.21E-03,4.13E-03,kegg.compound:C00357,name_match
,phosphoenolpyruvate,ok,0.00E+00,0.00E+00,5.82E-03,,0.00E+00,2.59E-02,0.00E+00,,,5.57E-03,1.23E-02,8.18E-03,,0.00E+00,0.00E+00,8.90E-03,,,8.38E-03,1.17E-02,,4.68E-03,4.40E-03,kegg.compound:C00074,name_match
