Note:,,,,,,,,,,,,,,
"For entried denoted D ('detected'), the metabolite was detected in only a single replicate, while entries denoted ND ('not detected'), the metabolite was not detected in any replicate",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,compound,,MIT9303 Control AVG,MIT9303 Control SD,  ,MIT9303 w/ Chitosan AVG,MIT9303 w/ Chitosan SD,  ,  ,MIT9313 Control AVG,MIT9313 Control SD,  ,MIT9313 w/ Chitosan AVG,MIT9313 w/ Chitosan SD
,6-phosphogluconic acid,,ND,ND,,D,D,,,D,D,,D,D
,acetyl coenzyme A,,D,D,,D,D,,,ND,ND,,ND,ND
,alpha-ketoglutaric acid,,D,D,,D,D,,,5.65E-04,4.90E-04,,ND,ND
,chitobiose pos,,9.17E-03,5.92E-03,,5.81E-03,2.69E-03,,,1.14E-02,2.11E-03,,1.14E-02,8.18E-03
,citric acid,,1.32E-01,1.15E-01,,1.63E-01,1.19E-01,,,1.91E-01,1.52E-01,,D,D
,D-3_and_2-phosphoglyceric,,D,D,,4.75E-02,7.72E-02,,,1.57E-02,1.36E-02,,9.16E-03,1.59E-02
,D-glucosamine,,ND,ND,,ND,ND,,,D,D,,D,D
,D-glucosamine 6-phosphate,,9.11E-03,9.40E-03,,3.48E-03,3.97E-03,,,1.03E-03,1.79E-03,,ND,ND
,D-Ribose 5-phosphate,,1.20E-02,7.14E-03,,5.64E-03,2.69E-03,,,D,D,,D,D
,D-ribulose-15-bisphosphate,,D,D,,ND,ND,,,1.57E-02,2.37E-02,,D,D
,fructose6P,,D,D,,4.31E-02,4.10E-02,,,2.89E-01,2.64E-01,,D,D
,fumaric acid,,6.69E-03,1.16E-02,,6.66E-03,5.98E-03,,,2.41E-03,2.12E-03,,D,D
,glucose6P,,5.05E-02,4.39E-02,,3.25E-02,2.60E-02,,,3.41E-02,2.98E-02,,D,D
,malic acid,,1.50E-03,1.58E-03,,D,D,,,ND,ND,,D,D
,NacetylDglucosamine6phosphate,,D,D,,4.24E-03,1.05E-03,,,4.60E-03,2.77E-03,,3.92E-03,4.00E-03
,phosphoenolpyruvate,,D,D,,D,D,,,8.69E-03,3.40E-03,,D,D
