Data are intracellular concentrations in unit of fg/cell,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"In all cases, metabolites in 30mL of sample were concentrated into 245uL of extract from the chromatographic column. ",,,,,,,,,,,,,,,,,,,,,,,,,
Hence a correction factor of x0.00817 (0.245/30) was applied to transform concentrations in the column extract to concentrations in the original sample.,,,,,,,,,,,,,,,,,,,,,,,,,
An additional x10^6 correction was applied to arrive at concentrations in units of fg/mL of sample,,,,,,,,,,,,,,,,,,,,,,,,,
"Finally, metabolite contentrations were divided by the concentrations of cells in the sample to arrive at concentrations in units of fg/cell",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Concentrations were also blank corrected by subtracting the average concentrations of metabolites in the blanks  from those in the samples,,,,,,,,,,,,,,,,,,,,,,,,,
Only D-3_amd_2_phosphoglycerate had non-zero concentrations in the blanks,,,,,,,,,,,,,,,,,,,,,,,,,
"Where metabolite concentrations after blank corrections were negative, they were manually put to zero (samples indicated in red)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cell densities (cells/mL),4.52E+07,4.68E+07,3.79E+07,,5.35E+07,5.09E+07,5.51E+07,,,1.00E+08,1.29E+08,1.14E+08,,8.99E+07,1.08E+08,1.08E+08,,,2.07E+08,2.37E+08,,2.05E+08,1.43E+08
,compound,notes:,"9303 Control T=4, replicate 1","9303 Control T=4, replicate 2","9303 Control T=4, replicate 3",,"9303 +Chitosan T=4, replicate 1","9303 +Chitosan T=4, replicate 2","9303 +Chitosan T=4, replicate 3",,,"9313 Control T=4, replicate 1","9313 Control T=4, replicate 2","9313 Control T=4, replicate 3",,"9313 +Chitosan T=4, replicate 2","9313 +Chitosan T=4, replicate 2","9313 +Chitosan T=4, replicate 3",,,"9313 Control T=6, replicate 2","9313 Control T=6, replicate 2",,"9313 +Chitosan T=6, replicate 2","9313 +Chitosan T=6, replicate 2"
,6-phosphogluconic acid,ok,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,3.80E-02,0.00E+00,,,0.00E+00,0.00E+00,7.01E-02,,0.00E+00,0.00E+00,2.55E-02,,,4.61E-03,9.15E-03,,0.00E+00,0.00E+00
,acetyl coenzyme A,ok,0.00E+00,5.38E-03,0.00E+00,,0.00E+00,0.00E+00,1.77E-02,,,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,8.05E-03,9.87E-03,,4.13E-03,1.54E-02
,alpha-ketoglutaric acid,ok,5.80E-04,0.00E+00,0.00E+00,,1.10E-03,0.00E+00,0.00E+00,,,8.70E-04,8.26E-04,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,2.77E-04,,0.00E+00,3.97E-04
,chitobiose pos,ok,1.55E-02,3.80E-03,8.18E-03,,4.00E-03,4.52E-03,8.90E-03,,,9.46E-03,1.10E-02,1.36E-02,,1.19E-02,3.01E-03,1.93E-02,,,5.55E-03,3.61E-03,,5.83E-03,6.96E-03
,citric acid,"issues with curve, only comfortable with 'high' versus 'low'",0.00E+00,2.10E-01,1.85E-01,,1.74E-01,3.82E-02,2.75E-01,,,2.59E-01,1.74E-02,2.98E-01,,1.82E-02,0.00E+00,2.78E-01,,,1.80E-01,1.40E-01,,1.82E-01,7.31E-02
,D-3_and_2-phosphoglyceric,we cannot analytically separate these two,0.00E+00,1.33E-02,0.00E+00,,0.00E+00,1.37E-01,5.87E-03,,,0.00E+00,2.21E-02,2.49E-02,,0.00E+00,0.00E+00,2.75E-02,,,6.76E-03,1.01E-02,,3.64E-03,0.00E+00
,D-glucosamine,ok,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,0.00E+00,1.26E-04,0.00E+00,,6.42E-04,0.00E+00,0.00E+00,,,3.39E-04,0.00E+00,,0.00E+00,3.82E-04
,D-glucosamine 6-phosphate,ok,1.88E-02,8.55E-03,0.00E+00,,0.00E+00,7.80E-03,2.65E-03,,,0.00E+00,0.00E+00,3.10E-03,,0.00E+00,0.00E+00,0.00E+00,,,7.93E-03,2.91E-03,,7.73E-03,0.00E+00
,D-Ribose 5-phosphate,ok,3.87E-03,1.73E-02,1.49E-02,,7.50E-03,2.56E-03,6.86E-03,,,9.66E-03,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,6.24E-03,,,4.92E-03,4.64E-03,,2.42E-03,9.04E-03
,D-ribulose-15-bisphosphate,ok,0.00E+00,1.37E-02,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,,4.24E-03,0.00E+00,4.30E-02,,0.00E+00,0.00E+00,7.94E-03,,,1.46E-02,3.62E-03,,4.93E-03,0.00E+00
,fructose6P,"issues with curve, only comfortable with 'high' versus 'low'",0.00E+00,3.26E-01,0.00E+00,,0.00E+00,8.16E-02,4.76E-02,,,5.18E-01,0.00E+00,3.49E-01,,0.00E+00,0.00E+00,2.59E-01,,,4.92E-01,4.01E-01,,2.12E-01,2.65E-01
,fumaric acid,ok,0.00E+00,2.01E-02,0.00E+00,,8.39E-03,0.00E+00,1.16E-02,,,3.22E-03,0.00E+00,4.00E-03,,0.00E+00,0.00E+00,3.14E-03,,,6.56E-03,3.66E-03,,0.00E+00,4.65E-03
,glucose6P,ok,7.12E-02,8.02E-02,0.00E+00,,1.16E-02,6.16E-02,2.45E-02,,,4.72E-02,0.00E+00,5.51E-02,,0.00E+00,0.00E+00,3.26E-02,,,5.74E-02,3.09E-02,,4.25E-02,1.62E-02
,malic acid,ok,3.16E-03,0.00E+00,1.36E-03,,0.00E+00,1.04E-03,0.00E+00,,,0.00E+00,0.00E+00,0.00E+00,,9.73E-04,0.00E+00,0.00E+00,,,3.67E-03,1.58E-03,,0.00E+00,0.00E+00
,NacetylDglucosamine6phosphate,ok,0.00E+00,0.00E+00,3.68E-03,,3.53E-03,3.74E-03,5.44E-03,,,4.82E-03,1.73E-03,7.25E-03,,3.78E-03,0.00E+00,7.99E-03,,,8.19E-03,4.66E-03,,4.21E-03,4.13E-03
,phosphoenolpyruvate,ok,0.00E+00,0.00E+00,5.82E-03,,0.00E+00,2.59E-02,0.00E+00,,,5.57E-03,1.23E-02,8.18E-03,,0.00E+00,0.00E+00,8.90E-03,,,8.38E-03,1.17E-02,,4.68E-03,4.40E-03
