Note:,,,,,,
"For entried denoted D ('detected'), the metabolite was detected in only a single replicate, while entries denoted ND ('not detected'), the metabolite was not detected in any replicate",,,,,,
,,,,,,
,,,,,,
,compound,,MIT9313 Control AVG,MIT9313 Control SD,MIT9313 w/ Chitosan AVG,MIT9313 w/ Chitosan SD
,6-phosphogluconic acid,,6.88E-03,3.21E-03,ND,ND
,acetyl coenzyme A,,8.96E-03,1.29E-03,9.74E-03,7.94E-03
,alpha-ketoglutaric acid,,D,D,D,D
,chitobiose pos,,4.58E-03,1.37E-03,6.39E-03,8.01E-04
,citric acid,,1.60E-01,2.85E-02,1.28E-01,7.70E-02
,D-3_and_2-phosphoglyceric,,8.42E-03,2.35E-03,D,D
,D-glucosamine,,D,D,D,D
,D-glucosamine 6-phosphate,,5.42E-03,3.55E-03,D,D
,D-Ribose 5-phosphate,,4.78E-03,1.97E-04,5.73E-03,4.68E-03
,D-ribulose-15-bisphosphate,,9.10E-03,7.75E-03,D,D
,fructose6P,,4.46E-01,6.43E-02,2.39E-01,3.76E-02
,fumaric acid,,5.11E-03,2.05E-03,D,D
,glucose6P,,4.41E-02,1.87E-02,2.94E-02,1.86E-02
,malic acid,,2.63E-03,1.48E-03,ND,ND
,NacetylDglucosamine6phosphate,,6.42E-03,2.50E-03,4.17E-03,5.94E-05
,phosphoenolpyruvate,,1.00E-02,2.31E-03,4.54E-03,1.97E-04
