baseMean,log2FoldChange (positive means more highly expressed in mitomycin C treatment),lfcSE,stat,pvalue,padj,gene
2433.1033,-0.684602086,0.131453728,-5.207932059,1.91E-07,3.13E-07,MIT0604_00001
761.4387999,-0.033566284,0.132389701,-0.253541502,0.799849794,0.81497886,MIT0604_00002
3465.670682,1.221310976,0.100275765,12.1795229,4.00E-34,1.44E-33,MIT0604_00003
1374.315041,1.56054296,0.096349591,16.19667446,5.32E-59,3.00E-58,MIT0604_00004
1447.745546,-1.249628274,0.132648154,-9.420623208,4.48E-21,1.15E-20,MIT0604_00005
319.1624502,2.3120836,0.245507354,9.417573712,4.62E-21,1.18E-20,MIT0604_00006
377.088032,0.674501768,0.143869429,4.688291126,2.75E-06,4.28E-06,MIT0604_00007
2836.898487,-1.293407673,0.099136466,-13.04673979,6.63E-39,2.63E-38,MIT0604_00008
1036.14727,-0.506729944,0.139918212,-3.62161536,2.93E-04,4.04E-04,MIT0604_00009
850.2865357,0.681785878,0.165517474,4.11911723,3.80E-05,5.56E-05,MIT0604_00010
374.6716944,0.995571582,0.18346173,5.426589973,5.74E-08,9.59E-08,MIT0604_00011
1064.539848,-0.595051326,0.10033605,-5.930583561,3.02E-09,5.38E-09,MIT0604_00012
1612.861648,-0.1071843,0.178198621,-0.60148782,0.547515122,0.574161606,MIT0604_00013
546.5300291,2.044693465,0.111604456,18.32089454,5.64E-75,3.82E-74,MIT0604_00014
2239.004836,1.921313812,0.179933937,10.67788456,1.29E-26,3.80E-26,MIT0604_00015
10625.52128,2.410924951,0.071882855,33.53963814,1.27E-246,5.12E-245,MIT0604_00016
9746.143931,3.319524709,0.076873601,43.18159481,0,0,MIT0604_00017
1060.136286,2.783115873,0.151410446,18.3812673,1.86E-75,1.27E-74,MIT0604_00018
2401.192417,5.527780746,0.160572801,34.42538656,1.05E-259,4.58E-258,MIT0604_00019
1535.056666,-2.683190448,0.150242094,-17.85911242,2.46E-71,1.59E-70,MIT0604_00020
469.723781,0.627566222,0.165697316,3.787425395,1.52E-04,2.14E-04,MIT0604_00021
659.2060182,0.39496778,0.158711053,2.488596561,0.012824841,0.015748319,MIT0604_00022
5129.504085,-1.84600165,0.178824399,-10.32298537,5.55E-25,1.57E-24,MIT0604_00023
719.6723564,0.17587926,0.100182454,1.75558945,0.079158535,0.091650182,MIT0604_00024
2249.259534,-2.461362927,0.131488144,-18.71927657,3.45E-78,2.43E-77,MIT0604_00025
2584.422234,-2.429393594,0.096437453,-25.191391,4.98E-140,7.84E-139,MIT0604_00026
2626.719209,-1.962968091,0.091355517,-21.48713247,2.05E-102,2.01E-101,MIT0604_00027
658.8192691,1.327062652,0.137344382,9.662300203,4.36E-22,1.15E-21,MIT0604_00028
494.3370716,-0.007534315,0.180282978,-0.041791604,0.966664829,0.969506567,MIT0604_00029
1386.599478,2.486870414,0.483894358,5.139283761,2.76E-07,4.49E-07,MIT0604_00030
109.9706319,-1.453208288,0.204283112,-7.11369762,1.13E-12,2.30E-12,MIT0604_00031
593.9919028,-2.983886212,0.128878926,-23.15263089,1.37E-118,1.62E-117,MIT0604_00032
386.9012072,-0.928479151,0.178569207,-5.19954793,2.00E-07,3.27E-07,MIT0604_00033
963.899437,-0.775465681,0.160193604,-4.840803004,1.29E-06,2.05E-06,MIT0604_00034
1331.611783,-2.567047172,0.165529939,-15.50805366,3.06E-54,1.59E-53,MIT0604_00035
628.3748123,2.068152136,0.175174847,11.8062163,3.63E-32,1.24E-31,MIT0604_00036
2049.223963,-0.313153223,0.091324724,-3.429008141,6.06E-04,8.19E-04,MIT0604_00037
913.0817263,1.795906304,0.115765014,15.51337698,2.82E-54,1.46E-53,MIT0604_00038
1977.092513,3.125209299,0.219356239,14.24718675,4.67E-46,2.11E-45,MIT0604_00039
3659.18232,6.35040262,0.140839985,45.08948664,0,0,MIT0604_00040
1068.1054,2.921702922,0.165549561,17.64850903,1.04E-69,6.54E-69,MIT0604_00041
