seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags,ec_numbers
NC_010475.1,dnaA,dnaA,SYNPCC7002_RS00010,SYNPCC7002_A0001,Protein Homology,1,1350,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012265465.1,chromosomal replication initiator protein DnaA,WP_012305643.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",SYNPCC7002_A0001,
NC_010475.1,SYNPCC7002_RS00015,,SYNPCC7002_RS00015,SYNPCC7002_A0002,Protein Homology,1424,2353,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305644.1,cobalamin-binding protein,WP_012305644.1,,,,,SYNPCC7002_A0002,
NC_010475.1,nrtS2,nrtS2,SYNPCC7002_RS00025,SYNPCC7002_A0004,Protein Homology,2832,3110,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305646.1,nitrate/nitrite transporter NrtS2,WP_012305646.1,,,,,SYNPCC7002_A0004,
NC_010475.1,nrtS1,nrtS1,SYNPCC7002_RS00030,SYNPCC7002_A0005,Protein Homology,3152,3406,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305647.1,nitrate/nitrite transporter NrtS1,WP_012305647.1,,,,,SYNPCC7002_A0005,
NC_010475.1,SYNPCC7002_RS00035,,SYNPCC7002_RS00035,SYNPCC7002_A0006,Protein Homology,3441,4133,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305648.1,N-acetylmannosamine-6-phosphate 2-epimerase,WP_012305648.1,"GO:0005975,GO:0006051,GO:0019262,GO:0047465",,N-acylglucosamine-6-phosphate 2-epimerase activity|0047465||IEA,"carbohydrate metabolic process|0005975||IEA,N-acetylmannosamine metabolic process|0006051||IEA,N-acetylneuraminate catabolic process|0019262||IEA",SYNPCC7002_A0006,5.1.3.9
NC_010475.1,purN,purN,SYNPCC7002_RS00040,SYNPCC7002_A0007,Protein Homology,4152,4796,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305649.1,phosphoribosylglycinamide formyltransferase,WP_012305649.1,"GO:0006189,GO:0004644",,phosphoribosylglycinamide formyltransferase activity|0004644||IEA,'de novo' IMP biosynthetic process|0006189||IEA,SYNPCC7002_A0007,2.1.2.2
NC_010475.1,SYNPCC7002_RS00045,,SYNPCC7002_RS00045,SYNPCC7002_A0008,Protein Homology,4889,5230,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305650.1,phosphomannose isomerase type II C-terminal cupin domain,WP_012305650.1,,,,,SYNPCC7002_A0008,
NC_010475.1,SYNPCC7002_RS00050,,SYNPCC7002_RS00050,SYNPCC7002_A0009,Protein Homology,5271,5630,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305651.1,Spx/MgsR family RNA polymerase-binding regulatory protein,WP_012305651.1,,,,,SYNPCC7002_A0009,
NC_010475.1,SYNPCC7002_RS00055,,SYNPCC7002_RS00055,SYNPCC7002_A0010,Protein Homology,5742,6824,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015157137.1,class I fructose-bisphosphate aldolase,WP_012305652.1,GO:0004332,,fructose-bisphosphate aldolase activity|0004332||IEA,,SYNPCC7002_A0010,4.1.2.13
NC_010475.1,SYNPCC7002_RS00060,,SYNPCC7002_RS00060,SYNPCC7002_A0011,Protein Homology,7044,7613,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305653.1,Uma2 family endonuclease,WP_012305653.1,,,,,SYNPCC7002_A0011,
NC_010475.1,SYNPCC7002_RS16035,,SYNPCC7002_RS16035,SYNPCC7002_A0012,Protein Homology,7646,8308,+,,,COORDINATES: protein motif:HMM:NF012514.5,NUDIX hydrolase,WP_049761528.1,GO:0046872,,metal ion binding|0046872||IEA,,SYNPCC7002_A0012,3.6.-.-
NC_010475.1,SYNPCC7002_RS00070,,SYNPCC7002_RS00070,SYNPCC7002_A0013,GeneMarkS-2+,8305,9621,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_012305655.1,,,,,SYNPCC7002_A0013,
NC_010475.1,SYNPCC7002_RS00075,,SYNPCC7002_RS00075,SYNPCC7002_A0014,Protein Homology,9729,10484,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305656.1,DUF1995 family protein,WP_012305656.1,,,,,SYNPCC7002_A0014,
NC_010475.1,SYNPCC7002_RS00080,,SYNPCC7002_RS00080,SYNPCC7002_A0015,Protein Homology,10504,11418,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009543115.1,TIGR04168 family protein,WP_041443290.1,,,,,SYNPCC7002_A0015,
