,Nitrogen Limited,,,,,,,,,,,,,,,
metabolite isotopologue,1200,,,,,,,,1600,,,,,,,
,0,,30,,60,,90,,0,,30,,60,,90,
Glu,5.50E+08,9.10E+08,5.60E+08,6.00E+08,7.60E+08,6.80E+08,7.70E+08,9.30E+08,7.60E+08,5.00E+08,3.90E+08,4.10E+08,6.30E+08,5.40E+08,4.30E+08,4.00E+08
Glu +1,2.30E+07,4.40E+07,2.40E+07,3.00E+07,3.80E+07,3.80E+07,4.10E+07,5.30E+07,3.80E+07,2.40E+07,1.90E+07,2.00E+07,3.30E+07,2.90E+07,1.90E+07,2.10E+07
Glu +2,1.90E+06,3.60E+06,1.70E+06,2.00E+06,2.60E+06,2.20E+06,2.60E+06,3.20E+06,3.00E+06,1.80E+06,1.20E+06,1.40E+06,2.10E+06,1.90E+06,1.40E+06,1.30E+06
Glu +3,1.90E+04,7.90E+04,5.30E+04,1.50E+05,2.10E+05,3.40E+05,2.90E+05,5.70E+05,9.20E+04,1.80E+04,1.10E+05,6.60E+04,3.20E+05,2.60E+05,2.50E+05,2.40E+05
Glu +4,1.00E+03,3.10E+04,6.50E+03,2.40E+04,3.70E+04,4.60E+04,3.60E+04,8.80E+04,2.00E+04,1.90E+03,1.30E+04,5.10E+03,3.40E+04,2.20E+04,2.90E+04,4.00E+04
,,,,,,,,,,,,,,,,
HexP,1.40E+07,1.90E+07,8.40E+06,8.20E+06,9.50E+06,9.70E+06,7.10E+06,9.30E+06,1.90E+07,1.10E+07,8.20E+06,6.20E+06,5.40E+06,6.00E+06,5.70E+06,4.10E+06
HexP+1,5.90E+05,8.80E+05,1.70E+06,1.60E+06,2.40E+06,2.40E+06,2.10E+06,2.40E+06,8.90E+05,4.40E+05,1.80E+06,1.30E+06,1.40E+06,1.50E+06,1.60E+06,1.00E+06
HexP+2,1.10E+03,1.10E+04,1.80E+05,1.10E+05,4.50E+05,3.30E+05,5.60E+05,4.60E+05,6.30E+03,3.00E+03,1.20E+05,7.20E+04,1.50E+05,1.80E+05,1.50E+05,1.20E+05
HexP+3,3.80E+03,1.60E+03,2.10E+04,6.60E+03,1.00E+05,4.00E+04,1.40E+05,1.00E+05,1.70E+03,0.00E+00,5.40E+03,6.20E+03,1.50E+04,1.30E+04,2.00E+04,1.40E+04
HexP+4,1.10E+03,0.00E+00,2.30E+03,0.00E+00,7.60E+03,4.10E+03,9.30E+03,5.20E+03,5.10E+02,0.00E+00,0.00E+00,4.70E+02,7.20E+02,1.40E+03,8.90E+02,0.00E+00
,,,,,,,,,,,,,,,,
Asp,1.60E+06,3.60E+06,9.60E+05,1.30E+06,1.20E+06,1.10E+06,1.10E+06,2.00E+06,3.60E+06,1.90E+06,8.10E+05,1.10E+06,1.30E+06,1.10E+06,4.40E+05,6.80E+05
Asp+1,2.40E+04,6.30E+04,2.10E+05,4.50E+05,3.30E+05,4.60E+05,3.20E+05,5.30E+05,8.90E+04,3.20E+04,3.40E+05,3.30E+05,4.40E+05,4.00E+05,1.80E+05,2.30E+05
Asp+2,1.60E+03,3.90E+03,8.80E+04,2.00E+05,1.90E+05,2.50E+05,2.10E+05,2.80E+05,1.30E+03,6.40E+02,1.40E+05,1.60E+05,2.20E+05,2.10E+05,7.50E+04,1.10E+05
Asp+3,3.70E+03,4.10E+03,2.60E+04,6.00E+04,7.10E+04,7.70E+04,7.80E+04,6.50E+04,1.70E+04,3.60E+03,1.60E+04,3.20E+04,4.90E+04,5.40E+04,6.10E+03,2.70E+04
Asp+4,1.10E+03,7.30E+02,1.80E+03,4.70E+03,5.40E+03,4.20E+03,4.90E+03,4.00E+03,5.20E+02,4.10E+02,2.30E+03,1.40E+03,3.00E+03,4.10E+03,0.00E+00,2.40E+03
,,,,,,,,,,,,,,,,
