partner,treatment,product,logFC,logFC_rel_axenic,Pvalue
General_coculture,400ppm,high-affinity iron transporter,0.569650362,0.569650362,0.003170861
General_coculture,400ppm,iron complex outermembrane receptor protein_1,-0.15994346,-0.15994346,0.434039123
General_coculture,400ppm,FHS family L-fucose permease-like MFS_1,0.634773934,0.634773934,0.011740678
General_coculture,400ppm,iron complex outermembrane receptor protein_2,0.291417291,0.291417291,0.025677358
General_coculture,400ppm,ABC-2 type transport system ATP-binding protein_1,-1.537688208,-1.537688208,1.32E-19
General_coculture,400ppm,ABC-2 type transport system permease protein_1,-0.423821137,-0.423821137,0.000187796
General_coculture,400ppm,iron complex outermembrane receptor protein_3,-0.259018551,-0.259018551,0.090282391
General_coculture,400ppm,phosphate ABC transporter ATP-binding protein,0.483716463,0.483716463,0.002205455
General_coculture,400ppm,ABC-2 type transport system permease protein_2,-0.680258698,-0.680258698,2.85E-07
General_coculture,400ppm,phosphate ABC transporter membrane protein 2,0.409630348,0.409630348,0.002129204
General_coculture,400ppm,vitamin B12 transport system substrate-binding,0.938678819,0.938678819,1.65E-14
General_coculture,400ppm,vitamin B12 transport system ATP-binding protein,0.672968373,0.672968373,3.26E-09
General_coculture,400ppm,fucose permease_1,-0.719504903,-0.719504903,4.58E-05
General_coculture,400ppm,putative ABC transport system permease protein_1,-0.010339627,-0.010339627,0.933341875
General_coculture,400ppm,iron complex outermembrane receptor protein_4,-0.122975423,-0.122975423,0.28890851
General_coculture,400ppm,ABC-2 type transport system permease protein_3,-1.388695762,-1.388695762,8.95E-30
General_coculture,400ppm,putative thiamine transport system ATP-binding,0.460621702,0.460621702,0.101826231
General_coculture,400ppm,iron complex outermembrane receptor protein_5,-0.577029632,-0.577029632,0.000549705
General_coculture,400ppm,fucose permease_2,0.627282596,0.627282596,1.72E-05
General_coculture,400ppm,amino acid ABC transporter substrate-binding,0.459839281,0.459839281,9.04E-07
General_coculture,400ppm,iron complex outermembrane receptor protein_6,-0.933024664,-0.933024664,5.68E-07
General_coculture,400ppm,outer membrane transport energization protein_1,3.132584755,3.132584755,4.53E-19
General_coculture,400ppm,putative ABC transport system ATP-binding_1,-0.753176034,-0.753176034,7.20E-06
General_coculture,400ppm,iron complex outermembrane receptor protein_7,-0.527271424,-0.527271424,9.47E-07
General_coculture,400ppm,putative ABC transport system ATP-binding_2,-0.732804439,-0.732804439,1.95E-05
General_coculture,400ppm,carboxylate/amino acid/amine transporter,0.920153559,0.920153559,7.15E-06
General_coculture,400ppm,fucose permease_3,-0.881106138,-0.881106138,1.46E-13
General_coculture,400ppm,fucose permease_4,0.283539095,0.283539095,0.475283145
General_coculture,400ppm,putative ABC transport system permease protein_2,-0.197083485,-0.197083485,0.133643913
General_coculture,400ppm,iron complex transport system permease protein,0.317677139,0.317677139,0.002246491
General_coculture,400ppm,iron complex outermembrane receptor protein_8,-0.292512645,-0.292512645,0.009447438
General_coculture,400ppm,outer membrane transport energization protein_2,3.288238767,3.288238767,2.05E-22
General_coculture,400ppm,choline/glycine/proline betaine transport_1,-0.770695082,-0.770695082,4.36E-08
General_coculture,400ppm,putative thiamine transport system permease,0.083726801,0.083726801,0.802293047
General_coculture,400ppm,phosphate ABC transporter substrate-binding,0.121111971,0.121111971,0.227135064
General_coculture,400ppm,cationic peptide transport system ATP-binding,1.151635293,1.151635293,1.89E-15
General_coculture,400ppm,iron complex outermembrane receptor protein_9,0.247762695,0.247762695,0.256410678
General_coculture,400ppm,outer membrane transport energization protein_3,3.619891317,3.619891317,1.89E-24
General_coculture,400ppm,putative ABC transport system ATP-binding_3,-0.560678105,-0.560678105,0.012156841
General_coculture,400ppm,putative ABC transport system permease protein_3,0.008093782,0.008093782,0.959847075
General_coculture,400ppm,iron complex outermembrane receptor protein_10,-2.692515299,-2.692515299,1.29E-28
General_coculture,400ppm,ammonium transporter,3.248801482,3.248801482,6.97E-14
General_coculture,400ppm,iron complex outermembrane receptor protein_11,-0.586599051,-0.586599051,4.54E-07
General_coculture,400ppm,ABC-2 type transport system ATP-binding protein_2,-0.666742517,-0.666742517,1.49E-05
General_coculture,400ppm,putative ABC transport system substrate-binding,-0.293458168,-0.293458168,0.002905052
General_coculture,400ppm,iron(III) transport system permease protein,-0.154625037,-0.154625037,0.177752336
General_coculture,400ppm,sugar phosphate permease,0.963855777,0.963855777,6.99E-05
General_coculture,400ppm,iron complex outermembrane receptor protein_12,0.524601007,0.524601007,1.87E-06
General_coculture,400ppm,iron complex outermembrane receptor protein_13,1.169134353,1.169134353,0.001106628
General_coculture,400ppm,iron complex outermembrane receptor protein_14,-0.417849579,-0.417849579,0.012426864
General_coculture,400ppm,polar amino acid transport system,-1.327190721,-1.327190721,1.22E-16
General_coculture,400ppm,long-chain fatty acid transport protein_1,0.918347114,0.918347114,6.55E-05
General_coculture,400ppm,AGCS family alanine or glycine:cation symporter,0.987918223,0.987918223,1.30E-14
General_coculture,400ppm,amino acid ABC transporter substrate-binding_2,1.217238414,1.217238414,1.29E-12
General_coculture,400ppm,phospholipid transport system transporter-binding,-1.119616445,-1.119616445,1.20E-05
General_coculture,400ppm,iron(III) transport system ATP-binding protein,-0.154068114,-0.154068114,0.207428562
