partner,treatment,product,logFC,logFC_rel_axenic,Pvalue
General_coculture,400ppm,two-component system chemotaxis response_1,1.13928946,1.13928946,0.001364684
General_coculture,400ppm,two-component system chemotaxis response_2,0.73685992,0.73685992,0.000524139
General_coculture,400ppm,two-component system chemotaxis response_3,1.171763667,1.171763667,5.93E-07
General_coculture,400ppm,chemotaxis protein methyltransferase CheR_1,1.315838342,1.315838342,0.006730991
General_coculture,400ppm,CheW protein_1,2.218889834,2.218889834,8.83E-11
General_coculture,400ppm,CheW protein_2,1.819946701,1.819946701,9.47E-12
General_coculture,400ppm,CheR-type MCP methyltransferase_1,1.084376617,1.084376617,7.56E-08
General_coculture,400ppm,CheD activator of MCP protein methylation,0.977783958,0.977783958,3.60E-07
General_coculture,400ppm,chemotaxis protein methyltransferase CheR_2,1.090221007,1.090221007,1.11E-06
General_coculture,400ppm,two-component system chemotaxis response_4,1.842393134,1.842393134,1.55E-05
General_coculture,400ppm,two-component system chemotaxis response_5,0.897762954,0.897762954,2.91E-08
General_coculture,400ppm,response regulator receiver protein_1,2.280414207,2.280414207,2.59E-13
General_coculture,400ppm,hypothetical protein,-1.09908663,-1.09908663,2.10E-14
General_coculture,400ppm,purine-binding chemotaxis protein CheW_1,2.228884781,2.228884781,4.78E-08
General_coculture,400ppm,two-component system chemotaxis response_6,1.106093346,1.106093346,7.46E-08
General_coculture,400ppm,methyl-accepting chemotaxis protein_1,0.553677899,0.553677899,3.74E-06
General_coculture,400ppm,methyl-accepting chemotaxis protein_2,0.214239164,0.214239164,0.179233812
General_coculture,400ppm,methyl-accepting chemotaxis sensory transducer_1,-0.568432422,-0.568432422,1.32E-07
General_coculture,400ppm,two-component system chemotaxis sensor kinase_1,0.580562895,0.580562895,0.011136283
General_coculture,400ppm,methyl-accepting chemotaxis sensory transducer_2,1.452426914,1.452426914,1.34E-09
General_coculture,400ppm,two-component system chemotaxis sensor kinase_2,1.7321464,1.7321464,2.83E-16
General_coculture,400ppm,flagellar FliL protein_1,1.402457996,1.402457996,6.70E-15
General_coculture,400ppm,methyl-accepting chemotaxis protein_3,0.352315485,0.352315485,0.078305782
General_coculture,400ppm,flagellar motor switch protein FliM,1.084696787,1.084696787,3.51E-14
General_coculture,400ppm,CheA signal transduction histidine kinase,2.303252377,2.303252377,2.56E-14
General_coculture,400ppm,chemotaxis protein CheC,1.469861431,1.469861431,6.54E-10
General_coculture,400ppm,methyl-accepting chemotaxis sensory transducer_3,1.775852832,1.775852832,2.40E-11
General_coculture,400ppm,methyl-accepting chemotaxis protein_4,3.750546765,3.750546765,5.92E-18
