locus_tag,dark_count_rpkm,light_count_rpkm,log2_fold_change,direction,infection_status,time_point_h,inoculation_type,gene_function,pathway
PMM0356,15827,1379,3.521,up,infected,8.5,phage,Proline iminopeptidase (EC 3.4.11.5),Arginine and proline metabolism
PMM1176,2772,517,2.424,up,infected,8.5,phage,"Possible Helix-turn-helix protein, CopG family",Transcriptional regulation
PMM0348,4088,1155,1.824,up,infected,8.5,phage,Possible Spectrin repeat,Cytoskeleton
PMM1400,3120,1043,1.581,up,infected,8.5,phage,Possible hemagglutinin-neuraminidase,Viral proteins
PMM1289,72,731,-3.35,down,infected,8.5,phage,"Cyanobacteria-specific RpoD-like sigma factor, type-12",RNA polymerase
PMM1309,67,597,-3.145,down,infected,8.5,phage,"ftsZ, Cell division protein FtsZ (EC 3.4.24.-)",Cell division
PMM0577,140,1113,-2.994,down,infected,8.5,phage,"Cyanobacteria-specific RpoD-like sigma factor, type-14",Transcriptional regulation
PMM0245,115,895,-2.957,down,infected,8.5,phage,cob(I)alamin adenosyltransferase,Porphyrin and chlorophyll metabolism
PMM0244,165,1232,-2.9,down,infected,8.5,phage,"dcd, Deoxycytidine triphosphate deaminase (EC 3.5.4.13)",Pyrimidine metabolism
PMM1711,168,1251,-2.896,down,infected,8.5,phage,"sps, Sucrose phosphate synthase( EC:2.4.1.14 )",Starch and sucrose metabolism
PMM0243,136,725,-2.412,down,infected,8.5,phage,"thyX, Thymidylate synthase thyX (EC 2.1.1.-)",Pyrimidine metabolism
PMM0502,99,523,-2.403,down,infected,8.5,phage,Single-stranded DNA-binding protein,Replication
PMM1321,663,2902,-2.131,down,infected,8.5,phage,Bacterial histone-like DNA-binding protein,DNA-binding proteins
PMM1145,112,445,-1.99,down,infected,8.5,phage,"pntB, NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)",Nicotinate and nicotinamide metabolism
PMM0661,260,1014,-1.96,down,infected,8.5,phage,"nrdJ, Ribonucleotide reductase class II (B12-dependent) (EC 1.17.4.1)",Purine and pyrimidine metabolism
RNA_15,107,409,-1.938,down,infected,8.5,phage,"tRNA-Arg2, tRNA-Arg-CCG",Protein translation
PMM0576,124,474,-1.936,down,infected,8.5,phage,COG3339 conserved hypothetical protein,(unknown)
PMM0779,123,469,-1.929,down,infected,8.5,phage,"purS, Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3)",Purine metabolism
PMM1697,308,1134,-1.879,down,infected,8.5,phage,"Cyanobacteria-specific RpoD-like sigma factor, type-13",RNA polymerase
PMM1146,212,746,-1.815,down,infected,8.5,phage,"PntA-2, NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)",Nicotinate and nicotinamide metabolism
PMM1380,184,624,-1.761,down,infected,8.5,phage,"HAD-superfamily hydrolase, subfamily IA, variant 3",Hydrolase (unknown)
PMM1150,211,694,-1.719,down,infected,8.5,phage,Thioredoxin reductase (EC 1.8.1.9),Pyrimidine metabolism
PMM0258,214,690,-1.692,down,infected,8.5,phage,"glyA, Serine hydroxymethyltransferase (EC 2.1.2.1)","Glycine, serine and threonine metabolism"
PMM0660,810,2438,-1.59,down,infected,8.5,phage,Possible RNA recognition motif (RRM),Translational regulation
,267,804,-1.589,down,infected,8.5,phage,"tRNA-Leu3, tRNA-Leu-CAA",Protein translation
PMM1611,189,549,-1.536,down,infected,8.5,phage,"thiC, Thiamin biosynthesis protein ThiC",Thiamine metabolism
PMM0740,362,1041,-1.524,down,infected,8.5,phage,"petN, Cytochrome b6f complex subunit VIII",Photosynthesis
PMM0117,404,1158,-1.52,down,infected,8.5,phage,"TPR-repeat protein, specific for cyanobacteria",(unknown)
PMM0128,356,1018,-1.515,down,infected,8.5,phage,"rpaA, Two-component system response regulator",Two-component system
PMM0970,353,1010,-1.515,down,infected,8.5,phage,"urtA, Urea ABC transporter, substrate binding protein UrtA",ABC transporters
PMM0444,186,531,-1.514,down,infected,8.5,phage,"ctaE, Cytochrome c oxidase polypeptide III (EC 1.9.3.1)",Oxidative phosphorylation
