ID,day,organism,eggnog_predicted_gene_name,eggnog_predicted_gene_description,eggnog_predicted_COG,KEGG_predicted_gene_name,KEGG_predicted_KEGG_identifier,Marinobacter_LFC,Marinobacter_pvalue,Marinobacter_padj,Alteromonas_LFC,Alteromonas_pvalue,Alteromonas_padj,Thalassospira_1_LFC,Thalassospira_1_pvalue,Thalassospira_1_padj,Thalassospira_2_LFC,Thalassospira_2_pvalue,Thalassospira_2_padj,Pseudohoeflea_LFC,Pseudohoeflea_pvalue,Pseudohoeflea_padj,Community_LFC,Community_pvalue,Community_padj
1_1_MED4_genome,2,MED4,dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],K02338,-0.667171931,0.007008528,0.021541411,-0.565734688,0.125156282,0.457952795,-0.713265419,0.035401687,0.429731378,-0.251911127,0.15532687,0.216690572,-0.692853977,0.004250564,0.010772207,-0.346138166,0.2938109,0.860144317
1_1_MED4_genome,4,MED4,dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],K02338,-0.264740384,0.314094966,0.700302898,0.0791378,0.573741431,0.786687469,-0.129875317,0.661924281,0.789891376,-0.364569755,0.042916343,0.067965619,0.322307905,0.108078244,0.238094389,0.155795068,0.342214114,0.952968986
1_1_MED4_genome,5,MED4,dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",L,dnaN; DNA polymerase III subunit beta [EC:2.7.7.7],K02338,-0.018002226,0.946861765,0.994360629,-0.145096478,0.543589254,1,0.04075408,0.860092581,0.957264107,0.083846164,0.759318505,0.960290959,0.07323703,0.775762574,0.975244142,0.252117469,0.273683246,0.62287772
1_10_MED4_genome,2,MED4,ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),U,ftsY; fused signal recognition particle receptor,K03110,0.403779436,0.057945118,0.103340637,1.661606451,0.029635787,0.437141231,0.140314361,0.619231017,0.892812064,0.179665831,0.289909796,0.364474292,0.451564696,0.01529267,0.028857779,-0.110526965,0.659553884,0.929567682
1_10_MED4_genome,5,MED4,ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),U,ftsY; fused signal recognition particle receptor,K03110,0.011513953,0.9566663,0.994360629,0.03970767,0.825875872,1,0.007620263,0.96794706,0.997083323,0.063685455,0.809454426,0.971599602,-0.226933627,0.240713462,0.893299861,-0.150511223,0.297240985,0.636297133
1_10_MED4_genome,4,MED4,ftsY,Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC),U,ftsY; fused signal recognition particle receptor,K03110,0.189702827,0.503453949,0.734905043,-0.246857284,0.060387458,0.321753409,0.142107594,0.597787142,0.753015803,0.299622253,0.044687065,0.070248652,-0.156986449,0.436715129,0.594975888,-0.283402879,0.097298897,0.861341852
1_100_MED4_genome,2,MED4,rbn,Serum resistance locus BrkB-like protein,S,K07058; membrane protein,K07058,-0.172342929,0.41429139,0.493705807,-0.592824865,0.267603672,0.566450853,-0.703764118,0.328658869,0.718965709,0.240761417,0.135996194,0.194236943,-0.270212869,0.173614876,0.227189494,-0.316068715,0.381861954,0.860144317
1_100_MED4_genome,5,MED4,rbn,Serum resistance locus BrkB-like protein,S,K07058; membrane protein,K07058,0.342862368,0.285487947,0.755378392,0.010169103,0.974299203,1,0.285077454,0.359776212,0.69541346,0.291077542,0.361656772,0.900846365,0.293927354,0.376966456,0.893299861,0.230028661,0.465300873,0.731146842
1_100_MED4_genome,4,MED4,rbn,Serum resistance locus BrkB-like protein,S,K07058; membrane protein,K07058,-0.078149765,0.746486711,0.862386517,0.421279627,0.062178113,0.321753409,0.099195123,0.692231877,0.812822394,0.066570768,0.768367971,0.810458301,0.366014912,0.038154128,0.114881003,0.172871474,0.450816339,0.952968986
1_1000_MED4_genome,2,MED4,suhB,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.466502155,0.055557967,0.100307193,0.422390689,0.270935052,0.569437895,0.312665301,0.469914602,0.813603571,0.503387574,0.039129744,0.071726163,0.046499039,0.83213574,0.855745587,-0.221780498,0.583045999,0.910594605
1_1000_MED4_genome,4,MED4,suhB,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,-0.075765208,0.822372813,0.906355808,0.29866025,0.048859968,0.309620823,0.307289937,0.294487049,0.510729892,0.566110504,0.010420061,0.02091634,0.233242821,0.290091231,0.451958844,-0.003880002,0.982761854,1
1_1000_MED4_genome,5,MED4,suhB,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.413381115,0.304182736,0.763871451,0.277039673,0.495279399,1,0.609400264,0.140278372,0.568512137,0.250920334,0.513862055,0.922965613,0.41571287,0.325891108,0.893299861,0.329424794,0.423559087,0.712006455
1_1001_MED4_genome,2,MED4,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,E,hisZ; ATP phosphoribosyltransferase regulatory subunit,K02502,1.029560647,0.003707537,0.014164643,1.248548861,0.103870578,0.443692637,0.671516492,0.210599218,0.617517361,1.266293645,0.000947821,0.006029135,1.174112278,0.001043326,0.003918721,0.142466974,0.66739267,0.93173061
1_1001_MED4_genome,4,MED4,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,E,hisZ; ATP phosphoribosyltransferase regulatory subunit,K02502,0.640503084,0.205382888,0.700302898,0.157111735,0.684232457,0.857621949,0.985603725,0.034168523,0.366223526,1.047129334,0.003222049,0.008502139,0.571062535,0.143497455,0.285198795,-0.113005405,0.707638412,0.996426336
1_1001_MED4_genome,5,MED4,hisZ,Required for the first step of histidine biosynthesis. May allow the feedback regulation of ATP phosphoribosyltransferase activity by histidine,E,hisZ; ATP phosphoribosyltransferase regulatory subunit,K02502,-0.287602664,0.404943649,0.824833158,-0.108153245,0.674868603,1,-0.383886994,0.187599413,0.579936121,-0.129173608,0.754475384,0.960290959,-0.378515272,0.219321161,0.893299861,0.077208334,0.687985605,0.85720655
1_1002_MED4_genome,2,MED4,htpG,Chaperone protein HtpG,O,"HSP90A, htpG; molecular chaperone HtpG",K04079,0.171254655,0.312473254,0.393135121,0.246826927,0.380232925,0.642416403,1.021179826,0.028134624,0.429731378,0.635544382,0.004814067,0.015605023,0.794004014,0.000624834,0.002834165,1.222714653,0.001169259,0.449229394
1_1002_MED4_genome,5,MED4,htpG,Chaperone protein HtpG,O,"HSP90A, htpG; molecular chaperone HtpG",K04079,0.051406362,0.826939685,0.964511922,-0.173401098,0.348237715,1,-0.032351054,0.874993409,0.961755526,0.097780941,0.745233198,0.960290959,0.279586874,0.256462677,0.893299861,0.268189051,0.145331586,0.558962513
1_1002_MED4_genome,4,MED4,htpG,Chaperone protein HtpG,O,"HSP90A, htpG; molecular chaperone HtpG",K04079,-0.652757073,0.010913708,0.679341248,-0.686094482,0.000299042,0.183555703,-0.568602046,0.022528679,0.366223526,-0.680487688,0.000219714,0.001420274,-0.495003539,0.007119121,0.034280923,0.164328176,0.169670657,0.898889704
1_1003_MED4_genome,2,MED4,rpmB,Belongs to the bacterial ribosomal protein bL28 family,J,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28",K02902,-0.034042618,0.918289808,0.935331241,0.174344425,0.746132171,0.866255808,0.638843485,0.167895959,0.567831229,-0.544138271,0.117945251,0.173361703,-0.102550674,0.695448553,0.744265555,0.426186557,0.270918701,0.860144317
1_1003_MED4_genome,5,MED4,rpmB,Belongs to the bacterial ribosomal protein bL28 family,J,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28",K02902,0.004648157,0.987411272,0.998853089,0.615494555,0.100781588,1,0.279915504,0.345191822,0.693918635,0.086836862,0.771783416,0.960290959,0.439464918,0.268597726,0.893299861,0.329362212,0.259117519,0.615526085
1_1003_MED4_genome,4,MED4,rpmB,Belongs to the bacterial ribosomal protein bL28 family,J,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28",K02902,-0.730963363,0.019460742,0.700302898,-1.139435756,0.010232113,0.220062544,-1.242382362,0.002217138,0.366223526,-0.590189395,0.150968552,0.200007302,-0.668408552,0.019666308,0.069065773,-0.251177995,0.546289976,0.972450474
1_1004_MED4_genome,5,MED4,,Alkyl hydroperoxide reductase,O,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",K03564,0.551624802,0.060334236,0.724256163,0.361919486,0.14946147,1,0.534346172,0.052200517,0.548815156,0.373222265,0.161609602,0.898808268,0.4383237,0.119745996,0.893299861,0.701158433,0.017424708,0.462483539
1_1004_MED4_genome,2,MED4,,Alkyl hydroperoxide reductase,O,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",K03564,-0.119248337,0.533189997,0.60786824,-0.36470554,0.648860305,0.806770645,-0.493473609,0.478589463,0.818673516,0.170710737,0.449333063,0.521237207,-0.179594267,0.458754192,0.527073446,-0.162100388,0.65421115,0.927276659
