locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point
PMM0001,2,0.89,1.01,0.71,0.54,"DNA replication, recombination, and repair","DNA polymerase III, beta chain",12h
PMM0008,2,1.34,0.16,0.11,0.28,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0013,2,-1.48,0.60,0.42,0.88,"Fatty acid, phospholipid and sterol metabolism",RNA-binding region RNP-1 (RNA recognition motif),12h
PMM0015,2,0.25,0.37,0.26,0.93,Conserved hypothetical protein,Domain of unknown function DUF25,12h
PMM0016,2,-1.51,1.08,0.76,0.27,Chaperones,Heat shock protein GrpE,12h
PMM0017,2,1.71,0.02,0.01,0.10,Chaperones,DnaJ protein,12h
PMM0020,2,-0.90,2.70,1.91,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0023,2,-0.58,0.75,0.53,0.46,CO2 fixation,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosphorylating),12h
PMM0025,2,0.18,0.31,0.22,0.83,Protein modification and translation factors,Cyclophilin-type peptidyl-prolyl cis-trans isomerase,12h
PMM0026,2,-1.42,1.65,1.16,0.08,Protein modification and translation factors,Elongation factor P (EF-P),12h
PMM0027,2,0.53,0.68,0.48,1.00,"Fatty acid, phospholipid and sterol metabolism",Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl carrier...,12h
PMM0030,2,5.12,1.40,0.99,0.00,Protein modification and translation factors,possible Transcription factor TFIID (or TATA-b,12h
PMM0031,2,1.08,0.16,0.11,0.87,"DNA replication, recombination, and repair",HNH endonuclease:HNH nuclease,12h
PMM0032,2,0.40,0.91,0.65,0.82,Protein and peptide secretion,possible Bacterial type II secretion system pr,12h
PMM0033,2,0.93,0.78,0.55,0.96,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0034,2,-0.09,0.89,0.63,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0035,2,2.04,1.39,0.99,0.22,Hydrogenase,soluble hydrogenase small subunit,12h
PMM0037,2,1.19,0.33,0.24,0.55,Purine ribonucleotide biosynthesis,Glutamine amidotransferase class-I:GMP synthase,12h
PMM0043,2,-0.98,1.23,0.87,0.14,Other,flavoprotein,12h
PMM0046,2,-1.93,0.52,0.37,0.01,Interconversions and salvage of nucleosides and nucleotides Nucleoside diphosphate kinase,,12h
PMM0048,2,0.54,0.01,0.00,0.87,Aminoacyl tRNA synthetases and tRNA modification,Glutamyl-tRNA (Gln) amidotransferase subunit B,12h
PMM0051,2,0.83,0.16,0.11,0.72,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0055,2,0.88,1.12,0.79,0.68,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0056,2,-1.09,2.52,1.78,0.86,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0058,2,3.06,0.22,0.15,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0059,2,0.52,0.37,0.26,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0060,2,-0.41,0.32,0.23,0.57,"Fatty acid, phospholipid and sterol metabolism","acetyl-CoA carboxylase, biotin carboxylase subunit",12h
PMM0061,2,-0.44,1.00,0.71,0.46,Other,"YGGT family, conserved hypothetical integral membrane protein",12h
PMM0062,2,-2.04,0.53,0.37,0.00,Photosystem II,photosystem II PsbX protein,12h
PMM0063,2,1.82,0.14,0.10,0.89,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0064,2,1.71,1.19,0.84,0.46,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0068,2,0.43,0.25,0.17,0.95,Regulatory functions,putative formylmethionine deformylase,12h
PMM0073,2,-0.26,0.45,0.31,0.68,Transport and binding proteins,"ABC transporter, membrane component",12h
PMM0075,2,1.95,1.06,0.75,0.05,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0078,2,-0.92,0.11,0.08,0.39,Other,possible 4'-phosphopantetheinyl transferase family protein,12h
PMM0079,2,-1.86,0.23,0.16,0.00,Transport and binding proteins,putative bacterioferritin comigratory (BCP) protein,12h
PMM0081,2,1.48,1.51,1.06,0.49,Serine family / Sulfur assimilation,Phosphoadenosine phosphosulfate reductase,12h
PMM0082,2,3.47,2.30,1.63,0.00,Regulatory functions,"putative NADH dehydrogenase, transport associated",12h
PMM0083,2,-0.80,1.01,0.71,0.23,Regulatory functions,"putative sodium/sulfate transporter, DASS family",12h
PMM0085,2,0.55,0.54,0.38,1.00,Regulatory functions,"putative potassium channel, VIC family",12h
PMM0086,2,-0.01,2.04,1.45,0.71,Conserved hypothetical protein,Conserved hypothetical protein,12h
PMM0087,2,2.87,1.77,1.25,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0088,2,1.77,0.94,0.67,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0091,2,1.28,1.46,1.03,0.36,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0092,2,2.26,1.76,1.24,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0093,2,-0.68,0.13,0.09,1.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM0095,2,-0.61,1.40,0.99,0.35,Other,similar to serum resistance locus BrkB,12h
PMM0099,2,1.68,1.07,0.76,0.22,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0101,2,0.93,0.34,0.24,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0103,2,1.79,0.56,0.40,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0105,2,1.05,0.53,0.37,0.37,Riboflavin,RibD/ribG C-terminal domain,12h
PMM0106,2,0.76,0.27,0.19,0.97,Other,6-pyruvoyl tetrahydropterin synthase,12h
PMM0111,2,-0.06,0.64,0.45,0.73,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0114,2,-0.79,2.06,1.46,0.19,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0115,2,0.28,0.75,0.53,0.85,Carotenoid,zeta-carotene desaturase,12h
PMM0116,2,0.46,0.60,0.43,0.80,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0117,2,2.10,0.18,0.13,0.01,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0120,2,1.65,1.06,0.75,0.11,Cell division,putative cell division inhibitor,12h
PMM0121,2,0.59,0.43,0.30,0.76,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM0123,2,0.65,0.62,0.44,1.00,Serine family / Sulfur assimilation,O-acetylserine (thiol)-lyase A,12h
PMM0124,2,1.03,1.55,1.10,0.85,Conserved hypothetical protein,conserved hypothetical protein in cyanobacteria,12h
PMM0125,2,-0.12,0.26,0.18,0.72,Transport and binding proteins,"possible ABC transporter, ATP-binding component",12h
PMM0126,2,0.52,0.49,0.34,0.85,Other,possible Herpesvirus UL6 like,12h
PMM0128,2,0.16,0.15,0.10,0.81,Regulatory functions,two-component response regulator,12h
PMM0132,2,-1.10,0.03,0.02,0.25,Other,cyanobacterial conserved hypothetical,12h
PMM0133,2,2.05,0.32,0.23,0.02,Radiation sensitivity,putative DNA repair protein RadA,12h
PMM0134,2,-1.66,1.09,0.77,0.11,Regulatory functions,two-component response regulator,12h
PMM0136,2,-1.05,1.72,1.22,0.12,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase III,12h
PMM0137,2,0.32,0.41,0.29,1.00,"Fatty acid, phospholipid and sterol metabolism",Malonyl coenzyme A-acyl carrier protein transacylase,12h
