Gene Name,Unnamed: 1,Definition,Unnamed: 3,Cyanobase functional category,p-value,logFC,Regulation,locus_tag
PMM0814,,Possible Cytochrome oxidase c subunit VIb,,Not in COGs,< 0.001,1.927,Up,PMM0814
"rps13,rpsM",,30S ribosomal protein S13,,"Translation, ribosomal structure and biogenesis",0.001,1.774,Up,PMM1537
PMM0348,,Possible Spectrin repeat,,Not in COGs,< 0.001,1.754,Up,PMM0348
PMM0087,,Conserved hypothetical protein,,Not in COGs,< 0.001,1.601,Up,PMM0087
PMM2013,,Hypothetical protein,,Not in COGs,0.001,1.206,Up,PMM2013
PMM1602,,Conserved hypothetical protein,,Not in COGs,< 0.001,1.09,Up,PMM1602
"rpmJ,rpl36",,50S Ribosomal protein L36,,"Translation, ribosomal structure and biogenesis",< 0.001,1.081,Up,PMM1538
PMM1881,,Conserved hypothetical protein,,Not in COGs,< 0.001,1.071,Up,PMM1881
PMM1429,,Conserved hypothetical protein,,Not in COGs,< 0.001,1.067,Up,PMM1429
secE,,"Putative preprotein translocase, SecE subunit",,Not in COGs,< 0.001,1.057,Up,PMM0206
PMM0596,,Putative glucokinase,,Carbohydrate transport and metabolism,0.002,1.039,Up,PMM0596
PMM1400,,Possible Hemagglutinin-neuraminidase,,Not in COGs,< 0.001,1.039,Up,PMM1400
rnhA,,Possible ribonuclease HI,,"DNA replication, recombination, and repair",0.001,1.033,Up,PMM0200
PMM1006,,Glutathione peroxidase,,"Posttranslational modification, protein turnover, chaperones",< 0.001,-1.041,Down,PMM1006
"des,yocE",,"Fatty acid desaturase,type 2",,Lipid metabolism,< 0.001,-1.062,Down,
"pgk,cbbK",,Phosphoglycerate kinase,,Carbohydrate transport and metabolism,< 0.001,-1.119,Down,PMM0195
PMM2051,,Hypothetical protein,,Not in COGs,< 0.001,-1.14,Down,PMM2051
ruvC, Crossover junction endodeoxyribonuclease RuvC,,,"DNA replication, recombination, and repair",< 0.001,-1.178,Down,PMM1054
PMM0280,,Retinal pigment epithelial membrane protein,,"Secondary metabolites biosynthesis, transport, and catabolism",< 0.001,-1.18,Down,PMM0280
ffs,,Signal recognition particle RNA (4.5 S RNA),,Not in COGs,< 0.001,-1.252,Down,
PMM1028,,Conserved hypothetical,,Not in COGs,0.001,-1.318,Down,PMM1028
PMED4_ncRNA_Yfr11,,,-,Not in COGs,< 0.001,-1.335,Down,
PMM0316,,Possible ferredoxin,,Energy production and conversion,< 0.001,-1.358,Down,PMM0316
PMM1359,,Conserved hypothetical protein,,Function unknown,< 0.001,-1.413,Down,PMM1359
PMM1894,,Conserved hypothetical protein,,Not in COGs,< 0.001,-1.52,Down,PMM1894
PMM1854,,Conserved hypothetical protein,,Not in COGs,0.001,-1.584,Down,PMM1854
tRNA-Gly1,,tRNA-Gly,,Not in COGs,< 0.001,-1.99,Down,
PMM1961,,Conserved hypothetical protein,,Not in COGs,0.001,-2.139,Down,PMM1961
PMM2003,,Conserved hypothetical protein,,Not in COGs,< 0.001,-2.187,Down,PMM2003
PMM0731,,Possible COMC family,,Not in COGs,< 0.001,-3.506,Down,PMM0731
,,,,,,,,
