pmed4_id,gene_name,gene_description,peak_time_transcript_h,peak_time_protein_h,protein_transcript_lag_h,transcript_amplitude_log2,protein_amplitude_log2,transcript_protein_amplitude_ratio
PMED4_00001,dnaN,"DNA polymerase III, beta chain (NCBI)",16.1,20.3,4.3,2.76,0.20,13.8
PMED4_00021,purL,phosphoribosylformylglycinamidine synthetase II (NCBI),16.1,18.8,2.7,1.94,0.44,4.4
PMED4_00091,ftsY,signal recognition particle docking protein FtsY (NCBI),18.2,2.0,7.8,1.62,0.32,5.1
PMED4_00121,NA,RNA-binding region RNP-1 (RNA recognition motif),4,0.6,21.1,0.66,0.10,6.6
PMED4_00221,gap2,Glyceraldehyde 3-phosphate dehydrogenase(NADP+)(phosp4h.o6rylating),4.6,13.5,8.9,1.56,0.18,8.7
PMED4_00261,accB,Biotin / Lipoyl attachment:Acetyl-CoA biotin carboxyl,18.5,9.8,15.3,0.70,0.14,5.0
PMED4_00311,NA,type II secretion system protein-like (Katherine Huang),17.8,0.4,6.6,2.94,0.70,4.2
PMED4_00341,DHSS,soluble hydrogenase small subunit (NCBI),15.9,21,4.6,3.18,0.50,6.4
PMED4_00361,guaA,Glutamine amidotransferase class-I:GMP synthase,17.5,20.4,2.9,2.12,0.24,8.8
PMED4_00441,alaS,Alanyl-tRNA synthetase (NCBI),21.9,2,3.9,1.08,0.38,2.8
PMED4_00461,ndk,Nucleoside diphosphate kinase (NCBI),2.5,11.1,8.6,1.62,0.20,8.1
PMED4_00481,gatB,Glutamyl-tRNA (Gln) amidotransferase subunit B (NCBI),15.6,3.4,11.8,0.58,0.16,3.6
PMED4_00551,NA,conserved hypothetical protein (NCBI),16.3,12.6,20.3,2.14,1.00,2.1
PMED4_00601,NA,Uncharacterized conserved protein (Katherine Huang),15.9,18.9,3.0,2.16,0.50,4.3
PMED4_00621,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit",2.4,6.4,4.0,0.86,0.32,2.7
PMED4_00651,NA,conserved hypothetical protein (NCBI),17.2,15.4,22.2,1.28,0.94,1.4
PMED4_00771,NA,Uncharacterized protein conserved in bacteria (Katherine,17.1,9.0,15.9,5.06,1.64,3.1
PMED4_00791,pgm,Phosphoglucomutase (NCBI),13.0,17.0,4.0,1.22,0.20,6.1
PMED4_01021,NA,possible RND family outer membrane efflux protein,1.7,13.4,11.7,1.14,1.48,0.8
PMED4_01211,crtQ,zeta-carotene desaturase (NCBI),4.6,2.3,21.7,0.88,1.18,0.7
PMED4_01301,NA,conserved hypothetical protein in cyanobacteria (NCBI),2.3,17.4,15.0,1.38,1.12,1.2
PMED4_01341,rpaA,two-component response regulator (NCBI),11.7,13.7,2.1,2.36,0.30,7.9
PMED4_01401,rpaB,two-component response regulator (NCBI),2,10.0,8.1,2.02,0.24,8.4
PMED4_01481,NA,RNA-binding region RNP-1 (RNA recognition motif),3.5,6.2,2.7,1.14,0.68,1.7
PMED4_01561,ndhD,putative NADH dehydrogenase subunit (chain 4) (NCBI),16.7,2.9,10.3,3.34,0.52,6.4
PMED4_01651,ndhI,putative NADH Dehydrogenase subunit (NCBI),18.5,4.1,9.6,1.08,1.24,0.9
PMED4_01671,gltA,Citrate synthase (NCBI),18.0,0.9,6.9,3.00,0.14,21.4
PMED4_01721,cysC,Adenylylsulfate kinase (NCBI),1.1,6.6,5.5,1.04,0.38,2.7
PMED4_01751,NA,two-component response regulator (NCBI),18.5,20.0,1.6,1.18,0.28,4.2
PMED4_01941,nadC,Nicotinate-nucleotide pyrophosphorylase:Quinolinate,6.5,0.3,17.8,0.50,0.86,0.6
PMED4_01951,thdF,putative thiophen / furan oxidation protein (NCBI),3.1,13.0,10.0,1.80,0.60,3.0
PMED4_02011,pgk,Phosphoglycerate kinase (NCBI),7.0,15.1,8.1,2.94,0.42,7.0
PMED4_02081,rplJ,50S ribosomal protein L10 (NCBI),1.9,1.6,23.7,2.62,0.18,14.6
PMED4_02101,rplK,50S ribosomal protein L11 (NCBI),23.1,12.1,13.1,1.10,0.10,11.0
PMED4_02111,nusG,"transcription antitermination protein, NusG (NCBI)",22.3,7,8.2,1.04,0.12,8.7
PMED4_02141,eno,Enolase (NCBI),17.9,21.1,3.1,3.50,0.22,15.9
PMED4_02171,trxB,FAD-dependent pyridine nucleotide-disulphide,13.5,19.0,5.5,2.46,0.24,10.3
PMED4_02201,NA,putative sulfate transporter (NCBI),4.5,6.1,1.5,1.40,0.46,3.0
PMED4_02281,psbA,Photosystem II PsbA protein (D1) (NCBI),11.4,1.5,14.1,2.70,1.10,2.5
PMED4_02291,aroC,Chorismate synthase (NCBI),19,8.6,13.3,1.56,1.70,0.9
PMED4_02311,ftsH2,cell division protein FtsH2 (NCBI),5.4,13.1,7.7,1.04,0.16,6.5
PMED4_02321,cysD,ATP-sulfurylase (NCBI),4.6,21.0,16.4,1.16,0.48,2.4
PMED4_02331,psbO,Photosystem II manganese-stabilizing protein (NCBI),6.4,14.5,8.1,1.38,0.26,5.3
PMED4_02431,ileS,Isoleucyl-tRNA synthetase (NCBI),21.9,17.9,20.1,1.06,0.16,6.6
PMED4_02481,thy1,possible Thy1 protein homolog (NCBI),16.4,20,3.4,2.94,0.22,13.4
PMED4_02491,dcd,dCTP Deaminase (NCBI),16.4,21.5,5.1,3.46,0.58,6.0
PMED4_02631,glyA,Serine hydroxymethyltransferase (SHMT) (NCBI),14.3,18.9,4.6,2.26,0.46,4.9
PMED4_02681,amt1,Ammonium transporter family (NCBI),17.7,1,7.3,3.80,0.28,13.6
PMED4_02781,NA,probable oxidoreductase (NCBI),4.2,7.8,3.6,1.84,0.56,3.3
PMED4_02861,hisB,Imidazoleglycerol-phosphate dehydratase (NCBI),23.2,23.0,23.8,1.04,0.34,3.1
PMED4_02871,fabI,enoyl-[acyl-carrier-protein] reductase (NCBI),1.9,9.7,7.8,1.24,0.16,7.8
PMED4_02941,NA,possible ABC transporter (NCBI),18.2,19.0,0.9,1.38,0.20,6.9
PMED4_03021,psbE,Cytochrome b559 alpha-subunit (NCBI),10.6,22.8,12.2,1.64,0.12,13.7
PMED4_03041,psbL,photosystem II PsbL protein (NCBI),8.0,0.0,16.0,1.74,0.26,6.7
PMED4_03061,NA,5'-methylthioadenosine phosphorylase (NCBI),17.6,3.7,10.0,1.08,1.04,1.0
PMED4_03171,metK,S-adenosylmethionine synthetase (NCBI),5.4,8.8,3.4,0.88,0.16,5.5
PMED4_03181,"rps1a,","rpsA310S ribosomal protein S1, homolog A (NCBI)",2.5,7.0,4.4,2.26,0.38,5.9
PMED4_03271,minE,possible septum site-determining protein MinE (NCBI),14.1,21.3,7.1,4.22,0.22,19.2
PMED4_03281,minD,putative septum site-determining protein MinD (NCBI),13.6,18.9,5.3,4.96,0.42,11.8
PMED4_03321,petB,Cytochrome b6 (NCBI),13.5,7,17.4,1.54,1.28,1.2
PMED4_03341,NA,putative neutral invertase-like protein (NCBI),19.6,18.1,22.5,1.42,0.40,3.6
PMED4_03361,psaE,Photosystem I PsaE protein (subunit IV) (NCBI),6.7,7.7,1.0,1.26,0.20,6.3
PMED4_03371,NA,possible LysM domain (NCBI),16,14.5,22.1,3.14,1.94,1.6
PMED4_03501,NA,conserved hypothetical (NCBI),4,20.1,15.7,0.42,0.40,1.1
PMED4_03911,NA,possible Malic enzyme (NCBI),17.2,21.1,3.9,5.18,0.28,18.5
PMED4_03941,NA,conserved hypothetical protein (NCBI),18.0,4.1,10.1,2.66,0.66,4.0
PMED4_04231,,"spnII-interruppotsesdi-bCle uncharacterized restriction enzyme, interrupted-C",17.7,22.4,4.8,2.54,0.90,2.8
PMED4_04411,lrtA,light repressed protein A homolog (NCBI),16.1,5.9,13.8,1.82,1.30,1.4
PMED4_04441,NA,conserved hypothetical protein (NCBI),15.9,19.1,3.2,2.36,0.30,7.9
PMED4_04501,cysK1,O-acetylserine (thiol)-lyase A (NCBI),18.9,1.4,6.5,1.70,0.26,6.5
PMED4_04531,rpsD,30S ribosomal protein S4 (NCBI),2.5,3.1,0.7,1.36,0.24,5.7
PMED4_04601,NA,Conserved hypothetical protein (Katherine Huang),16.8,22.0,5.2,1.38,0.46,3.0
PMED4_04831,topA,Prokaryotic DNA topoisomerase (NCBI),17.7,2.3,8.7,1.72,0.26,6.6
PMED4_05011,fabG,3-oxoacyl-[acyl-carrier protein] reductase (NCBI),4.2,9.1,4.9,2.04,0.22,9.3
