GENE,t=0h,t=3h,t=6h,t=12h,t=24h,t=48h,Nitrite,Urea,ANNOTATION
PMT_or1910,0.179573903,-0.010250695,0.123369304,-0.335998211,-0.253190405,-1.362972636,0.087754992,0.496240757,unknown
PMT_or1984,-0.563504798,-0.213090178,-0.12009056,0.602169061,0.0641205,0.375794205,0.178324587,-0.924252287,unknown
PMT0001,-0.345671597,0.001817626,0.170314585,-0.027212632,0.202227899,-0.388655564,-0.579802362,-0.153674279,"dnaN DNA polymerase III, beta chain"
PMT0002,-0.117273022,-0.126286972,0.123841461,-0.359692056,-0.554765109,1.054888017,0.00620806,0.215227668,conserved hypothetical protein
PMT0003,-0.041562247,-0.060552717,-0.355273786,-0.434477686,-0.433658036,-2.378839832,-0.125833502,0.103171581,purL phosphoribosylformylglycinamide synthetase II
PMT0004,-0.252170139,-0.138633361,-0.087823268,-0.07713856,-1.1514439,-1.576070417,-0.086986067,-0.018921187,purF Glutamine amidotransferaseclass-II:Phosphoribosyl transferase
PMT0005,0.067958662,0.145653471,-0.104709416,-0.910768049,-1.84055492,-2.165667357,-0.302075256,-0.088174802,"DNA gyrase/topoisomerase IV, subunit A"
PMT0006,0.159038399,0.168364947,-0.082205803,0.220243647,0.081994274,-0.606642644,-0.441526065,-0.70105828,conserved hypothetical protein
PMT0007,-0.162713807,0.025942968,-0.010624644,-0.096813338,0.163220521,0.003409188,0.258508604,0.144308358,conserved hypothetical protein
PMT0008,-0.295038944,0.048866363,0.051034521,-0.272061872,-0.07199733,**-1.39551819969091,-0.343239842,-0.495808225,unnamed product
PMT0009,0.117508329,-0.027835988,-0.0603325,-0.309153873,-0.193570386,-0.655165843,0.054865133,0.471747947,conserved hypothetical protein
PMT0010,0.119231949,-0.026743521,-0.06926638,-0.657944736,-0.179387941,-1.24531299,-0.20959762,-0.066081123,nusB Antitermination protein NusB
PMT0011,-0.094225532,0.059123036,-0.477279322,-1.348182451,-0.788280553,0.410945494,-0.272778018,0.160056194,ftsY signal recognition particle docking protein FtsY
PMT0012,0.087415931,-0.112225092,-0.037437418,-0.976943727,-0.102589567,-1.108660598,-0.057584649,-0.157567443,Protein phosphatase 2C domain
PMT0013,0.052795085,0.037340263,-0.029213679,-0.167275546,-0.537926152,-0.617451818,-0.136277053,-0.063369414,argH Fumarate lyase:Delta crystallin
PMT0014,0.50593153,0.067239081,-0.0568709,-0.61679772,*-0.881058227647977,**-1.35202790313531,0.137025681,-0.024293936,RNA-binding region RNP-1 (RNA recognition motif)
PMT0015,0.471252729,0.535808355,-0.346935719,0.741843986,-0.575408796,-1.14606968,-0.137821592,-0.000980573,conserved hypothetical protein
PMT0016,0.197468333,0.170673082,0.110591153,-0.164114579,0.511953658,*-0.96717206847379,-0.002806338,-0.169782491,Domain of unknown function DUF25
PMT0017,-0.356108411,-0.040648702,-0.735265567,-0.545095517,0.179193014,0.567026294,-0.290555868,-0.08179961,conserved hypohetical protein
PMT0018,-0.383974303,0.40179403,-0.081573077,-0.455720901,-0.907038968,-0.302606589,-0.107212061,0.489236221,pilC pili biogenesis protein
PMT0019,-0.268371994,-0.02729175,-0.249311395,0.238930728,0.849511539,0.629531593,-0.129059022,0.196941257,pilT1 homologous to PilT1 protein
PMT0020,-0.100303512,0.121115561,-0.078640316,-0.523389791,-0.274339822,-0.127828948,-0.126895652,0.207459796,"gspE1,pilB1 General secretion pathway protein E"
PMT0021,0.035979094,0.133246526,0.045897997,0.145804281,0.386286052,-0.118840733,-0.16661711,-0.246310336,grpE Heat shock protein GrpE
PMT0022,-0.103667186,-0.233323349,0.053483233,-0.019028142,-0.08041973,-0.302885946,0.09948408,0.604721037,dnaJ DnaJ protein
PMT0023,0.103303215,-0.056903797,-0.146156981,-0.395140564,-0.300975468,-0.500961496,0.154305263,0.058146198,conserved hypothetical protein
PMT0024,0.0886749,0.127923241,-0.129930043,0.18413025,-0.432078392,-1.503409728,0.274381354,0.137448132,conserved hypothetical protein
PMT0025,-0.08577068,0.277371136,0.14866713,-0.005314947,-0.428934547,-0.612564503,0.039235987,-0.132398699,conserved hypothetical protein
PMT0026,-0.114855476,-0.217537205,-0.561107247,-0.221028439,-0.435713141,-0.654509477,-0.240033645,0.381693328,murB UDP-N-acetylenolpyruvoylglucosamine reductase
PMT0027,0.060332863,-0.184668538,-0.205025232,0.123001529,0.471483892,0.338137692,-0.394225806,-0.139064687,murC Probable UDP-N-acetylmuramate-alanine ligase
PMT0028,-1.139648673,-0.204466871,0.046172462,0.310696057,0.167161757,0.382963686,-0.75807011,-0.131340325,gap2 Glyceraldehyde 3-phosphate dehydrogenase(NADP+;phosphorylating)
PMT0029,-0.018585746,-0.125499613,-0.074060512,0.620909129,0.197666501,-0.203471219,-0.2812479,0.4351577,thiL putative thiamine monophosphate kinase
PMT0030,-0.092327986,-0.006954456,0.018805133,0.350585583,0.255148642,-0.366405007,0.000811307,0.273470536,Cyclophilin-type peptidyl-prolyl cis-transisomerase
PMT0031,0.343437138,-0.001613858,0.027786628,0.175297544,-0.969666666,**-2.94463857909195,0.115847847,0.526741763,efp Elongation factor P (EF-P)
PMT0032,0.012602761,-0.021248711,-0.268208401,-0.584912989,*-0.93571713669267,*-0.94601992587743,0.12282053,0.191425702,accB Biotin / Lipoyl attachment:Acetyl-CoA biotincarboxyl carrier...
PMT0033,0.114816285,0.193850801,-0.503700335,0.14366036,0.163110406,0.569732231,-0.143607069,0.056855917,pdxA putative pyridoxal phosphate biosynthetic proteinPdxA
PMT0034,-0.026176509,-0.041118581,0.211332671,-0.092986926,-0.283551872,0.28885235,-0.051442216,0.018514036,conserved hypothetical protein
