gene_id,cluster
PMT0991,1
PMT0990,1
PMT2240,1
PMT2239,1
PMT2229,1
PMT1831,1
PMT0992,1
PMT1154,2
PMT2246,2
PMT0039,2
PMT0488,2
PMT1144,2
PMT1152,2
PMT1874,2
PMT0382,2
PMT0565,2
PMT0951,2
PMT2241,2
PMT0993,2
PMT0963,2
PMT1314,2
PMT1608,2
PMT1946,2
PMT0939,2
PMT0601,2
PMT1631,2
PMT1640,2
PMT0937,2
PMT0346,2
PMT0845,2
PMT0649,2
PMT0971,2
PMT0952,2
PMT0964,2
PMT2174,2
PMT1853,2
PMT1153,2
PMT0988,2
PMT0908,2
PMT0201,2
PMT0805,2
PMT1007,2
PMT1341,2
PMT2236,3
PMT1948,3
PMT0508,3
PMT0954,3
PMT0806,3
PMT0366,3
PMT0501,3
PMT0683,3
PMT1542,3
PMT1340,3
PMT0387,3
PMT1102,3
PMT2256,3
PMT1838,3
PMT1446,3
PMT1462,3
PMT2180,3
PMT2235,3
PMT1600,3
PMT0038,3
PMT2217,3
PMT1817,3
PMT0911,3
PMT0128,3
PMT1009,3
PMT1539,3
PMT0677,3
PMT2271,3
PMT2173,3
PMT2000,3
PMT2156,3
PMT0957,3
PMT1432,3
PMT0811,3
PMT0361,3
PMT0994,3
PMT1265,3
PMT2168,3
PMT1564,3
PMT0910,3
PMT0697,3
PMT0912,3
PMT1676,3
PMT0823,3
PMT1584,3
PMT0457,3
PMT1075,3
PMT1129,3
PMT1286,3
PMT1172,3
PMT2265,3
PMT0352,3
PMT1296,3
PMT1565,3
PMT0685,3
PMT0441,3
PMT1667,3
PMT1274,3
PMT0127,3
PMT0732,3
PMT2075,3
PMT1447,3
PMT1636,3
PMT0192,3
PMT1422,3
PMT1017,3
PMT2183,3
PMT0449,3
PMT1798,3
PMT1121,3
PMT1068,3
PMT0388,3
PMT1975,3
PMT1215,3
PMT0369,3
PMT1299,3
PMT1054,3
PMT1483,3
PMT1833,3
PMT2014,3
PMT1632,3
PMT0173,3
PMT1688,3
PMT0035,3
PMT2242,3
PMT0969,3
PMT1969,3
PMT2028,3
PMT2175,3
PMT0559,3
PMT1664,3
PMT1298,3
PMT1536,3
PMT1543,3
PMT2166,3
PMT0986,3
PMT0983,3
PMT0125,3
PMT1826,3
PMT1423,3
PMT1595,3
PMT0329,3
PMT1645,3
PMT0804,3
PMT0458,3
PMT1342,3
PMT1430,3
PMT0194,3
PMT0124,3
PMT2234,3
PMT0734,3
PMT1131,3
PMT0609,3
PMT1248,3
PMT0880,3
PMT0338,3
PMT0747,3
PMT1343,3
PMT0955,3
PMT1209,3
PMT0316,3
PMT1721,3
PMT0348,3
PMT1597,3
PMT0378,3
PMT1276,3
PMT0339,3
PMT0885,3
PMT2010,3
PMT0315,3
PMT0119,3
PMT1014,3
PMT0943,4
PMT0411,4
PMT0493,4
PMT2123,4
PMT1355,4
PMT1454,4
PMT1566,4
