Cluster:	1	2	3	4	5	6	7
Size:	7	36	132	139	113	81	51
Amino acid biosynthesis	0.142857142857143	0.0277777777777778	0	0.0215827338129496	0.0530973451327434	0.0246913580246914	0
Biosynthesis of cofactors, prosthetic groups, and carriers	0	0	0.0303030303030303	0.0143884892086331	0.0707964601769911	0.0246913580246914	0
Cell envelope	0	0	0	0.00719424460431655	0.0176991150442478	0.037037037037037	0.0196078431372549
Cellular processes	0	0.0277777777777778	0.0378787878787879	0.0287769784172662	0.0442477876106195	0	0
Central intermediary metabolism	0	0	0.0227272727272727	0.0143884892086331	0	0.0123456790123457	0
DNA replication, recombination, and repair	0	0.0277777777777778	0.00757575757575758	0.0215827338129496	0.00884955752212389	0	0
Energy metabolism	0	0.0277777777777778	0.0227272727272727	0.0215827338129496	0.0176991150442478	0	0.0588235294117647
Fatty acid, phospholipid and sterol metabolism	0	0.0277777777777778	0.00757575757575758	0.0215827338129496	0.079646017699115	0.037037037037037	0.0196078431372549
Hypothetical	0	0.388888888888889	0.446969696969697	0.402877697841727	0.141592920353982	0.333333333333333	0.0784313725490196
Other categories	0.428571428571429	0.194444444444444	0.128787878787879	0.165467625899281	0.123893805309735	0.0987654320987654	0.0588235294117647
Photosynthesis and respiration	0	0.0277777777777778	0.053030303030303	0.079136690647482	0.132743362831858	0.222222222222222	0.117647058823529
Purines, pyrimidines, nucleosides, and nucleotides	0	0	0	0.0215827338129496	0.0176991150442478	0.037037037037037	0
Regulatory functions	0	0.138888888888889	0.0757575757575758	0.0431654676258993	0.0353982300884956	0.0123456790123457	0.0392156862745098
Transcription	0	0	0.00757575757575758	0.00719424460431655	0.0442477876106195	0	0.0588235294117647
Translation	0.142857142857143	0	0.113636363636364	0.0719424460431655	0.185840707964602	0.135802469135802	0.490196078431373
Transport and binding proteins	0.285714285714286	0.111111111111111	0.0454545454545455	0.0575539568345324	0.0265486725663717	0.0246913580246914	0.0588235294117647
