Cluster:	1	2	3	4	5	6	7	8	9
Size:	5	16	19	86	73	124	42	37	8
Analyzed:	3	4	4	26	24	71	33	29	7
Amino acid biosynthesis	0.333333333333333	0	0	0.153846153846154	0.0833333333333333	0.028169014084507	0.0303030303030303	0.0344827586206897	0
Biosynthesis of cofactors, prosthetic groups, and carriers	0	0	0	0.115384615384615	0.166666666666667	0.126760563380282	0.0303030303030303	0	0
Cellular processes	0	0	0	0.0769230769230769	0.0833333333333333	0.0845070422535211	0.0303030303030303	0.137931034482759	0
Fatty acid, phospholipid and sterol metabolism	0	0	0.25	0	0	0.140845070422535	0.0606060606060606	0.0344827586206897	0
Photosynthesis and respiration	0	0	0	0.230769230769231	0.166666666666667	0.126760563380282	0.121212121212121	0.620689655172414	1
Regulatory functions	0	0.25	0.75	0.153846153846154	0.25	0.0704225352112676	0.0303030303030303	0.0689655172413793	0
Translation	0	0.25	0	0.153846153846154	0.0833333333333333	0.394366197183099	0.636363636363636	0.0689655172413793	0
Transport and binding proteins	0.666666666666667	0.5	0	0.115384615384615	0.166666666666667	0.028169014084507	0.0606060606060606	0.0344827586206897	0
