Cluster:	1	2	3	4	5	6	7
Size:	7	36	132	139	113	81	51
Analyzed:	4	14	52	51	78	39	43
Amino acid biosynthesis	0.25	0.0714285714285714	0	0.0588235294117647	0.0769230769230769	0.0512820512820513	0
Biosynthesis of cofactors, prosthetic groups, and carriers	0	0	0.0769230769230769	0.0392156862745098	0.102564102564103	0.0512820512820513	0
Cellular processes	0	0.0714285714285714	0.0961538461538462	0.0784313725490196	0.0641025641025641	0	0
Energy metabolism	0	0.0714285714285714	0.0576923076923077	0.0588235294117647	0.0256410256410256	0	0.0697674418604651
Fatty acid, phospholipid and sterol metabolism	0	0.0714285714285714	0.0192307692307692	0.0588235294117647	0.115384615384615	0.0769230769230769	0.0232558139534884
Photosynthesis and respiration	0	0.0714285714285714	0.134615384615385	0.215686274509804	0.192307692307692	0.461538461538462	0.13953488372093
Regulatory functions	0	0.357142857142857	0.192307692307692	0.117647058823529	0.0512820512820513	0.0256410256410256	0.0465116279069767
Transcription	0	0	0.0192307692307692	0.0196078431372549	0.0641025641025641	0	0.0697674418604651
Translation	0.25	0	0.288461538461538	0.196078431372549	0.269230769230769	0.282051282051282	0.581395348837209
Transport and binding proteins	0.5	0.285714285714286	0.115384615384615	0.156862745098039	0.0384615384615385	0.0512820512820513	0.0697674418604651
