Cluster:	1	2	3	4	5	6	7	8	9
Size:	5	16	19	86	73	124	42	37	8
Amino acid biosynthesis	0.2	0	0	0.0465116279069767	0.0273972602739726	0.0161290322580645	0.0238095238095238	0.027027027027027	0
Biosynthesis of cofactors, prosthetic groups, and carriers	0	0	0	0.0348837209302326	0.0547945205479452	0.0725806451612903	0.0238095238095238	0	0
Cell envelope	0	0	0	0	0.0273972602739726	0	0	0.027027027027027	0.125
Cellular processes	0	0	0	0.0232558139534884	0.0273972602739726	0.0483870967741935	0.0238095238095238	0.108108108108108	0
Central intermediary metabolism	0	0	0	0.0116279069767442	0.0273972602739726	0.0241935483870968	0	0	0
DNA replication, recombination, and repair	0	0.0625	0.105263157894737	0.0116279069767442	0.0136986301369863	0	0	0	0
Energy metabolism	0	0	0	0.0116279069767442	0.0273972602739726	0.0241935483870968	0	0	0
Fatty acid, phospholipid and sterol metabolism	0	0	0.0526315789473684	0	0	0.0806451612903226	0.0476190476190476	0.027027027027027	0
Hypothetical	0.4	0.3125	0.157894736842105	0.418604651162791	0.438356164383562	0.201612903225806	0.119047619047619	0.0540540540540541	0
Other categories	0	0.375	0.526315789473684	0.186046511627907	0.10958904109589	0.137096774193548	0.0952380952380952	0.108108108108108	0
Photosynthesis and respiration	0	0	0	0.0697674418604651	0.0547945205479452	0.0725806451612903	0.0952380952380952	0.486486486486487	0.875
Purines, pyrimidines, nucleosides, and nucleotides	0	0	0	0.0581395348837209	0.0136986301369863	0.00806451612903226	0	0	0
Regulatory functions	0	0.0625	0.157894736842105	0.0465116279069767	0.0821917808219178	0.0403225806451613	0.0238095238095238	0.0540540540540541	0
Transcription	0	0	0	0	0.0136986301369863	0.032258064516129	0	0.027027027027027	0
Translation	0	0.0625	0	0.0465116279069767	0.0273972602739726	0.225806451612903	0.5	0.0540540540540541	0
Transport and binding proteins	0.4	0.125	0	0.0348837209302326	0.0547945205479452	0.0161290322580645	0.0476190476190476	0.027027027027027	0
