gene ID,Description,Functional group,HL/dark,WL/dark,BL/dark,RL/dark,GL/dark,DCMU/WL
PMM0015,Domain of unknown function DUF25,16. Hypothetical,3.7*,1.8,2.1*,1.3,1.1,-1.3
PMM0041,possible reductase,15. Other categories,2.3*,2.6*,1.9,1.4,1.3,-1.7
PMM0043,flavoprotein,15. Other categories,4.4*,2.1*,2.8*,1.4,1,-1.5
PMM0046,Nucleoside diphosphate kinase,"9. Purines, pyrimidines, nucleosides, and nucleotides",1.2,2.0*,1.6,1.1,1.5,-1.3
PMM0051,conserved hypothetical protein,16. Hypothetical,-2.5*,-1.6,-2.4*,-1.4,-1,1.5
PMM0061,YGGT family integral membrane protein,15. Other categories,-1.7,-1.5,-2.0*,1,-1.1,1.3
PMM0065,ABC transporter ATP binding protein,14. Transport and binding proteins,2.3*,1.4,1.2,1.3,1.1,-1.2
PMM0066,conserved hypothetical protein,16. Hypothetical,3.8*,1.7,1.9,1.3,1.1,-1.5
PMM0075,conserved hypothetical protein,16. Hypothetical,2.6*,2.1*,2.8*,1.3,1.4,-1.4
PMM0079,bcp putative bacterioferritin comigratory,14. Transport and binding proteins,-2.3*,1.1,-1.4,-1.1,1.3,-1.1
PMM0081,cysH Phosphoadenosine phosphosulfate reductase,1. Amino acid biosynthesis,-2.1*,-1,-2.1*,-1.2,-1.2,-1.2
PMM0082,putative NADH dehydrogenase,10. Regulatory functions,2.6*,1.5,1.4,1.4,1.1,-1.2
PMM0087,conserved hypothetical protein,16. Hypothetical,-2.5*,-1.2,-1.8,-1.4,-1,1.1
PMM0092,conserved hypothetical protein,16. Hypothetical,2.5*,1.7,1.3,1.2,1,-1.4
PMM0110,putative glutathione S-transferase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",3.8*,1.8,2.1*,1.2,1.1,-1.5
PMM0115,crtQ zeta-carotene desaturase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",3.1*,1.7,1.6,1.3,1,-1.3
PMM0144,pds crtD phytoene desaturase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",7.2*,2.9*,3.9*,1.5,1,-1.7
PMM0190,conserved hypothetical protein,16. Hypothetical,2.3*,1.5,1.4,1.6,1,-1.3
PMM0195,pgk cbbK Phosphoglycerate kinase,15. Other categories,5.9*,4.7*,5.7*,2.9*,1.5,-2.2*
PMM0200,rnhA possible ribonuclease HI,12. Transcription,1.6,2.2*,1,1.2,-1.1,-1.5
PMM0215,Delta-aminolevulinic acid dehydratase,7. Fatty acid phospholipid and sterol metabolism,-3.1*,-1.3,-2.3*,-1.5,-1.1,1
PMM0223,psbA Photosystem II PsbA protein D1,8. Photosynthesis and respiration,2.3*,1.9,2.0*,1.6,1.5,1
PMM0226,ftsH2 cell division protein FtsH2,4. Cellular processes,4.1*,2.3*,2.7*,1.5,1.2,-1.4
PMM0227,cysD ATP-sulfurylase,1. Amino acid biosynthesis,-1.1,2.3*,-1.1,1.5,1,-1.8
PMM0236,crtR,16. Hypothetical,3.6*,1.6,1.4,1.7,1,-1.3
PMM0239,conserved hypothetical protein,16. Hypothetical,3.9*,1.1,-1.2,1.2,1.3,-1.1
PMM0245,cob(1)alamin adenosyltransferase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-1,-1.1,-2.0*,-1.2,-1.5,-1.2
PMM0252,psbN Photosystem II reaction centre N protein,8. Photosynthesis and respiration,4.9*,2.1*,2.8*,1.5,-1.2,-1.5
PMM0275,pyrE Orotate phosphoribosyltransferase,"9. Purines, pyrimidines, nucleosides, and nucleotides",-2.1*,-1.2,-2.0*,-1.2,-1.2,-1.1
PMM0280,Retinal pigment epithelial membrane protein,15. Other categories,7.9*,3.3*,5.3*,2.0*,1,-1.8
PMM0283,conserved hypothetical protein,16. Hypothetical,1.7,1.8,2.0*,1.2,1.4,-1.3
PMM0286,NUDIX hydrolase,15. Other categories,3.0*,2.1*,2.5*,1.1,1.1,-1.6
PMM0295,rub probable rubredoxin,15. Other categories,3.0*,2.3*,2.5*,1.3,1.2,-1.3
PMM0296,conserved hypothetical protein,16. Hypothetical,2.1*,1.9,2.1*,1.3,1.2,-1.3
PMM0305,среB Phycobilisome protein,8. Photosynthesis and respiration,-3.7*,-1.4,-2.5*,-1.4,-1.2,-1
PMM0307,hypothetical protein,16. Hypothetical,-4.1*,-1.2,-2.0*,-1.3,-1,-1.1
PMM0316,possible ferredoxin,8. Photosynthesis and respiration,12.4*,4.7*,6.6*,2.1*,1.1,-1.9
PMM0329,psaE Photosystem I PsaE protein,8. Photosynthesis and respiration,-3.7*,1.1,-1.9,-1.5,-1,-1.3
PMM0330,possible LysM domain,10. Regulatory functions,-2.4*,-1.2,-2.1*,-1.6,-1.1,-1.1
