seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
NZ_DS999537.1,accD,accD,P9202_RS08115,P9202_1,Protein Homology,1482927.0,1483808.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376347.1,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,WP_002805048.1,"GO:0006633,GO:0003989,GO:0009317",acetyl-CoA carboxylase complex|0009317||IEA,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA,P9202_1,1482927.0,1483808.0,-,CK_Pro_MIT9202_00001,accD,"GO:0006629,GO:0006633,GO:0000166,GO:0003989,GO:0016874,GO:0005737,GO:0009317",CK_00000978,"H,H.2","Fatty acid%2C phospholipid and sterol metabolism,Fatty acid metabolism","COG0777,bactNOG01149,cyaNOG00977","COG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism",6.4.1.2,acetyl-CoA carboxylase%3B HFA1 (gene name)%3B ACC1 (gene name)%3B acetyl coenzyme A carboxylase%3B acetyl-CoA:carbon-dioxide ligase (ADP-forming),"lipid metabolic process,fatty acid biosynthetic process,lipid metabolic process,fatty acid biosynthetic process,nucleotide binding,acetyl-CoA carboxylase activity,ligase activity,lipid metabolic process,fatty acid biosynthetic process,nucleotide binding,acetyl-CoA carboxylase activity,ligase activity,cytoplasm,acetyl-CoA carboxylase complex",acetyl-CoA carboxylase%2C carboxyl transferase beta subunit,"TIGR00515,PF01039,PS50980,IPR000438,IPR011762,IPR000022","acetyl-CoA carboxylase%2C carboxyl transferase%2C beta subunit,Carboxyl transferase domain,Acetyl-coenzyme A (CoA) carboxyltransferase N-terminal domain profile.,Acetyl-CoA carboxylase carboxyl transferase%2C beta subunit,Acetyl-coenzyme A carboxyltransferase%2C N-terminal,Description not found.",176,Fatty acid and phospholipid metabolism / Biosynthesis,,6.4.1.2
NZ_DS999537.1,acs,acs,P9202_RS07270,P9202_2,Protein Homology,1338471.0,1340453.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818123.1,acetate--CoA ligase,WP_002805049.1,"GO:0019427,GO:0003987,GO:0016208",,"acetate-CoA ligase activity|0003987||IEA,AMP binding|0016208||IEA",acetyl-CoA biosynthetic process from acetate|0019427||IEA,P9202_2,1338471.0,1340453.0,+,CK_Pro_MIT9202_00002,acs,"GO:0019427,GO:0003987,GO:0016208",CK_00000779,"G.4,G.6","Glycolysis/gluconeogenesis,Pyruvate and acetyl-CoA metabolism","COG0365,bactNOG00947,bactNOG59878,bactNOG00950,cyaNOG00058","COG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism",6.2.1.1,acetate---CoA ligase%3B acetyl-CoA synthetase%3B acetyl activating enzyme%3B acetate thiokinase%3B acyl-activating enzyme%3B acetyl coenzyme A synthetase%3B acetic thiokinase%3B acetyl CoA ligase%3B acetyl CoA synthase%3B acetyl-coenzyme A synthase%3B short chain fatty acyl-CoA synthetase%3B short-chain acyl-coenzyme A synthetase%3B ACS,"acetyl-CoA biosynthetic process from acetate,acetyl-CoA biosynthetic process from acetate,acetate-CoA ligase activity,AMP binding",acetate--CoA ligase,"TIGR02188,PF13193,PF00501,PS00455,IPR020845,IPR011904,IPR025110,IPR000873","acetate--CoA ligase,AMP-binding enzyme C-terminal domain,AMP-binding enzyme,Putative AMP-binding domain signature.,AMP-binding%2C conserved site,Acetate-CoA ligase,AMP-binding enzyme%2C C-terminal domain,AMP-dependent synthetase/ligase","116,118","Energy metabolism / Glycolysis/gluconeogenesis,Energy metabolism / Pyruvate dehydrogenase",,6.2.1.1
NZ_DS999537.1,P9202_RS04015,,P9202_RS04015,P9202_3,Protein Homology,752426.0,753517.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862052.1,peptidylprolyl isomerase,WP_033829870.1,"GO:0000413,GO:0003755",,peptidyl-prolyl cis-trans isomerase activity|0003755||IEA,protein peptidyl-prolyl isomerization|0000413||IEA,P9202_3,752426.0,753430.0,-,CK_Pro_MIT9202_00003,,"GO:0000413,GO:0006457,GO:0003755",CK_00000344,,,"COG0652,COG0419,bactNOG01204,cyaNOG01551","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",5.2.1.8,peptidylprolyl isomerase%3B PPIase%3B cyclophilin [misleading%2C see comments]%3B peptide bond isomerase%3B peptidyl-prolyl cis-trans isomerase,"protein peptidyl-prolyl isomerization,protein folding,protein peptidyl-prolyl isomerization,protein folding,peptidyl-prolyl cis-trans isomerase activity",cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD family protein,"PF00160,PS50072,IPR002130","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.,Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain",95,Protein fate / Protein folding and stabilization,,5.2.1.8
NZ_DS999537.1,P9202_RS10105,,P9202_RS10105,P9202_4,Protein Homology,1622391.0,1622561.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818447.1,hypothetical protein,WP_002805051.1,,,,,P9202_4,1622391.0,1622561.0,+,CK_Pro_MIT9202_00004,,,CK_00054285,,,,,,,,Conserved hypothetical protein,,,,,,
NZ_DS999537.1,coxB,coxB,P9202_RS06385,P9202_5,Protein Homology,1175265.0,1176068.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862468.1,cytochrome c oxidase subunit II,WP_002805052.1,"GO:0004129,GO:0016020",membrane|0016020||IEA,cytochrome-c oxidase activity|0004129||IEA,,P9202_5,1175265.0,1176068.0,-,CK_Pro_MIT9202_00005,ctaCI,"GO:0055114,GO:0004129",CK_00000614,"G.2,J.9","Electron transport,Respiratory terminal oxidases","COG1622,bactNOG00399,bactNOG06838,bactNOG10042,cyaNOG00648","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.9.3.1,cytochrome-c oxidase%3B cytochrome oxidase%3B cytochrome a3%3B cytochrome aa3%3B Warburg's respiratory enzyme%3B indophenol oxidase%3B indophenolase%3B complex IV (mitochondrial electron transport)%3B ferrocytochrome c oxidase%3B NADH cytochrome c oxidase,"oxidation-reduction process,oxidation-reduction process,cytochrome-c oxidase activity",cytochrome c oxidase subunit II,"TIGR02866,PF00116,PF02790,PS00078,PS50999,PS50857,IPR002429,IPR011759,IPR001505","cytochrome c oxidase%2C subunit II,Cytochrome C oxidase subunit II%2C periplasmic domain,Cytochrome C oxidase subunit II%2C transmembrane domain,CO II and nitrous oxide reductase dinuclear copper centers signature.,Cytochrome oxidase subunit II transmembrane region profile.,Cytochrome oxidase subunit II copper A binding domain profile.,Cytochrome c oxidase subunit II-like C-terminal,Cytochrome C oxidase subunit II%2C transmembrane domain,Copper centre Cu(A)",112,Energy metabolism / Electron transport,,7.1.1.9
NZ_DS999537.1,P9202_RS08625,,P9202_RS08625,P9202_6,Protein Homology,1572547.0,1572882.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805053.1,DUF3593 domain-containing protein,WP_002805053.1,,,,,P9202_6,1572547.0,1572882.0,-,CK_Pro_MIT9202_00006,,GO:0016021,CK_00000810,R.2,Conserved hypothetical proteins,"NOG13226,COG0477,COG1966,COG0531,bactNOG31414,cyaNOG03505","COG: POORLY CHARACTERIZED [S] Function unknown,COG: GEPR,COG: CELLULAR PROCESSES AND SIGNALING [T] Signal transduction mechanisms,COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,integral component of membrane,uncharacterized conserved membrane protein (DUF3593),"PF12159,IPR021995","Protein of unknown function (DUF3593),Protein of unknown function DUF3593",156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS02505,,P9202_RS02505,P9202_7,Protein Homology,452863.0,454560.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863558.1,NAD+ synthase,WP_002805055.1,"GO:0009435,GO:0003952,GO:0005524",,"NAD+ synthase (glutamine-hydrolyzing) activity|0003952||IEA,ATP binding|0005524||IEA",NAD biosynthetic process|0009435||IEA,P9202_7,452863.0,454560.0,+,CK_Pro_MIT9202_00007,nadE,"GO:0006974,GO:0034355,GO:0034628,GO:0009435,GO:0008795,GO:0003952,GO:0005524,GO:0016874",CK_00001114,B.6,Pyridine nucleotides (NAD%2C NADP),"COG0388,COG0171,bactNOG00598,cyaNOG00201","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",6.3.5.1,NAD+ synthase (glutamine-hydrolysing)%3B NAD synthetase (glutamine-hydrolysing)%3B nicotinamide adenine dinucleotide synthetase (glutamine)%3B desamidonicotinamide adenine dinucleotide amidotransferase%3B DPN synthetase,"cellular response to DNA damage stimulus,NAD salvage,'de novo' NAD biosynthetic process from aspartate,NAD biosynthetic process,cellular response to DNA damage stimulus,NAD salvage,'de novo' NAD biosynthetic process from aspartate,NAD biosynthetic process,NAD+ synthase activity,NAD+ synthase (glutamine-hydrolyzing) activity,ATP binding,ligase activity",NAD+ synthase (glutamine-hydrolysing),"TIGR00552,PF02540,PF00795,PS50263,IPR003010,IPR022310,IPR003694","NAD+ synthetase,NAD synthase,Carbon-nitrogen hydrolase,Carbon-nitrogen hydrolase domain profile.,Carbon-nitrogen hydrolase,NAD/GMP synthase,NAD(+) synthetase",163,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Pyridine nucleotides,,6.3.5.1
NZ_DS999537.1,P9202_RS01305,,P9202_RS01305,P9202_9,Protein Homology,226800.0,227855.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805060.1,MraY family glycosyltransferase,WP_002805060.1,"GO:0009252,GO:0016780,GO:0046872",,"phosphotransferase activity%2C for other substituted phosphate groups|0016780||IEA,metal ion binding|0046872||IEA",peptidoglycan biosynthetic process|0009252||IEA,P9202_9,226800.0,227855.0,+,CK_Pro_MIT9202_00009,rfe,"GO:0008963,GO:0016021",CK_00044017,C.2,Murein sacculus and peptidoglycan,"COG0472,bactNOG01716,cyaNOG00914","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.7.8.33,UDP-N-acetylglucosamine---undecaprenyl-phosphate N-acetylglucosaminephosphotransferase%3B UDP-N-acetylglucosamine:undecaprenyl-phosphate GlcNAc-1-phosphate transferase%3B WecA%3B WecA transferase%3B UDP-GIcNAc:undecaprenyl phosphate N-acetylglucosaminyl 1-P transferase%3B GlcNAc-P-P-Und synthase%3B GPT (ambiguous)%3B TagO%3B UDP-GlcNAc:undecaprenyl-phosphate GlcNAc-1-phosphate transferase%3B UDP-N-acetyl-D-glucosamine:ditrans%2Coctacis-undecaprenyl phosphate N-acetylglucosaminephosphotransferase,"phospho-N-acetylmuramoyl-pentapeptide-transferase activity,phospho-N-acetylmuramoyl-pentapeptide-transferase activity,integral component of membrane",UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N- acetylglucosamine-1-phosphate transferase,"PF00953,IPR000715","Glycosyl transferase family 4,Glycosyl transferase%2C family 4",89,Cell envelope / Biosynthesis and degradation of murein sacculus and peptidoglycan,,2.-.-.-
NZ_DS999537.1,P9202_RS08560,,P9202_RS08560,P9202_10,Protein Homology,1559729.0,1560244.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007677.1,nucleoside deaminase,WP_002805061.1,"GO:0009116,GO:0008270,GO:0019239",,"zinc ion binding|0008270||IEA,deaminase activity|0019239||IEA",nucleoside metabolic process|0009116||IEA,P9202_10,1559729.0,1560244.0,-,CK_Pro_MIT9202_00010,cumB,"GO:0008270,GO:0016787",CK_00000901,,,"COG0590,bactNOG29625,cyaNOG02826","COG: FJ,bactNOG: J,cyaNOG: J",,,"zinc ion binding,hydrolase activity",cytidine and deoxycytidylate deaminase zinc-binding region family protein,"PF00383,PS00903,IPR002125,IPR016192","Cytidine and deoxycytidylate deaminase zinc-binding region,Cytidine and deoxycytidylate deaminases zinc-binding region signature.,Cytidine and deoxycytidylate deaminase domain,APOBEC/CMP deaminase%2C zinc-binding",703,Unknown function / Enzymes of unknown specificity,,3.5.4.-
NZ_DS999537.1,P9202_RS05910,,P9202_RS05910,P9202_11,Protein Homology,1090350.0,1091519.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805062.1,glycosyltransferase,WP_225866442.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,P9202_11,1090335.0,1091519.0,+,CK_Pro_MIT9202_00011,,"GO:0016740,GO:0009274",CK_00001708,,,"COG1215,COG0463,bactNOG02806,bactNOG14499,bactNOG15870,cyaNOG00208","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.4.1.-,,"transferase activity,transferase activity,peptidoglycan-based cell wall",beta-glycosyltransferase%2C family 2,"PF13641,IPR001173","Glycosyltransferase like family 2,Glycosyltransferase 2-like",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,2.4.-.-
