locus_tag,island_id,product
P9303_01021,MIT9303_1_101915_167126,radical SAM superfamily protein
P9303_01031,MIT9303_1_101915_167126,"pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component subunit alpha"
P9303_01041,MIT9303_1_101915_167126,"pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component subunit beta"
P9303_01061,MIT9303_1_101915_167126,radical SAM superfamily protein
P9303_01071,MIT9303_1_101915_167126,"imidazole glycerol phosphate synthase, glutamineamidotransferase subunit"
P9303_01081,MIT9303_1_101915_167126,N-acetyl sugar amidotransferase family protein
P9303_01091,MIT9303_1_101915_167126,"UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing)"
P9303_01101,MIT9303_1_101915_167126,"N,N'-diacetyllegionaminate synthase"
P9303_01111,MIT9303_1_101915_167126,bacterial transferase hexapeptide family protein
P9303_01121,MIT9303_1_101915_167126,putative aminotransferase (DegT family)
P9303_01131,MIT9303_1_101915_167126,polysaccharide biosynthesis family protein
P9303_01141,MIT9303_1_101915_167126,short chain dehydrogenase family protein
P9303_01151,MIT9303_1_101915_167126,N-acylneuraminate cytidylyltransferase
P9303_01161,MIT9303_1_101915_167126,"oxidoreductase , NAD-binding Rossmann fold family protein"
P9303_01171,MIT9303_1_101915_167126,mobA-like NTP transferase domain protein
P9303_01181,MIT9303_1_101915_167126,"dTDP-glucose-4,6-dehydratase"
P9303_01191,MIT9303_1_101915_167126,conserved hypothetical protein
P9303_01201,MIT9303_1_101915_167126,conserved hypothetical protein
P9303_01211,MIT9303_1_101915_167126,conserved hypothetical protein
P9303_01221,MIT9303_1_101915_167126,hypothetical protein
P9303_01231,MIT9303_1_101915_167126,conserved hypothetical protein
P9303_01241,MIT9303_1_101915_167126,conserved hypothetical protein
P9303_01251,MIT9303_1_101915_167126,"serralysin-like metalloprotease, C-terminal domain-containing protein"
P9303_01261,MIT9303_1_101915_167126,"glycosyl transferase, family 1"
P9303_01271,MIT9303_1_101915_167126,"glycosyl transferase, family 4"
P9303_01281,MIT9303_1_101915_167126,conserved hypothetical protein distantly related to glycosyltransferases
P9303_01291,MIT9303_1_101915_167126,ABC multidrug efflux transporter
P9303_01301,MIT9303_1_101915_167126,"peptidyl-prolyl cis-trans isomerase, PpiC-type"
P9303_01311,MIT9303_1_101915_167126,hlyD secretion family protein
P9303_01331,MIT9303_1_101915_167126,glycosyl transferases group 1 family protein
P9303_01341,MIT9303_1_101915_167126,sulfotransferase
P9303_01361,MIT9303_1_101915_167126,"beta-glycosyltransferase, family 2"
P9303_01371,MIT9303_1_101915_167126,"ABC-type lipopolysaccharide transport system, ATPase component"
P9303_01381,MIT9303_1_101915_167126,"ABC-type lipopolysaccharide transport system, permease component"
P9303_01391,MIT9303_1_101915_167126,glucose-1-phosphate cytidylyltransferase
P9303_01401,MIT9303_1_101915_167126,"CDP-glucose 4,6-dehydratase"
P9303_01411,MIT9303_1_101915_167126,CDP-4-dehydro-6-deoxyglucose reductase
P9303_01421,MIT9303_1_101915_167126,dehydrogenases with different specificities
P9303_01431,MIT9303_1_101915_167126,3-dehydroquinate synthetase-like protein
P9303_01441,MIT9303_1_101915_167126,"acetolactate synthase, large subunit, biosynthetic type"
P9303_01451,MIT9303_1_101915_167126,hpcH/HpaI aldolase/citrate lyase family protein
P9303_01461,MIT9303_1_101915_167126,hypothetical protein
P9303_01471,MIT9303_1_101915_167126,"possible beta-glycosyltransferase, family 2"
P9303_01481,MIT9303_1_101915_167126,hypothetical protein
P9303_01491,MIT9303_1_101915_167126,"possible beta-glycosyltransferase, family 2"
P9303_RS13770,MIT9303_1_101915_167126,hypothetical protein
P9303_13421,MIT9303_1_1146398_1177320,conserved membrane protein
P9303_13431,MIT9303_1_1146398_1177320,"large-conductance mechanosensitive ion channel, MscL family"
P9303_13441,MIT9303_1_1146398_1177320,isochorismatase-like hydrolase superfamily
P9303_13451,MIT9303_1_1146398_1177320,"small-conductance mechanosensitive ion channel, MscS family"
P9303_13461,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13471,MIT9303_1_1146398_1177320,uncharacterized conserved membrane protein DUF2721
P9303_13481,MIT9303_1_1146398_1177320,calcineurin-like phosphoesterase family protein
P9303_13491,MIT9303_1_1146398_1177320,possible lyase class I-like protein superfamily
P9303_13501,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13511,MIT9303_1_1146398_1177320,NADH dehydrogenase subunit NdhF (chain 5 or L)
P9303_13521,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13541,MIT9303_1_1146398_1177320,copper resistance D family protein
P9303_13551,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13581,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13591,MIT9303_1_1146398_1177320,"possible Histidine kinase-, DNA gyrase B-, phy"
P9303_13611,MIT9303_1_1146398_1177320,histidine triad (HIT) family protein
P9303_13631,MIT9303_1_1146398_1177320,parB-like nuclease family protein
P9303_13661,MIT9303_1_1146398_1177320,Pyrimidine dimer DNA glycosylase
P9303_13671,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13691,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13701,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13711,MIT9303_1_1146398_1177320,hypothetical protein
P9303_13721,MIT9303_1_1146398_1177320,"lantipeptide precursor, Nif11-like leader peptide domain protein"
P9303_13751,MIT9303_1_1146398_1177320,hypothetical protein
P9303_13761,MIT9303_1_1146398_1177320,hypothetical protein
P9303_13771,MIT9303_1_1146398_1177320,hypothetical protein
P9303_13781,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_13791,MIT9303_1_1146398_1177320,conserved hypothetical protein
P9303_RS14220,MIT9303_1_1146398_1177320,hypothetical protein
P9303_RS14585,MIT9303_1_1146398_1177320,hypothetical protein
P9303_RS14590,MIT9303_1_1146398_1177320,hypothetical protein
P9303_16971,MIT9303_1_1484464_1508434,"ABC-type glycine betaine/proline transporter, substrate binding component"
P9303_16981,MIT9303_1_1484464_1508434,"ABC-type glycine betaine/proline transporter, membrane component"
P9303_16991,MIT9303_1_1484464_1508434,"ABC-type proline/glycine betaine transport system, ATPase component"
P9303_17011,MIT9303_1_1484464_1508434,glycine/sarcosine N-methyltransferase
P9303_17021,MIT9303_1_1484464_1508434,dimethylglycine N-methyltransferase
P9303_17041,MIT9303_1_1484464_1508434,conserved hypothetical protein
P9303_17051,MIT9303_1_1484464_1508434,Uncharacterized conserved membrane protein
P9303_17061,MIT9303_1_1484464_1508434,Conserved hypothetical protein
P9303_17071,MIT9303_1_1484464_1508434,short-chain dehydrogenase/reductase family
P9303_17091,MIT9303_1_1484464_1508434,conserved hypothetical protein
P9303_17101,MIT9303_1_1484464_1508434,uncharacterized TonB box-containing membrane protein
P9303_17121,MIT9303_1_1484464_1508434,conserved hypothetical protein (DUF4278)
P9303_17131,MIT9303_1_1484464_1508434,conserved hypothetical protein
P9303_17141,MIT9303_1_1484464_1508434,hypothetical protein
P9303_17161,MIT9303_1_1484464_1508434,conserved hypothetical protein
P9303_17181,MIT9303_1_1484464_1508434,"beta-glycosyltransferase, family 2"
P9303_17191,MIT9303_1_1484464_1508434,"putative Na+/H+ antiporter, CPA1 family"
