locus_tag,island_id,product,resolved_locus_tag,resolution_method
SOI86_RS04495,MIT1314_1_778427_790691,DUF3086 domain-containing protein,SOI86_RS04495,locus_tag:locus_tag
SOI86_RS04500,MIT1314_1_778427_790691,glycerol-3-phosphate 1-O-acyltransferase PlsY,SOI86_RS04500,locus_tag:locus_tag
SOI86_RS04505,MIT1314_1_778427_790691,orotidine-5'-phosphate decarboxylase,SOI86_RS04505,locus_tag:locus_tag
SOI86_RS04510,MIT1314_1_778427_790691,tyrosine--tRNA ligase,SOI86_RS04510,locus_tag:locus_tag
SOI86_RS04515,MIT1314_1_778427_790691,DUF1825 family protein,SOI86_RS04515,locus_tag:locus_tag
SOI86_RS04520,MIT1314_1_778427_790691,hypothetical protein,SOI86_RS04520,locus_tag:locus_tag
SOI86_RS04525,MIT1314_1_778427_790691,leucyl aminopeptidase,SOI86_RS04525,locus_tag:locus_tag
SOI86_RS04530,MIT1314_1_778427_790691,peptide-methionine (S)-S-oxide reductase MsrA,SOI86_RS04530,locus_tag:locus_tag
SOI86_RS04535,MIT1314_1_778427_790691,lipid-A-disaccharide synthase,SOI86_RS04535,locus_tag:locus_tag
SOI86_RS04540,MIT1314_1_778427_790691,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,SOI86_RS04540,locus_tag:locus_tag
SOI86_RS04545,MIT1314_1_778427_790691,3-hydroxyacyl-ACP dehydratase FabZ,SOI86_RS04545,locus_tag:locus_tag
SOI86_RS04550,MIT1314_1_778427_790691,UDP-3-O-acyl-N-acetylglucosamine deacetylase,SOI86_RS04550,locus_tag:locus_tag
SOI86_RS05175,MIT1314_1_878487_897272,NAD+ synthase,SOI86_RS05175,locus_tag:locus_tag
SOI86_RS05180,MIT1314_1_878487_897272,DUF3326 domain-containing protein,SOI86_RS05180,locus_tag:locus_tag
SOI86_RS05185,MIT1314_1_878487_897272,hypothetical protein,SOI86_RS05185,locus_tag:locus_tag
SOI86_RS05190,MIT1314_1_878487_897272,2Fe-2S iron-sulfur cluster-binding protein,SOI86_RS05190,locus_tag:locus_tag
SOI86_RS05195,MIT1314_1_878487_897272,F0F1 ATP synthase subunit gamma,SOI86_RS05195,locus_tag:locus_tag
SOI86_RS05200,MIT1314_1_878487_897272,F0F1 ATP synthase subunit alpha,SOI86_RS05200,locus_tag:locus_tag
SOI86_RS05205,MIT1314_1_878487_897272,ATP synthase F1 subunit delta,SOI86_RS05205,locus_tag:locus_tag
SOI86_RS05210,MIT1314_1_878487_897272,F0F1 ATP synthase subunit B,SOI86_RS05210,locus_tag:locus_tag
SOI86_RS05215,MIT1314_1_878487_897272,F0F1 ATP synthase subunit B',SOI86_RS05215,locus_tag:locus_tag
SOI86_RS05220,MIT1314_1_878487_897272,ATP synthase F0 subunit C,SOI86_RS05220,locus_tag:locus_tag
SOI86_RS05225,MIT1314_1_878487_897272,F0F1 ATP synthase subunit A,SOI86_RS05225,locus_tag:locus_tag
SOI86_RS05230,MIT1314_1_878487_897272,hypothetical protein,SOI86_RS05230,locus_tag:locus_tag
SOI86_RS05235,MIT1314_1_878487_897272,putative peptidoglycan glycosyltransferase FtsW,SOI86_RS05235,locus_tag:locus_tag
SOI86_RS05240,MIT1314_1_878487_897272,cytochrome c biogenesis CcdA family protein,SOI86_RS05240,locus_tag:locus_tag
SOI86_RS05245,MIT1314_1_878487_897272,cytochrome c biogenesis protein ResB,SOI86_RS05245,locus_tag:locus_tag
SOI86_RS05250,MIT1314_1_878487_897272,preQ(1) synthase,SOI86_RS05250,locus_tag:locus_tag
SOI86_RS05255,MIT1314_1_878487_897272,hypothetical protein,SOI86_RS05255,locus_tag:locus_tag
SOI86_RS05260,MIT1314_1_878487_897272,P-II family nitrogen regulator,SOI86_RS05260,locus_tag:locus_tag
SOI86_RS05265,MIT1314_1_878487_897272,TlyA family RNA methyltransferase,SOI86_RS05265,locus_tag:locus_tag
SOI86_RS05270,MIT1314_1_878487_897272,adenylosuccinate lyase,SOI86_RS05270,locus_tag:locus_tag
SOI86_RS05275,MIT1314_1_878487_897272,class II fumarate hydratase,SOI86_RS05275,locus_tag:locus_tag
SOI86_RS02000,MIT1314_1_342965_389049,TMEM165/GDT1 family protein,SOI86_RS02000,locus_tag:locus_tag
SOI86_RS02005,MIT1314_1_342965_389049,TMEM165/GDT1 family protein,SOI86_RS02005,locus_tag:locus_tag
SOI86_RS02010,MIT1314_1_342965_389049,S1 RNA-binding domain-containing protein,SOI86_RS02010,locus_tag:locus_tag
SOI86_RS02015,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02015,locus_tag:locus_tag
SOI86_RS02020,MIT1314_1_342965_389049,DUF2996 domain-containing protein,SOI86_RS02020,locus_tag:locus_tag
SOI86_RS02025,MIT1314_1_342965_389049,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,SOI86_RS02025,locus_tag:locus_tag
SOI86_RS02030,MIT1314_1_342965_389049,TldD/PmbA family protein,SOI86_RS02030,locus_tag:locus_tag
SOI86_RS02035,MIT1314_1_342965_389049,TldD/PmbA family protein,SOI86_RS02035,locus_tag:locus_tag
SOI86_RS02040,MIT1314_1_342965_389049,methionyl-tRNA formyltransferase,SOI86_RS02040,locus_tag:locus_tag
SOI86_RS02045,MIT1314_1_342965_389049,TerC family protein,SOI86_RS02045,locus_tag:locus_tag
SOI86_RS02050,MIT1314_1_342965_389049,transcription-repair coupling factor,SOI86_RS02050,locus_tag:locus_tag
SOI86_RS02055,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02055,locus_tag:locus_tag
SOI86_RS02060,MIT1314_1_342965_389049,DUF4335 domain-containing protein,SOI86_RS02060,locus_tag:locus_tag
SOI86_RS02065,MIT1314_1_342965_389049,DUF3038 domain-containing protein,SOI86_RS02065,locus_tag:locus_tag
SOI86_RS02070,MIT1314_1_342965_389049,DUF2949 domain-containing protein,SOI86_RS02070,locus_tag:locus_tag
SOI86_RS02075,MIT1314_1_342965_389049,FAD-dependent monooxygenase,SOI86_RS02075,locus_tag:locus_tag
SOI86_RS02080,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02080,locus_tag:locus_tag
SOI86_RS02085,MIT1314_1_342965_389049,4-hydroxy-tetrahydrodipicolinate reductase,SOI86_RS02085,locus_tag:locus_tag
SOI86_RS02090,MIT1314_1_342965_389049,magnesium chelatase subunit H,SOI86_RS02090,locus_tag:locus_tag
SOI86_RS02095,MIT1314_1_342965_389049,dihydropteroate synthase,SOI86_RS02095,locus_tag:locus_tag
SOI86_RS02100,MIT1314_1_342965_389049,triose-phosphate isomerase,SOI86_RS02100,locus_tag:locus_tag
SOI86_RS02105,MIT1314_1_342965_389049,RNA-binding S4 domain-containing protein,SOI86_RS02105,locus_tag:locus_tag
SOI86_RS02110,MIT1314_1_342965_389049,ABC transporter ATP-binding protein,SOI86_RS02110,locus_tag:locus_tag
SOI86_RS02115,MIT1314_1_342965_389049,DUF6447 family protein,SOI86_RS02115,locus_tag:locus_tag
SOI86_RS02120,MIT1314_1_342965_389049,carbamoyl-phosphate synthase large subunit,SOI86_RS02120,locus_tag:locus_tag
SOI86_RS02125,MIT1314_1_342965_389049,DUF3318 domain-containing protein,SOI86_RS02125,locus_tag:locus_tag
SOI86_RS02130,MIT1314_1_342965_389049,ribosome silencing factor,SOI86_RS02130,locus_tag:locus_tag
SOI86_RS02135,MIT1314_1_342965_389049,CGLD27 family protein,SOI86_RS02135,locus_tag:locus_tag
SOI86_RS02140,MIT1314_1_342965_389049,asparaginase,SOI86_RS02140,locus_tag:locus_tag
SOI86_RS02150,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02150,locus_tag:locus_tag
SOI86_RS02155,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02155,locus_tag:locus_tag
SOI86_RS02160,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02160,locus_tag:locus_tag
SOI86_RS02165,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02165,locus_tag:locus_tag
SOI86_RS02170,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02170,locus_tag:locus_tag
SOI86_RS02175,MIT1314_1_342965_389049,MarR family transcriptional regulator,SOI86_RS02175,locus_tag:locus_tag
SOI86_RS02180,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02180,locus_tag:locus_tag
SOI86_RS02185,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02185,locus_tag:locus_tag
SOI86_RS02190,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02190,locus_tag:locus_tag
SOI86_RS02195,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02195,locus_tag:locus_tag
SOI86_RS02200,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02200,locus_tag:locus_tag
SOI86_RS02205,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02205,locus_tag:locus_tag
SOI86_RS02210,MIT1314_1_342965_389049,cytochrome b6f subunit family protein,SOI86_RS02210,locus_tag:locus_tag
SOI86_RS02215,MIT1314_1_342965_389049,ABC transporter ATP-binding protein,SOI86_RS02215,locus_tag:locus_tag
SOI86_RS02220,MIT1314_1_342965_389049,ABC transporter permease,SOI86_RS02220,locus_tag:locus_tag
SOI86_RS02225,MIT1314_1_342965_389049,ABC transporter permease,SOI86_RS02225,locus_tag:locus_tag
SOI86_RS02230,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02230,locus_tag:locus_tag
SOI86_RS02235,MIT1314_1_342965_389049,sulfite exporter TauE/SafE family protein,SOI86_RS02235,locus_tag:locus_tag
SOI86_RS02240,MIT1314_1_342965_389049,HNH endonuclease,SOI86_RS02240,locus_tag:locus_tag
SOI86_RS02245,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02245,locus_tag:locus_tag
SOI86_RS02250,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02250,locus_tag:locus_tag
SOI86_RS02255,MIT1314_1_342965_389049,hypothetical protein,SOI86_RS02255,locus_tag:locus_tag
SOI86_RS02260,MIT1314_1_342965_389049,josephin,SOI86_RS02260,locus_tag:locus_tag
