locus_tag,island_id,product,resolved_locus_tag,resolution_method
PMT9312_0311,MIT9312_1_296183_300541,conserved hypothetical protein,PMT9312_0311,locus_tag:locus_tag
PMT9312_0312,MIT9312_1_296183_300541,conserved hypothetical protein,PMT9312_0312,locus_tag:locus_tag
PMT9312_0313,MIT9312_1_296183_300541,putative sxtK,PMT9312_0313,locus_tag:locus_tag
PMT9312_0314,MIT9312_1_296183_300541,putative membrane protein,PMT9312_0314,locus_tag:locus_tag
PMT9312_0315,MIT9312_1_296183_300541,carbamoyltransferase family protein,PMT9312_0315,locus_tag:locus_tag
PMT9312_1128,MIT9312_1_1042895_1147105,photosystem II PsbY protein,PMT9312_1128,locus_tag:locus_tag
PMT9312_1129,MIT9312_1_1042895_1147105,high light inducible protein,PMT9312_1129,locus_tag:locus_tag
PMT9312_1130,MIT9312_1_1042895_1147105,outer membrane porin,PMT9312_1130,locus_tag:locus_tag
PMT9312_1131,MIT9312_1_1042895_1147105,outer membrane porin,PMT9312_1131,locus_tag:locus_tag
PMT9312_1132,MIT9312_1_1042895_1147105,putative membrane protein,PMT9312_1132,locus_tag:locus_tag
PMT9312_1133,MIT9312_1_1042895_1147105,adenine phosphoribosyltransferase,PMT9312_1133,locus_tag:locus_tag
PMT9312_1134,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1134,locus_tag:locus_tag
PMT9312_1135,MIT9312_1_1042895_1147105,"uncharacterized conserved secreted protein, PM-13 family",PMT9312_1135,locus_tag:locus_tag
PMT9312_1136,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1136,locus_tag:locus_tag
PMT9312_1137,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1137,locus_tag:locus_tag
PMT9312_1138,MIT9312_1_1042895_1147105,DnaJ type III chaperone protein,PMT9312_1138,locus_tag:locus_tag
PMT9312_1139,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1139,locus_tag:locus_tag
PMT9312_1140,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1140,locus_tag:locus_tag
PMT9312_1141,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1141,locus_tag:locus_tag
PMT9312_1142,MIT9312_1_1042895_1147105,possible Hantavirus glycoprotein G1,PMT9312_1142,locus_tag:locus_tag
PMT9312_1143,MIT9312_1_1042895_1147105,high light inducible protein,PMT9312_1143,locus_tag:locus_tag
PMT9312_1144,MIT9312_1_1042895_1147105,photosystem II protein D1.1,PMT9312_1144,locus_tag:locus_tag
PMT9312_1145,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1145,locus_tag:locus_tag
PMT9312_1146,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1146,locus_tag:locus_tag
PMT9312_1147,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1147,locus_tag:locus_tag
PMT9312_1148,MIT9312_1_1042895_1147105,"transcriptional regulator, MarR family",PMT9312_1148,locus_tag:locus_tag
PMT9312_1149,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1149,locus_tag:locus_tag
PMT9312_1150,MIT9312_1_1042895_1147105,Uncharacterized conserved protein containing SWIM-like Zn-finger,PMT9312_1150,locus_tag:locus_tag
PMT9312_1151,MIT9312_1_1042895_1147105,retron-type reverse transcriptase,PMT9312_1151,locus_tag:locus_tag
PMT9312_1152,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1152,locus_tag:locus_tag
PMT9312_1153,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1153,locus_tag:locus_tag
PMT9312_1154,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1154,locus_tag:locus_tag
PMT9312_1155,MIT9312_1_1042895_1147105,ATP-dependent DNA ligase,PMT9312_1155,locus_tag:locus_tag
PMT9312_1156,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1156,locus_tag:locus_tag
PMT9312_1157,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1157,locus_tag:locus_tag
PMT9312_1158,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1158,locus_tag:locus_tag
PMT9312_1159,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1159,locus_tag:locus_tag
PMT9312_1160,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1160,locus_tag:locus_tag
PMT9312_1161,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1161,locus_tag:locus_tag
PMT9312_1162,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1162,locus_tag:locus_tag
PMT9312_1163,MIT9312_1_1042895_1147105,conserved hypothetical protein,PMT9312_1163,locus_tag:locus_tag
PMT9312_1164,MIT9312_1_1042895_1147105,sulfotransferase family protein,PMT9312_1164,locus_tag:locus_tag
