locus_tag,island_id,product,resolved_locus_tag,resolution_method
NATL1_00361,NATL1A_1_37038_52700,hypothetical protein,NATL1_00361,locus_tag:locus_tag
NATL1_00371,NATL1A_1_37038_52700,Putative Type II cytosine-5 DNA methyltransferase,NATL1_00371,locus_tag:locus_tag
NATL1_00381,NATL1A_1_37038_52700,"Putative Type II Restriction endonuclease, LlaMI family",NATL1_00381,locus_tag:locus_tag
NATL1_00391,NATL1A_1_37038_52700,Putative glutathione S-transferase,NATL1_00391,locus_tag:locus_tag
NATL1_00401,NATL1A_1_37038_52700,conserved hypothetical protein,NATL1_00401,locus_tag:locus_tag
NATL1_00411,NATL1A_1_37038_52700,conserved hypothetical protein,NATL1_00411,locus_tag:locus_tag
NATL1_00421,NATL1A_1_37038_52700,TPR repeat-containing protein,NATL1_00421,locus_tag:locus_tag
NATL1_00431,NATL1A_1_37038_52700,TPR repeat-containing protein,NATL1_00431,locus_tag:locus_tag
NATL1_00441,NATL1A_1_37038_52700,methyltransferase domain protein,NATL1_00441,locus_tag:locus_tag
NATL1_00461,NATL1A_1_37038_52700,conserved hypothetical protein,NATL1_00461,locus_tag:locus_tag
NATL1_00471,NATL1A_1_37038_52700,ion transport family protein,NATL1_00471,locus_tag:locus_tag
NATL1_00481,NATL1A_1_37038_52700,conserved hypothetical protein,NATL1_00481,locus_tag:locus_tag
NATL1_00491,NATL1A_1_37038_52700,conserved hypothetical protein,NATL1_00491,locus_tag:locus_tag
NATL1_16131,NATL1A_1_1319009_1349983,2Fe-2S ferredoxin,NATL1_16131,locus_tag:locus_tag
NATL1_16141,NATL1A_1_1319009_1349983,conserved hypothetical protein,NATL1_16141,locus_tag:locus_tag
NATL1_16151,NATL1A_1_1319009_1349983,hypothetical protein,NATL1_16151,locus_tag:locus_tag
NATL1_16161,NATL1A_1_1319009_1349983,ribbon-helix-helix domain-containing protein,NATL1_16161,locus_tag:locus_tag
NATL1_16171,NATL1A_1_1319009_1349983,S-adenosyl-L-methionine-dependent methyltransferase,NATL1_16171,locus_tag:locus_tag
NATL1_16181,NATL1A_1_1319009_1349983,iron deficiency-induced protein A,NATL1_16181,locus_tag:locus_tag
NATL1_16191,NATL1A_1_1319009_1349983,iron-uptake factor PiuC,NATL1_16191,locus_tag:locus_tag
NATL1_16201,NATL1A_1_1319009_1349983,possible peptidase,NATL1_16201,locus_tag:locus_tag
NATL1_16211,NATL1A_1_1319009_1349983,outer membrane porin,NATL1_16211,locus_tag:locus_tag
NATL1_16221,NATL1A_1_1319009_1349983,"glycine--tRNA ligase, alpha subunit",NATL1_16221,locus_tag:locus_tag
NATL1_16231,NATL1A_1_1319009_1349983,2OG-Fe(II) oxygenase family protein,NATL1_16231,locus_tag:locus_tag
NATL1_16241,NATL1A_1_1319009_1349983,2OG-Fe(II) oxygenase family protein,NATL1_16241,locus_tag:locus_tag
