locus_tag,island_id,product
P9301_03621,MIT9301_1_332581_355167,uncharacterized conserved glutamine-rich protein
P9301_03631,MIT9301_1_332581_355167,uncharacterized conserved membrane protein
P9301_03641,MIT9301_1_332581_355167,plastoquinol terminal oxidase
P9301_03651,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03661,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03671,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03681,MIT9301_1_332581_355167,conserved hypothetical protein CHP03894
P9301_03691,MIT9301_1_332581_355167,Conserved hypothetical protein
P9301_03701,MIT9301_1_332581_355167,carotenoid isomerase protein family
P9301_03721,MIT9301_1_332581_355167,uncharacterized conserved membrane protein
P9301_03731,MIT9301_1_332581_355167,nif11-like leader peptide domain protein
P9301_03741,MIT9301_1_332581_355167,"helper component proteinase, Prochlorococcus-specific"
P9301_03751,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03761,MIT9301_1_332581_355167,"twin arginine-targeting translocase, TatA/E family protein"
P9301_03781,MIT9301_1_332581_355167,putative lipoprotein
P9301_03801,MIT9301_1_332581_355167,2-Cys peroxiredoxin
P9301_03811,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03821,MIT9301_1_332581_355167,uncharacterized conserved membrane protein
P9301_03831,MIT9301_1_332581_355167,conserved hypothetical protein family PM-17
P9301_03841,MIT9301_1_332581_355167,RF-1 domain protein
P9301_03851,MIT9301_1_332581_355167,conserved hypothetical protein (DUF1651)
P9301_03871,MIT9301_1_332581_355167,CAAX amino terminal protease
P9301_03881,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03901,MIT9301_1_332581_355167,proline iminopeptidase
P9301_03911,MIT9301_1_332581_355167,Conserved hypothetical protein
P9301_03921,MIT9301_1_332581_355167,possible cryptochrome
P9301_03931,MIT9301_1_332581_355167,thiaminase II
P9301_03941,MIT9301_1_332581_355167,bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase
P9301_03951,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03961,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_03971,MIT9301_1_332581_355167,conserved hypothetical protein DUF985
P9301_03981,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_04001,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_04011,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_04021,MIT9301_1_332581_355167,conserved hypothetical protein (DUF3764)
P9301_04031,MIT9301_1_332581_355167,conserved hypothetical protein
P9301_04041,MIT9301_1_332581_355167,Conserved hypothetical protein
P9301_04051,MIT9301_1_332581_355167,Conserved hypothetical protein
P9301_04061,MIT9301_1_332581_355167,Conserved hypothetical protein
P9301_14001,MIT9301_1_1168305_1216530,UDP-glucuronate decarboxylase
P9301_14011,MIT9301_1_1168305_1216530,haloacid dehalogenase-like hydrolase family protein
P9301_14021,MIT9301_1_1168305_1216530,HPCH/HPAI aldolase family protein
P9301_14031,MIT9301_1_1168305_1216530,3-deoxy-D-manno-octulosonate cytidylyltransferase
P9301_14041,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14051,MIT9301_1_1168305_1216530,mobA-like NTP transferase domain protein
P9301_14071,MIT9301_1_1168305_1216530,"UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing)"
P9301_14081,MIT9301_1_1168305_1216530,"N,N'-diacetyllegionaminate synthase"
P9301_14091,MIT9301_1_1168305_1216530,bacterial transferase hexapeptide family protein
P9301_14101,MIT9301_1_1168305_1216530,putative aminotransferase (DegT family)
P9301_14111,MIT9301_1_1168305_1216530,polysaccharide biosynthesis family protein
P9301_14121,MIT9301_1_1168305_1216530,short chain dehydrogenase family protein
P9301_14131,MIT9301_1_1168305_1216530,N-acylneuraminate cytidylyltransferase
P9301_14141,MIT9301_1_1168305_1216530,"oxidoreductase , NAD-binding Rossmann fold family protein"
P9301_14151,MIT9301_1_1168305_1216530,UDP-glucose 4-epimerase GalE
P9301_14161,MIT9301_1_1168305_1216530,"possible beta-glycosyltransferase, family 2"
P9301_14171,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14181,MIT9301_1_1168305_1216530,conserved hypothetical protein
P9301_14191,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14201,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14211,MIT9301_1_1168305_1216530,N-acylneuraminate cytidylyltransferase
P9301_14221,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14231,MIT9301_1_1168305_1216530,"ABC transporter type 1, ATPase component"
P9301_14241,MIT9301_1_1168305_1216530,UDP-glucose 4-epimerase
P9301_14251,MIT9301_1_1168305_1216530,possible alpha-galactosyltransferase
P9301_14261,MIT9301_1_1168305_1216530,NAD dependent epimerase/dehydratase family protein
P9301_14271,MIT9301_1_1168305_1216530,glycosyl transferase 4 family protein
P9301_14281,MIT9301_1_1168305_1216530,polysaccharide biosynthesis family protein
P9301_14291,MIT9301_1_1168305_1216530,"imidazole glycerol phosphate synthase, glutamineamidotransferase subunit"
P9301_14301,MIT9301_1_1168305_1216530,"imidazole glycerol phosphate synthase, glutamineamidotransferase subunit"
P9301_14311,MIT9301_1_1168305_1216530,N-acetyl sugar amidotransferase family protein
P9301_14321,MIT9301_1_1168305_1216530,dolichyl-phosphate-mannose-mannosyltransferase family protein
P9301_14331,MIT9301_1_1168305_1216530,mannose-1-phosphate guanylyltransferase
P9301_14341,MIT9301_1_1168305_1216530,conserved hypothetical protein
P9301_14351,MIT9301_1_1168305_1216530,polysaccharide deacetylase family protein
P9301_14361,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14371,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14381,MIT9301_1_1168305_1216530,hypothetical protein
P9301_14391,MIT9301_1_1168305_1216530,short chain dehydrogenase family protein
P9301_14401,MIT9301_1_1168305_1216530,radical SAM superfamily
P9301_14411,MIT9301_1_1168305_1216530,adenine phosphoribosyltransferase
P9301_14421,MIT9301_1_1168305_1216530,adenosylhomocysteine nucleosidase
P9301_14431,MIT9301_1_1168305_1216530,methyltransferase domain-containing protein
P9301_14441,MIT9301_1_1168305_1216530,"GDP-mannose 4,6-dehydratase"
P9301_14451,MIT9301_1_1168305_1216530,GDP-L-fucose synthase
P9301_15431,MIT9301_1_1308987_1353058,3-oxo-5-alpha-steroid 4-dehydrogenase C-terminal domain-containing protein
P9301_15441,MIT9301_1_1308987_1353058,pyridoxamine 5'-phosphate oxidase
P9301_15461,MIT9301_1_1308987_1353058,"uncharacterized conserved membrane protein, DoxX family"
P9301_15471,MIT9301_1_1308987_1353058,FAD binding domain of DNA photolyase
P9301_15481,MIT9301_1_1308987_1353058,NAD-dependent DNA ligase N-terminal adenylation domain
P9301_15491,MIT9301_1_1308987_1353058,short-chain dehydrogenase/reductase (SDR) superfamily
P9301_15501,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15511,MIT9301_1_1308987_1353058,UDP-N-acetylmuramoylalanine--D-glutamate ligase
P9301_15521,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15531,MIT9301_1_1308987_1353058,pirin-like protein
P9301_15541,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15551,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15561,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15571,MIT9301_1_1308987_1353058,GAF domain-containing protein
P9301_15581,MIT9301_1_1308987_1353058,"flavoprotein, HI0933 family"
P9301_15591,MIT9301_1_1308987_1353058,uncharacterized conserved membrane protein
P9301_15601,MIT9301_1_1308987_1353058,drug/metabolite transporter (DMT) superfamily efflux protein
P9301_15621,MIT9301_1_1308987_1353058,uncharacterized conserved membrane protein PM-23
P9301_15631,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15641,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15651,MIT9301_1_1308987_1353058,uncharacterized conserved membrane protein
P9301_15661,MIT9301_1_1308987_1353058,uncharacterized conserved membrane protein
P9301_15671,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15681,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15691,MIT9301_1_1308987_1353058,conserved hypothetical protein
P9301_15701,MIT9301_1_1308987_1353058,possible M protein repeat
P9301_15711,MIT9301_1_1308987_1353058,conserved hypothetical protein
