alt_id,locus_tag,source_col,source_csv,paper
NATL1_00461,NATL1_00461,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00461,NATL1_00461,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00521,NATL1_00521,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00521,NATL1_00521,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00901,NATL1_00901,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00901,NATL1_00901,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00911,NATL1_00911,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00911,NATL1_00911,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00991,NATL1_00991,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_00991,NATL1_00991,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01031,NATL1_01031,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01031,NATL1_01031,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01091,NATL1_01091,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01091,NATL1_01091,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01431,NATL1_01431,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01431,NATL1_01431,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01541,NATL1_01541,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_01541,NATL1_01541,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_02111,NATL1_02111,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_02111,NATL1_02111,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_02921,NATL1_02921,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
dnaJ2,NATL1_02921,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_02971,NATL1_02971,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_02971,NATL1_02971,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_03401,NATL1_03401,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
sfsA,NATL1_03401,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_03491,NATL1_03491,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
cobS,NATL1_03491,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04381,NATL1_04381,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
aroQ,NATL1_04381,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04391,NATL1_04391,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
miaE,NATL1_04391,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04471,NATL1_04471,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04471,NATL1_04471,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04481,NATL1_04481,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
proC,NATL1_04481,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04491,NATL1_04491,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_04491,NATL1_04491,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
cyoA,NATL1_05001,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_05011,NATL1_05011,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
ctaA,NATL1_05011,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_05531,NATL1_05531,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_05531,NATL1_05531,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_05681,NATL1_05681,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_05681,NATL1_05681,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06001,NATL1_06001,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06001,NATL1_06001,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06171,NATL1_06171,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06171,NATL1_06171,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06431,NATL1_06431,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06431,NATL1_06431,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06461,NATL1_06461,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
proA,NATL1_06461,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_06981,NATL1_06981,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
mscS,NATL1_06981,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_07911,NATL1_07911,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_07911,NATL1_07911,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_07981,NATL1_07981,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
typA,NATL1_07981,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08021,NATL1_08021,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08021,NATL1_08021,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08371,NATL1_08371,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08371,NATL1_08371,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08591,NATL1_08591,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08591,NATL1_08591,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08641,NATL1_08641,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
wecC,NATL1_08641,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08671,NATL1_08671,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08671,NATL1_08671,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08711,NATL1_08711,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08711,NATL1_08711,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
wza,NATL1_08781,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08811,NATL1_08811,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_08811,NATL1_08811,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_09171,NATL1_09171,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_09171,NATL1_09171,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_09701,NATL1_09701,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_09701,NATL1_09701,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_10131,NATL1_10131,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
rpsR,NATL1_10131,Gene Name,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
NATL1_11091,NATL1_11091,locus_tag,table s1 Highly differentially expressed genes in low salinity acclimated cells of NATL1A _with_locus_tag.csv,He 2022
