Supplementary Table S1 Up-regulated transcripts in co-cultivated S. elongateus cscB+ compared with under axenic condition,,,
Gene ID,Description/Gene name,Pathway,log2FoldChange
M744_03840,unknown function,,2.52
M744_07860,unknown function,,2.03
M744_07970,unknown function,,1.52
M744_09210,unknown function,,1.5
M744_04090,unknown function,,1.4
M744_00185,unknown function,,1.45
M744_04765,unknown function,,1.39
M744_02825,unknown function,,1.29
M744_01065,unknown function,,1.27
M744_11185,unknown function,,1.19
M744_07700,unknown function,,1.1
M744_10690,unknown function,,1.1
M744_11295,unknown function,,1.98
M744_13015,unknown function,,1.5
M744_13880,unknown function,,1.47
M744_11400,unknown function,,1.4
M744_10945,unknown function,,1.37
M744_02255,unknown function,,1.52
M744_12705,unknown function,,1.42
M744_10925,unknown function,,1.3
M744_04480,unknown function,,1.25
M744_03870,unknown function,,1.24
M744_07370,unknown function,,1.16
M744_07725,unknown function,,1.09
M744_09975,unknown function,,1.08
M744_06420,unknown function,,1.9
M744_08065,unknown function,,1.8
M744_06155,"photosystem I P700 chlorophyll a apoprotein A2, PsaB",Photosynthesis,1.66
M744_00275,"photosystem I subunit VII, PsaC",Photosynthesis,1.06
M744_10010,"photosystem I subunit IV, PsaE",Photosynthesis,1.28
M744_10385,"photosystem I reaction center subunit III, PsaF",Photosynthesis,1.1
M744_RS06585,"photosystem I reaction center subunit XII, PsaM",Photosynthesis,1.21
M744_00850,"photosystem II P680 reaction center D1 protein, PsbA",Photosynthesis,1.85
M744_13305,"photosystem II CP47 chlorophyll apoprotein, PsbB",Photosynthesis,1.91
M744_13530,"photosystem II reaction center protein CP43, PsbC",Photosynthesis,1.51
M744_13535,"photosystem II P680 reaction center D2 protein, PsbD",Photosynthesis,1.27
M744_08300,"photosystem II P680 reaction center D2 protein, PsbD",Photosynthesis,1.26
M744_10765,"photosystem II cytochrome b559 subunit alpha, PsbE",Photosynthesis,1.37
M744_07025,"photosystem II PsbU protein, PsbU",Photosynthesis,1.16
M744_04625,"cytochrome b6, PetB",Photosynthesis,1.03
M744_01385,"allophycocyanin beta subunit, ApcB",Photosynthesis ,1.25
M744_11430,"phycobilisome rod-core linker polypeptide, CpcC",Photosynthesis ,1.63
M744_11435,"phycobilisome rod-core linker polypeptide, CpcC",Photosynthesis,1.11
M744_10750,"NAD(P)H-quinone oxidoreductase subunit C, NdhC",Oxidative phosphorylation,1.41
M744_13795,"NAD(P)H-quinone oxidoreductase subunit 4, NdhD",Oxidative phosphorylation,1.03
M744_06540,"NAD(P)H-quinone oxidoreductase subunit 4, NdhD",Oxidative phosphorylation,1.01
M744_05925,"NAD(P)H-quinone oxidoreductase subunit F, NdhF",Oxidative phosphorylation,1.79
M744_01335,F0F1 ATP synthase subunit AtpA,Oxidative phosphorylation,1.47
M744_01360,F0F1 ATP synthase subunit AtpB,Oxidative phosphorylation,1.38
M744_05205,50S ribosomal protein L22,Translation,1.76
M744_13675,50S ribosomal protein L7/L12,Translation,1.26
M744_05185,50S ribosomal protein L4,Translation,1.1
M744_13670,50S ribosomal protein L10,Translation,1.48
M744_05210,30S ribosomal protein S3,Translation,1.59
M744_12320,30S ribosomal protein S10,Translation,1.34
M744_03935,"aminoacyl-tRNA biosynthesis, AaRS",Translation,1.52
M744_05340,"aminoacyl-tRNA biosynthesis, AaRS",Translation,1.1
M744_12800,"RNA-binding region protein, Rbp",Translation,1.01
M744_RS06950,transposase,Genetic information processing,1.3
M744_13950,"RNase P RNA component class A, RnpB",,1.21
M744_00765,"n-acetylglucosamine-6-phosphate deacetylase, NagA",Carbohydrate metabolism,1.29
M744_08010,pirin family protein,Signal transduction,1.38
M744_07055,"transglutaminase, TgA",,2.54
M744_04030,"phosphate transport system permease protein, PstA",Transporter,1.23
M744_04015,"phosphate transport system substrate-binding protein, PstS",Transporter,2.2
M744_01215,"membrane protein, IctB ",Transporter,1.44
M744_01815,calcium/sodium antiporter,Transporter,1.2
M744_08995,chloride channel protein,Transporter,1.1
M744_01095,"phospholipid/cholesterol/gamma-HCH transport system permease protein, MlaE",Transporter,1.13
M744_10350,chloride channel protein,Transporter,1.35
M744_02655,peptidase M50,Transporter,1.26
M744_05440,site-2 protease family protein,Transporter,1.21
M744_06600,"4-hydroxybenzoate solanesyltransferase, UbiA",Metabolism of cofactors and vitamins,1.67
M744_09195,"riboflavin synthase, RibE",,1.41
M744_09040,"GTP cyclohydrolase IA, Gtpch",,1.06
M744_07325,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase, HisA",Amino acid metabolism,2.48
M744_06105,"acyl phosphate:glycerol-3-phosphate acyltransferase, PlsY",Lipid metabolism,2.45
M744_10785,"apolipoprotein N-acyltransferase, Int",,2.45
