species,symbol,product,logFC,PValue
MIT9312,PMT9312_0356,spectrin repeat protein-like,1.550259561,2.49E-07
MIT9312,PMT9312_0720,putative secreted protein,-4.609260974,6.34E-06
MIT9312,PMT9312_0688,high light inducible protein-like_1,-1.552931006,8.38E-06
MIT9312,PMT9312_1017,hypothetical protein_PMT9312_1017,-1.797176525,1.64E-05
MIT9312,PMT9312_0721,porin precursor-like,-4.632982366,1.67E-05
MIT9312,PMT9312_1471,type I restriction modification DNA-like,1.252382497,2.89E-05
MIT9312,PMT9312_0247,cob(I)alamin adenosyltransferase,1.114697608,4.71E-05
MIT9312,PMT9312_1510,high light inducible protein-like_2,-1.501678811,0.00024664
MIT9312,PMT9312_1160,virion host shutoff protein-like,1.017875917,0.00027832
MIT9312,PMT9312_0722,periplasmic phosphate binding protein,-2.671614963,0.000298283
MIT9312,PMT9312_1511,hypothetical protein_PMT9312_1511,-1.283908335,0.000338395
MIT9312,PMT9312_1938,PMT9312_1938,1.142203786,0.000348929
MIT9312,PMT9312_1790,"type II alternative RNA polymerase sigma factor, sigma-70 family_1",1.380440691,0.000426663
MIT9312,PMT9312_0719,lipoprotein-like,-2.157198983,0.00066814
MIT9312,PMT9312_1966,PMT9312_1966,-2.432851995,0.000777106
MIT9312,PMT9312_1608,hypothetical protein_PMT9312_1608,1.208521644,0.000793631
MIT9312,PMT9312_0687,high light inducible protein-like_3,-1.11151281,0.001131408
MIT9312,PMT9312_1228,high light inducible protein-like_4,-1.334376402,0.001181575
MIT9312,csoS3,carboxysome shell protein CsoS3,-1.146545428,0.001663527
MIT9312,PMT9312_1843,PMT9312_1843,-1.15853087,0.001990611
MIT9312,PMT9312_1509,high light inducible protein-like_5,-1.102062458,0.002042444
MIT9312,csoS2,carboxysome shell protein CsoS2,-1.734703828,0.002676638
MIT9312,csoS1,carboxysome shell protein CsoS1,-2.214434953,0.003151964
MIT9312,PMT9312_1520,poly A polymerase regulatory subunit-like,-2.172550389,0.003305489
MIT9312,PMT9312_1230,high light inducible protein-like_6,-1.065756828,0.003509911
MIT9312,PMT9312_1919,PMT9312_1919,1.024145557,0.003788054
MIT9312,PMT9312_0716,cytochrome c,-1.061780969,0.004827975
MIT9312,PMT9312_1474,hypothetical protein_PMT9312_1474,-2.051261636,0.005006963
MIT9312,PMT9312_1695,hypothetical protein_PMT9312_1695,1.144449545,0.005379469
MIT9312,"rbcS, cbbS","ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit",-2.085493636,0.006329026
MIT9312,PMT9312_1931,PMT9312_1931,-1.205107806,0.007675883
MIT9312,"rbcL, cbbL","ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",-2.154319054,0.007812585
MIT9312,PMT9312_0661,ribonucleotide reductase (class II),1.120613366,0.009325449
MIT9312,PMT9312_1519,"twin-arginine translocation protein, TatA/E family",-1.318773541,0.014321331
MIT9312,PMT9312_1722,"type II alternative RNA polymerase sigma factor, sigma-70 family_2",-1.098925495,0.018174835
MIT9312,PMT9312_1502,hypothetical protein_PMT9312_1502,-1.02996097,0.019867084
MIT9312,PMT9312_1176,PsbF protein-like,-1.182709363,0.047558099
