symbol,product,logFC,PValue,locus_tag
EZ55_00776,hypothetical protein,-2.052900668,1.91e-05,EZ55_00776
EZ55_02165,putative oxidoreductase,-2.018068122,0.005139977,EZ55_02165
EZ55_03340,3-hydroxyisobutyrate dehydrogenase,-1.589123865,0.000637417,EZ55_03340
EZ55_02919,protease I,-1.565373113,0.003806814,EZ55_02919
EZ55_02164,aromatic ring-opening dioxygenase catalytic,-1.551805208,0.000846552,EZ55_02164
EZ55_02415,hypothetical protein,-1.506808637,0.000383173,EZ55_02415
EZ55_03376,EF hand domain-containing protein,-1.490170949,0.00814533,EZ55_03376
EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,-1.446773936,0.009990159,EZ55_03462
EZ55_00777,short-subunit dehydrogenase,-1.432206987,0.003496273,EZ55_00777
EZ55_02158,hypothetical protein,-1.423136071,0.004249384,EZ55_02158
EZ55_02591,EF hand domain-containing protein,-1.372987298,0.005670101,EZ55_02591
EZ55_03095,osmotically inducible protein OsmC,-1.352215912,0.006286118,EZ55_03095
EZ55_03300,hypothetical protein,-1.350464059,0.001134881,EZ55_03300
EZ55_03363,opacity protein-like surface antigen,-1.34995227,0.016382749,EZ55_03363
EZ55_03827,iron complex outermembrane receptor protein,-1.336839323,0.002480033,EZ55_03827
EZ55_03328,hypothetical protein,-1.335295061,0.037604714,EZ55_03328
EZ55_00060,lipid A 3-O-deacylase PagL,-1.334046333,0.001337186,EZ55_00060
EZ55_02918,NADP-dependent 3-hydroxy acid dehydrogenase YdfG,-1.328388306,0.004616904,EZ55_02918
EZ55_02422,galactosyltransferase-like protein,-1.323742346,0.010068771,EZ55_02422
EZ55_03258,hypothetical protein,-1.239082878,0.000595673,EZ55_03258
EZ55_02384,hypothetical protein,-1.230653385,0.006037387,EZ55_02384
EZ55_02917,hypothetical protein,-1.223652726,0.000600543,
EZ55_01444,general stress protein 26,-1.21945684,0.005286,EZ55_01444
EZ55_02423,hypothetical protein,-1.206131017,0.004235045,EZ55_02423
EZ55_02892,uncharacterized protein DUF4136,-1.196557426,0.000253903,EZ55_02892
EZ55_00778,heme oxygenase-like protein,-1.191514986,0.025300119,EZ55_00778
EZ55_00431,GST-like protein,-1.18994497,2.66e-05,EZ55_00431
EZ55_01922,hemerythrin HHE cation binding domain-containing,-1.186334863,0.020290801,EZ55_01922
EZ55_02893,hypothetical protein,-1.152902014,0.000505841,EZ55_02893
EZ55_03878,hypothetical protein,-1.147286956,2.63e-05,EZ55_03878
EZ55_03067,plasmid segregation oscillating ATPase ParF,-1.142256535,0.022189538,EZ55_03067
EZ55_03329,hypothetical protein,-1.140797278,0.011289622,EZ55_03329
EZ55_03207,hypothetical protein,-1.138559341,0.000921383,EZ55_03207
EZ55_03365,uncharacterized membrane protein YdjX,-1.133514371,0.023871131,EZ55_03365
EZ55_00355,aconitase,-1.133384478,0.001076471,EZ55_00355
EZ55_04260,4-oxalocrotonate tautomerase,-1.104933386,0.002888677,EZ55_04260
EZ55_04342,glutaredoxin,-1.098764787,0.006207348,EZ55_04342
EZ55_02315,hypothetical protein,-1.094320688,0.020145966,EZ55_02315
EZ55_00432,hypothetical protein,-1.092654137,0.001456352,EZ55_00432
EZ55_01473,iron complex outermembrane receptor protein,-1.092245979,8.14e-05,EZ55_01473
EZ55_03366,endonuclease/exonuclease/phosphatase family,-1.091476209,0.039487923,EZ55_03366
EZ55_02269,FMN-dependent NADH-azoreductase,-1.090024994,0.048947156,EZ55_02269
EZ55_01991,putative glutathione S-transferase,-1.086261515,0.009809904,EZ55_01991
EZ55_04341,DUF305 family protein family protein,-1.077846171,0.008253072,EZ55_04341
EZ55_04303,4Fe-4S single cluster protein,-1.075301842,0.000138686,EZ55_04303
EZ55_03988,succinate-semialdehyde,-1.063487128,0.025512833,EZ55_03988
EZ55_00157,glutaredoxin,-1.05369104,0.010075913,EZ55_00157
EZ55_03037,methyl-accepting chemotaxis protein,-1.050344095,0.023568192,EZ55_03037
EZ55_02008,TonB-dependent receptor,-1.050052681,0.012414667,EZ55_02008
EZ55_04087,membrane protein YqaA with SNARE-associated,-1.048146843,0.000111452,EZ55_04087
EZ55_03036,purine-binding chemotaxis protein CheW,-1.021719522,0.030792106,EZ55_03036
EZ55_02592,hypothetical protein,-1.01773162,9.27e-05,EZ55_02592
EZ55_03759,putative mRNA 3-end processing factor,-1.007195007,0.000927617,EZ55_03759
EZ55_02767,iron-sulfur cluster assembly protein,1.004341397,0.018994737,EZ55_02767
EZ55_01489,carbamoyl-phosphate synthase large subunit,1.016481405,0.006969239,EZ55_01489
EZ55_00284,cobalt-zinc-cadmium efflux system membrane fusion,1.029888281,0.029529058,EZ55_00284
EZ55_03220,L-glutamine synthetase,1.031562252,0.010092904,EZ55_03220
