Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V5C8,Q7V5C8_PROMM Possible serine protease OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1636 PE=4 SV=1,serine protease,Periplasm,O,8.15E-08,4.31E-07,2.403147613
MIT9312,Q31DF2,Q31DF2_PROM9 Type II secretion system protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0032 PE=4 SV=1,secretion system protein,Outside cytoplasm,S,1.77E-08,7.33E-08,2.050230564
MIT9312,Q31AV4,RL33_PROM9 50S ribosomal protein L33 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmG PE=3 SV=2,50S ribosomal protein L33,Cytoplasm,J,2.66E-09,9.68E-09,1.864792563
MIT9312,Q318X3,Q318X3_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1512 PE=4 SV=1,hypothetical protein,Extracellular,S,1.83E-08,6.09E-08,1.735254033
MIT9313,Q7V5G0,Q7V5G0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1600 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.31E-08,1.59E-07,1.583011804
MIT9313,Q7V803,Q7V803_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0573 PE=4 SV=1,Lipopolysaccharide export system protein LptA,Unknown,S,2.99E-09,8.38E-09,1.48483141
MIT9313,Q7V5N7,Q7V5N7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1513 PE=4 SV=1,hypothetical protein,Outer membrane,S,4.49E-09,1.17E-08,1.379861851
MIT9313,Q7V7H0,Q7V7H0_PROMM Carboxyl-terminal processing protease OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0776 PE=3 SV=1,peptidase S41,Unknown,M,1.27E-08,2.98E-08,1.226256653
MIT9313,Q7V465,Q7V465_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2102 PE=4 SV=1,putative secreted protein,Outside cytoplasm,S,1.65E-08,3.61E-08,1.135024283
MIT9312,Q31A57,Q31A57_PROM9 Adhesin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1179 PE=4 SV=1,Adhesin-like protein,Outer membrane,S,3.54E-09,7.71E-09,1.122944748
